date,team,pct
2026-08-25,Atlanta Hawks,100.0
2026-08-25,Boston Celtics,100.0
2026-08-25,Brooklyn Nets,0.0
2026-08-25,Charlotte Hornets,0.0
2026-08-25,Chicago Bulls,0.0
2026-08-25,Cleveland Cavaliers,100.0
2026-08-25,Dallas Mavericks,0.0
2026-08-25,Denver Nuggets,100.0
2026-08-25,Detroit Pistons,100.0
2026-08-25,Golden State Warriors,0.0
2026-08-25,Houston Rockets,100.0
2026-08-25,Indiana Pacers,0.0
2026-08-25,LA Clippers,0.0
2026-08-25,Los Angeles Lakers,100.0
2026-08-25,Memphis Grizzlies,0.0
2026-08-25,Miami Heat,0.0
2026-08-25,Milwaukee Bucks,0.0
2026-08-25,Minnesota Timberwolves,100.0
2026-08-25,New Orleans Pelicans,0.0
2026-08-25,New York Knicks,100.0
2026-08-25,Oklahoma City Thunder,100.0
2026-08-25,Orlando Magic,100.0
2026-08-25,Philadelphia 76ers,100.0
2026-08-25,Phoenix Suns,100.0
2026-08-25,Portland Trail Blazers,100.0
2026-08-25,Sacramento Kings,0.0
2026-08-25,San Antonio Spurs,100.0
2026-08-25,Toronto Raptors,100.0
2026-08-25,Utah Jazz,0.0
2026-08-25,Washington Wizards,0.0
