date,team,pct
2026-08-25,Anaheim Ducks,100.0
2026-08-25,Boston Bruins,100.0
2026-08-25,Buffalo Sabres,100.0
2026-08-25,Carolina Hurricanes,100.0
2026-08-25,Colorado Avalanche,100.0
2026-08-25,Dallas Stars,100.0
2026-08-25,Edmonton Oilers,100.0
2026-08-25,Los Angeles Kings,100.0
2026-08-25,Minnesota Wild,100.0
2026-08-25,Montreal Canadiens,100.0
2026-08-25,Ottawa Senators,100.0
2026-08-25,Philadelphia Flyers,100.0
2026-08-25,Pittsburgh Penguins,100.0
2026-08-25,Tampa Bay Lightning,100.0
2026-08-25,Utah Mammoth,100.0
2026-08-25,Vegas Golden Knights,100.0
