BIG TEN CONFERENCE,,CBB,Value,CHAMPS,,S16,2025-26,2024-25,2023-24,2022-23,2021-22,,COLLEGE BASKETBALL,,KP,Value,CHAMPS,,S16,2025-26,2024-25,2023-24,2022-23,2021-22
1,Purdue,8,100,3,2,7,BTT,4,Four,B1G x2,3,,1,Connecticut,21,100,2,,3,Final,ncaa,CHAMPS,CHAMPS,ncaa
2,MICHIGAN,5,96.60281319,2,3,7,CHAMPS,BTT,14,5,7,,2,Duke,2,89.85284541,,,7,Elite,Four,Elite,ncaa,Four
3,Illinois,16,83.95216473,,2,2,Four,7,BTT,5,1,,3,Kansas,7,87.5656602,1,,4,ncaa,ncaa,ncaa,ncaa,CHAMPS
4,Michigan State,19,81.39662524,3,1,4,2,B1G,6,4,7,,4,Houston,1,87.37088576,,,7,Sweet,Final,Sweet,Sweet,Elite
5,UCLA,23,68.69812046,,,4,6,4,5,1,2,,5,MICHIGAN,18,84.14849988,1,,7,CHAMPS,Sweet,127,55,Sweet
6,Wisconsin,35,63.43962171,,,2,5,4,5,11,1,,6,North Carolina,16,81.10804788,1,,5,ncaa,ncaa,Sweet,56,Final
7,Iowa,32,57.15150789,,1,1,9,12,6,5,BTT,,7,Florida,20,79.72041896,1,,2,ncaa,CHAMPS,ncaa,67,61
8,Oregon,30,56.86013605,,,4,16,7,4,4,5,,8,Purdue,4,79.70892366,,,7,Elite,Sweet,Final,ncaa,Sweet
9,Maryland,38,50.66484554,,,2,17,2,12,5,10,,9,Gonzaga,3,77.85882736,,,8,ncaa,ncaa,Sweet,Elite,Sweet
10,Indiana,55,42.04147575,,,1,10,9,6,2,8,,10,Villanova,27,76.65163986,2,,4,ncaa,56,54,64,Four
11,Ohio State,52,39.67338002,,,.,8,10,9,13,4,,11,Arizona,5,68.88478951,,,5,Four,Sweet,Sweet,ncaa,Sweet
12,Nebraska,53,37.91117394,,,1,2,12,3,11,13,,12,Alabama,13,65.92925263,,,4,ncaa,Elite,Four,Sweet,ncaa
13,Southern California,47,37.78776388,,,1,12,12,9,3,3,,13,Auburn,12,63.22492604,,,2,51,Four,51,ncaa,ncaa
14,Northwestern,70,37.29627706,,,.,15,12,3,2,10,,14,Tennessee,6,63.21653492,,,5,Elite,Elite,Elite,Sweet,ncaa
15,Rutgers,86,21.72985811,,,.,14,11,12,9,4,,15,San Diego State,28,62.97693313,,,2,55,ncaa,Sweet,Final,ncaa
16,Washington,112,7.51105511,,,.,12,18,7,9,6,,16,Illinois,17,61.88877441,,,2,Four,ncaa,Elite,ncaa,ncaa
17,Penn State,76,6.010409262,,,.,17,17,9,9,10,,17,Baylor,8,61.3537723,1,,2,56,ncaa,ncaa,ncaa,ncaa
18,Minnesota,99,0,,,.,11,12,9,14,13,,18,Texas Tech,9,59.9111041,,,4,ncaa,Elite,ncaa,65,Sweet
,,,,,,,,,,,,,19,Michigan State,11,57.10222536,,,4,Sweet,Elite,ncaa,Sweet,ncaa
IVY LEAGUE,,CBB,Value,CHAMPS,,NCAAT,2025-26,2024-25,2023-24,2022-23,2021-22,,20,Virginia,34,56.60181878,1,,2,ncaa,104,ncaa,ncaa,84
,,,,,,,,,,,,,,,,,,,,,,,,
1,Yale,88,100,3,4,5,CHAMPS,NCAA,NCAA,1,NCAA,,21,Miami,64,55.86152771,,,3,ncaa,192,104,Four,Elite
2,Princeton,98,95.57357066,4,2,2,5,3,CHAMPS,S16,CHAMPS,,22,Arkansas,24,51.14351831,,,5,Sweet,Sweet,ncaa,Sweet,Elite
3,Pennsylvania,128,68.51258374,1,2,2,NCAA,7,7,3,3,,23,UCLA,22,48.80820726,,,4,ncaa,ncaa,99,Sweet,Sweet
4,CORNELL,152,65.9904861,,,.,4,2,2,4,4,,24,North Carolina State,66,47.5879258,,,1,ncaa,125,Four,ncaa,143
5,Harvard,156,61.84140834,1,,.,2,5,5,7,6,,25,Kentucky,10,46.1329383,,,4,ncaa,Sweet,ncaa,ncaa,ncaa
6,Dartmouth,173,32.85048363,,,.,5,3,8,6,5,,,,,,,,,,,,,
7,Brown,161,25.19681122,,,.,8,6,4,5,8,,BASKETBALL BLUE BLOODS,,CBB,Value,CHAMPS,,S16,2025-26,2024-25,2023-24,2022-23,2021-22
8,Columbia,176,0,,,.,5,8,6,8,6,,,,,,,,,,,,,
,,,,,,,,,,,,,1,Connecticut,1,100,2,,3,Final,ncaa,CHAMPS,CHAMPS,ncaa
,,,,,,,,,,,,,2,Duke,2,89.85284541,,,7,Elite,Four,Elite,ncaa,Four
,,,B1G CHAMPION,,,B1G TOURNAMENT,,,IVY MADNESS,,,,3,Kansas,3,87.5656602,1,,4,ncaa,ncaa,ncaa,ncaa,CHAMPS
,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-26,MICHIGAN,,,PURDUE,,MICH,PENNSYLVANIA,,YALE,,4,MICHIGAN,5,84.14849988,1,,7,CHAMPS,Sweet,127,55,Sweet
,,2024-25,MICHIGAN STATE,,,MICHIGAN,,WIS,YALE,,CORN,,5,North Carolina,6,81.10804788,1,,5,ncaa,ncaa,Sweet,56,Final
,,2023-24,PURDUE,,,ILLINOIS,,WIS,YALE,,BWN,,6,Gonzaga,9,77.85882736,,,8,ncaa,ncaa,Sweet,Elite,Sweet
,,2022-23,PURDUE,,,PURDUE,,PSU,PRINCETON,,YALE,,7,UCLA,23,48.80820726,,,4,ncaa,ncaa,99,Sweet,Sweet
,,2021-22,ILL/WIS,,,IOWA,,PUR,YALE,,PRIN,,8,Kentucky,25,46.1329383,,,4,ncaa,Sweet,ncaa,ncaa,ncaa
,,,,,,,,,,,,,,,,,,,,,,,,
,,,NCAA TOURNAMENT,,,,,,No. 1,KENPOM,IVY,,,,,SEC,,,BIG XII,,ACC,,BIG EAST,
,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-26,1 MICHIGAN,,,2 UCONN,1 ZONA,3 ILL,DUKE,DUKE,YALE,,,,2025-26,UF,ARK,,ZONA,ZONA,DUKE,DUKE,SJU,SJU
,,2024-25,1 FLORIDA,,,1 HOU,1 AUB,1 DUKE,AUB,DUKE,YALE,,,,2024-25,AUB,UF,,HOU,HOU,DUKE,DUKE,SJU,SJU
,,2023-24,1 CONNECTICUT,,,1 PUR,4 BAMA,11 NCST,CONN,CONN,PRIN,,,,2023-24,TENN,AUB,,HOU,ISU,UNC,NCST,CONN,CONN
,,2022-23,4 CONNECTICUT,,,5 SDSU,5 MIA,9 FAU,BAMA,HOU,PT/YB,,,,2022-23,BAMA,BAMA,,KU,TEX,MIA,DUKE,MARQ,MARQ
,,2021-22,1 KANSAS,,,8 UNC,2 NOVA,2 DUKE,ZAGA,ZAGA,PRIN,,,,2021-22,AUB,TENN,,KU,KU,DUKE,VT,PROV,NOVA
