,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
Illinois,1,30,4,90.16577232,21.249998,23.25,15.25,2,7,2,5,1,2,4,10,11,9,12,7,7,9
Indiana,2,20,10,57.02527066,11.937497,12.75,9.5,10,9,6,2,8,10,10,8,6,10,1,7,1,5
Iowa,3,15,7,68.49704441,14.187496,14.5,13.25,9,12,6,5,4,3,5,6,11,5,3,3,6,7
Maryland,4,14,9,64.79231645,13.374995,11.75,18.25,17,2,12,5,10,8,1,5,8,2,3,2,14,
Michigan,5,13,2,90.72562283,21.499994,21,23,1,2,14,5,7,1,9,3,4,5,8,9,4,1
Michigan State,6,12,3,90.30660683,21.312493,19,28.25,2,1,6,4,7,8,1,1,1,5,2,3,2,1
Minnesota,7,11,18,0,7.437492,6.75,9.5,11,12,9,14,13,13,12,7,11,4,13,10,7,9
Nebraska,8,10,13,49.37029185,10.812491,12,7.25,2,12,3,11,13,14,14,13,4,12,11,12,10,11
Northwestern,9,9,11,52.12121813,11.18749,12.25,8,15,12,3,2,10,12,13,14,10,5,9,10,11,7
Ohio State,10,8,12,52.12121109,11.187489,10.25,14,8,10,9,13,4,5,5,8,2,10,7,6,2,1
Oregon,11,7,8,65.38963518,13.499988,13,15,16,7,4,4,5,1,1,,,,,,,
Penn State,12,6,17,5.748393048,7.624987,6.75,10.25,17,17,9,9,10,10,5,10,6,12,10,13,12,11
Purdue,13,5,1,100,26.312486,27.25,23.5,6,4,1,1,3,4,10,1,2,1,3,3,7,6
Rutgers,14,4,15,32.28266871,9.062485,9,9.25,14,11,12,9,4,6,5,10,14,14,14,14,14,
Southern California,15,3,14,47.90500146,10.624984,11.25,8.75,12,12,9,3,3,2,3,,,,,,,
UCLA,16,2,6,77.43889858,16.562483,19.25,8.5,6,4,5,1,2,4,2,,,,,,,
Washington,17,1,16,14.92846034,7.999982,9.5,3.5,12,18,7,9,6,10,12,,,,,,,
Wisconsin,18,0,5,81.51621183,17.874981,17.5,19,5,4,5,11,1,6,1,4,9,2,3,1,4,4
,,,,,,,,,,,,,,,,,,,,,
Champions x2,,,,,,,,,,,Purdue,,,,Michigan State,,,,,,
Outright Champion,,,,,,,,Michigan,Michigan State,Purdue,Purdue,,Michigan,,,Michigan State,Purdue,Indiana,Wisconsin,Indiana,
B1G Tournament,,10,,,,,,Purdue,Michigan,Illinois,Purdue,Iowa,Illinois,,Michigan State,Michigan,Michigan,Michigan State,Wisconsin,Ohio State,Michigan State
,,,,,,,,,,,,,,,,,,,,,
Season,,,,,,,,MICHIGAN,MICHIGAN STATE,PURDUE,PURDUE,ILL/WIS,MICHIGAN,3 Teams,MSU/PUR,MICHIGAN STATE,PURDUE,INDIANA,WISCONSN,INDIANA,3 Teams
Winner,,,,,,,,PURDUE,MICHIGAN,ILLINOIS,PURDUE,IOWA,ILLINOIS,n/a,MICHIGAN STATE,MICHIGAN,MICHIGAN,MICHIGAN STATE,WISCONSIN,OHIO STATE,MICHIGAN STATE
Loser,,,,,,,,MICH,WIS,WIS,PSU,PUR,OSU,n/a,MICH,PUR,WIS,PUR,MSU,MICH,WIS
