,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2045-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Abilene Christian,1,30,177,8.285550962,0.312498,0,1.25,,,,,,14,15,,,,,,,
Akron,2,25,74,48.62388765,3.937497,5.25,0,12,13,14,,13,,,,,,,,12,
Alabama,3,20,11,92.4292906,19.812496,23.25,9.5,4,2,4,1,6,2,,9,,,,,,9
Alabama State,4,19,192,5.238632238,0.187495,0.25,0,,16,,,,,,,,,,,,
Albany,5,17,219,0.007093742263,-6e-06,0,0,,,,,,,,,,,14,16,15,
American,6,16,220,0.007063300549,-7e-06,0,0,,,,,,,,,,,,15,,
Appalachian State,7,15,180,6.800078108,0.249992,0.25,0.25,,16,,,,16,,,,,,,,
Arizona,8,14,5,97.00514795,23.187491,27.5,10.25,1,4,2,2,1,,,,2,6,2,1,6,
Arizona State,9,13,79,45.37304767,3.43749,2.75,5.5,,,,11,,,11,11,,,,10,,
Arkansas,10,12,21,86.93268842,16.374989,17.75,12.25,4,10,4,8,4,3,,7,8,,5,,,
Auburn,11,11,25,84.42241068,14.999988,17,9,,1,,9,2,,5,4,,,,,,
Austin Peay,12,10,209,1.852422479,0.062487,0,0.25,,,,,,,,,,16,,,,
Baylor,13,4,7,93.50721045,20.562486,20.75,20,,9,3,3,1,1,9,,3,5,3,6,,3
Belmont,14,3,146,15.93631568,0.687485,0,2.75,,,,,,,11,,,,15,,11,14
Boise State,15,2,50,63.78940347,7.124984,9.5,0,,,10,10,8,,,,,,11,,13,
Boston University,16,1,221,0.006758881727,-1.7e-05,0,0,,,,,,,,,,,,,,
Bradley,0,0,204,3.592332121,0.124982,0,0.5,,,,,,,15,,,,,,,
Brigham Young,,,36,73.01362456,9.999981,12,4,6,6,6,,,6,,,,,11,10,,14
Bryant,,,154,13.59317079,0.56248,0.75,0,,15,,,16,,,,,,,,,
Bucknell,,,164,11.05465135,0.437479,0,1.75,,,,,,,,14,13,,,,11,
Buffalo,,,116,27.13176028,1.437478,0,5.75,,,,,,,6,13,,14,12,,,
Butler,,,93,40.24762311,2.749977,0,11,,,,,,,,10,4,9,6,,6,
