,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Alabama,12,48.11448593,2.687498,3.5,0.25,,3,10,1,,1,,,,,,,,
Arizona,13,46.1904083,2.499997,3.25,0.25,10,1,1,,1,,,,1,,3,3,1,
Arkansas,24,30.91046271,1.312496,1.5,0.75,1,1,,1,3,3,,,,,,,,
Auburn,14,46.19038724,2.499995,2.5,2.5,,10,,,,,10,,,,,,,
Baylor,18,39.73068114,1.937494,0,7.75,,,,,,30,,,1,,,1,,3
Brigham Young,42,6.338090908,0.187493,0.25,0,,1,,,,,,,,,,,,
Butler,55,2.237363102,0.062492,0,0.25,,,,,,,,,1,,,,,
Cincinnati,61,0.002212150035,-9e-06,0,0,,,,,,,,,,,,,,1
Clemson,32,17.90214451,0.62499,0.75,0.25,,,3,,,,,1,,,,,,
Connecticut,1,100,14.062489,18.75,0,15,,30,30,,,,,,,,30,,
Creighton,27,21.92817309,0.812488,1,0.25,,,1,3,,1,,,,,,,,
Dayton,62,0.002064677495,-1.3e-05,0,0,,,,,,,,,,,,3,,
Duke,7,67.9349721,5.312486,6.5,1.75,3,10,3,,10,,3,3,,1,30,,3,
Florida,5,70.7454669,5.812485,7.5,0.75,,30,,,,,,,3,,,10,3,3
Florida Atlantic,20,38.93763042,1.874984,2.5,0,,,,10,,,,,,,,,,
Florida Gulf Coast,63,0.001917204365,-1.7e-05,0,0,,,,,,,,,,,,,1,
Florida State,40,10.02770306,0.312482,0,1.25,,,,,,1,1,3,,,,,,
Gonzaga,10,51.68514937,3.062481,1.25,8.5,,,1,3,1,15,3,1,15,1,3,,,
Houston,8,62.4334812,4.43748,5,2.75,1,15,1,1,3,10,1,,,,,,,
Illinois,16,45.52588066,2.437479,3.25,0,10,,3,,,,,,,,,,,
Indiana,56,2.236877307,0.062478,0,0.25,,,,,,,,,,1,,,1,1
Iowa,37,16.45581289,0.562477,0.75,0,3,,,,,,,,,,,,,
Iowa State,33,17.90182687,0.624976,0.75,0.25,1,,1,,1,,,,,1,,1,,
Kansas,3,74.8996777,6.624975,7.5,4,,,,,30,,,10,3,3,,,1,15
Kansas State,28,20.63409299,0.749974,0.75,0.75,,,,3,,,,3,,,,,,
Kentucky,34,17.90175881,0.624973,0.25,1.75,,1,,,,,3,1,3,,10,15,,30
La Salle,64,0.001511650217,-2.8e-05,0,0,,,,,,,,,,,,,1,
Louisiana State,57,2.236634407,0.062471,0,0.25,,,,,,,1,,,,,,,
Louisville,65,0.00143791262,-3e-05,0,0,,,,,,,,,,,3,1,30,10
Loyola Chicago,31,19.29313232,0.687469,0,2.75,,,,,,1,,10,,,,,,
Marquette,43,6.337314724,0.187468,0.25,0,,,1,,,,,,,,,,3,1
Maryland,41,8.228425573,0.249967,0.25,0.25,,1,,,,,,,,1,,,,
Miami,15,46.19008174,2.499966,3.25,0.25,,,,10,3,,,,,1,,,1,
Michigan,2,77.80428939,7.249965,8,5,30,1,,,1,3,1,15,1,,,3,15,
Michigan State,23,34.69478791,1.562464,1.25,2.5,1,3,,1,,,10,,,,10,3,1,1
Nebraska,44,6.337159485,0.187463,0.25,0,1,,,,,,,,,,,,,
Nevada,58,2.236322105,0.062462,0,0.25,,,,,,,,1,,,,,,
North Carolina,4,71.0820527,5.874961,4,11.5,,,1,,15,,1,,30,15,1,,,3
North Carolina State,21,38.93732264,1.87496,2.5,0,,,10,,,,,,,,1,,,1
Notre Dame,45,6.337035294,0.187459,0,0.75,,,,,,,,,,3,3,,,
