BIG TEN CONFERENCE,,CFB,Value,CHAMPS,,CFP,'2025,'2024,'2023,'2022,'2021,,COLLEGE FOOTBALL,,SP+,Value,CHAMPS,,CFP,'2025,'2024,'2023,'2022,'2021
1,MICHIGAN,4,100,3,,3,4,7,CHAMPS,B1G,B1G,,1,Georgia,2,100,2,,5,Qtrs,Qtrs,NY6,CHAMPS,CHAMPS
2,Ohio State,3,99.6652622,4,,6,B1GCG,CHAMPS,3,3,3,,2,Alabama,1,96.21465287,2,,7,Qtrs,7,Semis,NY6,Final
3,Oregon,10,79.88943853,1,,2,3,B1G,2,4,2,,3,Ohio State,3,94.09006778,1,,6,Qtrs,CHAMPS,NY6,Semis,NY6
4,Indiana,7,72.30476829,1,,2,CHAMPS,CFP,14,12,14,,4,MICHIGAN,4,86.80644586,1,,3,18,35,CHAMPS,Semis,Semis
5,Penn State,11,71.41627052,1,,1,12,B1GCG,4,4,8,,5,Clemson,5,73.37625465,2,,6,37,CFP,19,NY6,11
6,Washington,9,71.19191949,,,2,7,8,CFP,3,8,,6,Notre Dame,8,67.71572098,,,3,7,Final,12,22,NY6
7,Iowa,27,53.33617853,,,.,6,5,B1GCG,5,B1GCG,,7,Indiana,46,64.67532901,1,,2,CHAMPS,CFP,92,94,100
8,Southern California,22,49.33679709,,,.,4,8,5,2,8,,8,Texas,15,62.53534328,,,2,14,Semis,Semis,12,49
9,Wisconsin,28,44.61981439,,,.,14,12,5,8,5,,9,Washington,10,61.09290014,,,2,26,58,Final,12,83
10,Minnesota,54,37.32017146,,,.,7,7,8,5,5,,10,Oregon,12,57.46006809,,,2,Semis,Qtrs,NY6,11,21
11,Illinois,57,30.91063661,,,.,7,5,8,5,8,,11,Penn State,7,55.73468021,,,1,27,Semis,NY6,NY6,30
12,Northwestern,60,28.51927801,,,.,10,16,5,13,12,,12,Oklahoma,6,54.96853078,,,4,CFP,38,14,28,13
13,Purdue,78,28.32785734,,,.,18,18,8,B1GCG,5,,13,Miami,20,53.23465073,,,1,Final,12,33,74,37
14,UCLA,50,26.06947589,,,.,12,12,7,6,3,,14,Ole Miss,18,51.46226439,,,1,Semis,8,NY6,27,NY6
15,Michigan State,38,24.45401256,,,.,16,12,13,10,4,,15,Texas Christian,25,50.09519073,,,1,39,34,38,Final,81
16,Nebraska,76,14.64859206,,,.,10,12,8,10,12,,16,Louisiana State,13,48.31581872,1,,1,35,27,12,15,65
17,Maryland,83,7.405070444,,,.,16,17,7,8,10,,17,Cincinnati,28,44.25974709,,,1,56,72,87,34,Semis
18,Rutgers,109,0,,,.,14,8,8,13,11,,18,Utah,11,30.40712889,,,.,11,41,37,NY6,NY6
,,,,,,,,,,,,,19,Tennessee,17,29.6248727,,,1,28,CFP,16,NY6,27
,,,B1G CHAMPIONSHIP GAME,,,,COLLEGE FOOTBALL PLAYOFF,,,,,,20,Texas Tech,32,28.11802129,,,1,Qtrs,54,44,36,43
,,,,,,,,,,,,,,,,,,,,,,,,
,,'2025,INDIANA,,,OSU,1 INDIANA,,10 MIA,5 ORE,6 MISS,,21,Southern California,14,27.47857215,,,.,16,32,36,NY6,82
,,'2024,OREGON,,,PSU,8 OHIO STATE,,7 ND,5 TEX,6 PSU,,22,Boise State,49,26.18873526,,,1,64,Qtrs,45,59,45
,,'2023,MICHIGAN,,,IOWA,1 MICHIGAN,,2 WASH,4 BAMA,3 TEX,,23,Arizona State,50,24.38623394,,,1,60,Qtrs,107,83,34
,,'2022,MICHIGAN,,,PUR,1 GEORGIA,,3 TCU,4 OSU,2 MICH,,24,Oklahoma State,21,23.69906838,,,.,121,81,24,35,NY6
,,'2021,MICHIGAN,,,IOWA,3 GEORGIA,,1 BAMA,2 MICH,4 CIN,,25,Florida State,37,23.1828404,,,.,42,83,NY6,18,53
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,'2025,'2024,'2023,'2022,'2021,,FOOTBALL BLUE BLOODS,,CFB,Value,CHAMPS,,CFP,'2025,'2024,'2023,'2022,'2021
,,,,,,,,,,,,,,,,,,,,,,,,
,,NO. 1 OVERALL SEED,,,,,IND,ORE,MICH,UGA,BAMA,,1,Alabama,2,96.21465287,2,,7,Qtrs,7,Semis,NY6,Final
,,SP+ #1 RANKING,,,,,OSU,OSU,MICH,UGA,UGA,,2,Ohio State,3,94.09006778,1,,6,Qtrs,CHAMPS,NY6,Semis,NY6
,,,,,,,,,,,,,3,MICHIGAN,4,86.80644586,1,,3,18,35,CHAMPS,Semis,Semis
,,,,,,,'2025,'2024,'2023,'2022,'2021,,4,Notre Dame,6,67.71572098,,,3,7,Final,12,22,NY6
,,,,,,,,,,,,,,,,,,,,,,,,
,,SEC CHAMPIONS,,,,,UGA,UGA,BAMA,UGA,BAMA,,5,Texas,8,62.53534328,,,2,14,Semis,Semis,12,49
,,BIG XII CHAMPIONS,,,,,TECH,ASU,TEX,KSU,BAY,,6,Oklahoma,12,54.96853078,,,4,CFP,38,14,28,13
,,ACC CHAMPIONS,,,,,DUKE,CLEM,FSU,CLEM,PITT,,7,Southern California,22,27.47857215,,,.,16,32,36,NY6,82
,,GROUP OF FIVE SELECTION,,,,,TUL,BOI,LIB,TUL,CIN,,8,Nebraska,76,6.164626173,,,.,46,47,66,72,42
