,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Alabama,2,93.05153445,10.968748,7.125,22.5,3,,10,0.5,15,30,,15,30,15,30,10,0.5,30
Arizona,45,0.001461924638,-3e-06,0,0,,,,,,,,,,,,0.5,,
Arizona State,18,16.7304202,0.562496,0.75,0,,3,,,,,,,,,,,,
Auburn,38,2.273878616,0.062495,0,0.25,,,,,,,,,0.5,0.5,,,15,
Baylor,28,4.416411826,0.124994,0.125,0.125,,,,,0.5,,0.5,,,,,0.5,0.5,
Boise State,19,16.73034823,0.562493,0.75,0,,3,,,,,,,,,,0.5,,
Central Florida,39,2.273772777,0.062492,0,0.25,,,,,,,,0.5,0.5,,,,0.5,
Cincinnati,16,39.99285082,1.906241,2.5,0.125,,,,,10,0.5,,,,,,,,
Clemson,6,70.70331854,5.59374,0.375,21.25,,1,,0.5,,10,15,30,10,30,15,,0.5,
Florida,30,3.360261862,0.093739,0,0.375,,,,,,0.5,0.5,0.5,,,,,,0.5
Florida State,29,4.416211907,0.124988,0.125,0.125,,,0.5,,,,,,,0.5,0.5,10,30,0.5
Georgia,1,100,13.406237,16.5,4.125,3,3,0.5,30,30,0.5,0.5,0.5,15,,,,,
Georgia Tech,46,0.001049592692,-1.4e-05,0,0,,,,,,,,,,,,0.5,,
Houston,47,0.001012107745,-1.5e-05,0,0,,,,,,,,,,,0.5,,,
Indiana,5,71.9267069,5.812484,7.75,0,30,1,,,,,,,,,,,,
Iowa,48,0.0009371377381,-1.7e-05,0,0,,,,,,,,,,,0.5,,,
Iowa State,40,1.154378113,0.031232,0,0.125,,,,,,0.5,,,,,,,,
James Madison,24,6.442701003,0.187481,0.25,0,1,,,,,,,,,,,,,
Kansas State,31,3.359953413,0.09373,0.125,0,,,,0.5,,,,,,,,,,0.5
Liberty,32,3.359919141,0.093729,0.125,0,,,0.5,,,,,,,,,,,
Louisiana State,17,39.99268314,1.906228,0,7.625,,,,,,,30,0.5,,,,,,
Louisville,49,0.0007122268176,-2.3e-05,0,0,,,,,,,,,,,,,,0.5
Memphis,41,1.154160018,0.031226,0,0.125,,,,,,,0.5,,,,,,,
Miami,10,50.47310298,2.843725,3.75,0.125,15,,,,,,,,0.5,,,,,
Michigan,4,87.91986129,9.437474,12.5,0.25,,,30,10,10,,,0.5,,0.5,,,,
Michigan State,33,3.359713507,0.093723,0.125,0,,,,,0.5,,,,,,10,0.5,0.5,
Mississippi State,50,0.0005248000197,-2.8e-05,0,0,,,,,,,,,,,,0.5,,
Missouri,34,3.359644962,0.093721,0.125,0,,,0.5,,,,,,,,,,,
North Carolina,42,1.153941921,0.03122,0,0.125,,,,,,0.5,,,,,,,,
Northern Illinois,51,0.0004123434911,-3.1e-05,0,0,,,,,,,,,,,,,,0.5
Notre Dame,7,61.48493275,4.156218,3.875,5,,15,,,0.5,10,,10,,,0.5,,,15
Ohio State,3,91.14411022,10.374967,10.875,8.875,3,30,0.5,10,0.5,15,10,0.5,0.5,10,0.5,30,0.5,
Oklahoma,14,42.33615884,2.093716,0.25,7.625,1,,,,,0.5,10,10,10,0.5,10,,0.5,
Oklahoma State,35,3.359439327,0.093715,0.125,0,,,,,0.5,,,,,,0.5,,,
Ole Miss,15,41.95556377,2.062464,2.75,0,10,,0.5,,0.5,,,,,,0.5,0.5,,
Oregon,12,47.95197384,2.593713,3.375,0.25,10,3,0.5,,,0.5,0.5,,,,,15,,0.5
Penn State,13,43.08585397,2.156212,2.75,0.375,,10,0.5,0.5,,,0.5,,0.5,0.5,,,,
Pittsburgh,36,3.359302236,0.093711,0.125,0,,,,,0.5,,,,,,,,,
Southern California,27,5.442354481,0.15621,0.125,0.25,,,,0.5,,,,,0.5,0.5,,,,
Southern Methodist,25,6.442006533,0.187459,0.25,0,,1,,,,,,,,,,,,
Stanford,52,0,-4.2e-05,0,0,,,,,,,,,,,0.5,,0.5,0.5
Tennessee,21,9.290351753,0.281207,0.375,0,,1,,0.5,,,,,,,,,,
Texas,8,58.65436991,3.781206,5,0.125,,10,10,,,,,0.5,,,,,,
Texas A&M,23,7.415599207,0.218705,0.25,0.125,1,,,,,0.5,,,,,,,,
Texas Christian,11,50.16688818,2.812454,3.75,0,,,,15,,,,,,,,0.5,,
Texas Tech,20,16.7293886,0.562453,0.75,0,3,,,,,,,,,,,,,
Tulane,22,9.290205466,0.281202,0.375,0,1,,,0.5,,,,,,,,,,
Utah,26,6.441753995,0.187451,0.25,0,,,,0.5,0.5,,,,,,,,,
Virginia,43,1.153214921,0.0312,0,0.125,,,,,,,0.5,,,,,,,
Washington,9,56.38173737,3.499949,3.75,2.75,,,15,,,,,0.5,0.5,10,,,,
Western Michigan,44,1.15314222,0.031198,0,0.125,,,,,,,,,,0.5,,,,
Wisconsin,37,3.358822414,0.093697,0,0.375,,,,,,,0.5,,0.5,0.5,,,,0.5
,,,,,,,,,,,,,,,,,,,
CFP,,,,,,1 INDIANA,8 OHIO STATE,1 MICHIGAN,1 GEORGIA,3 GEORGIA,1 ALABAMA,1 LSU,2 CLEMSON,4 ALABAMA,2 CLEMSON,2 ALABAMA,4 OHIO STATE,FLORIDA STATE,ALABAMA
,,,,,,10 MIA,7 ND,2 WASH,3 TCU,1 BAMA,3 OSU,3 CLEM,1 BAMA,3 UGA,1 BAMA,1 CLEM,2 ORE,AUB,ND
,,,,,,5 ORE,5 TEX,4 BAMA,4 OSU,2 MICH,4 ND,4 OU,3 ND,1 CLEM,3 OSU,3 MSU,1 BAMA,,
,,,,,,6 MISS,6 PSU,3 TEX,2 MICH,4 CIN,2 CLEM,2 OSU,4 OU,2 OU,4 WASH,4 OU,3 FSU,,
No. 1,,,,,,IND,ORE,MICH,UGA,BAMA,BAMA,LSU,BAMA,CLEM,BAMA,CLEM,BAMA,,
SP+,,,,,,OSU,OSU,MICH,UGA,UGA,BAMA,OSU,BAMA,BAMA,BAMA,OSU,BAMA,FSU,BAMA
SEC,,,,,,UGA,UGA,BAMA,UGA,BAMA,BAMA,LSU,BAMA,UGA,BAMA,BAMA,BAMA,AUB,BAMA
Big XII,,,,,,TECH,ASU,TEX,KSU,BAY,OU,OU,OU,OU,OU,OU,BAY/TCU,BAY,KSU
ACC,,,,,,DUKE,CLEM,FSU,CLEM,PITT,CLEM,CLEM,CLEM,CLEM,CLEM,CLEM,FSU,FSU,FSU
G5,,,,,,TUL,BOI,LIB,TUL,CIN,CIN,MEM,UCF,UCF,WMU,HOU,BOI,,
