,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Air Force,68,27.85601425,36.312498,27.75,62,81,'111,'45,57,54,80,25,85,104,58,58,74,110,95
Akron,130,13.43359556,74.187497,61,113.75,117,'124,'130,127,127,124,129,120,121,90,81,101,103,116
Alabama,1,100,1.187496,1.25,1,20,'4,'7,2,3,1,3,1,1,1,2,1,2,1
Appalachian State,47,33.99309765,26.812495,25.5,30.75,111,'100,'52,66,36,24,27,29,58,43,49,98,,
Arizona,72,26.34811339,39.124994,27,75.5,28,'82,'18,80,112,98,100,58,59,87,59,46,27,44
Arizona State,50,33.29708819,27.749993,21.5,46.5,60,'35,'107,83,26,21,45,52,68,81,38,28,23,19
Arkansas,39,37.49082832,22.562492,11.75,55,54,'24,'54,25,22,57,108,53,63,47,14,31,65,35
Arkansas State,108,18.86049807,56.687491,51.75,71.5,100,'104,'84,107,119,100,76,72,66,72,73,70,107,61
Army,85,23.66243716,44.68749,33.25,79,74,'37,'79,70,63,69,72,84,91,102,127,120,115,120
Auburn,23,47.65287293,13.687489,14.5,11.25,29,'34,'36,51,29,28,9,7,8,21,23,6,6,55
Ball State,121,16.21658028,64.624988,55,93.5,132,'126,'118,113,107,73,86,119,123,96,115,91,53,73
Baylor,35,39.12881911,20.812487,12.75,45,71,'38,'97,36,15,63,18,67,76,32,13,8,17,37
Boise State,49,33.66529974,27.249986,25.25,33.25,64,'29,'44,59,42,47,37,28,38,30,30,32,38,29
Boston College,92,21.80206904,48.999985,43,67,97,'70,'83,112,75,79,92,63,53,73,57,58,55,74
Bowling Green,124,14.64124937,69.874984,56,111.5,113,'77,'94,122,111,126,128,126,101,93,51,89,44,78
Brigham Young,38,38.06063995,21.937483,16,39.75,18,'17,'76,71,46,7,60,46,97,46,44,35,43,39
Buffalo,105,19.2877298,55.499982,48.5,76.5,95,'87,'119,99,103,48,71,82,105,124,103,95,88,110
California,81,24.06185579,43.812481,36.25,66.5,80,'55,'67,77,68,81,74,56,74,62,28,71,87,54
Central Florida,42,35.05957529,25.43748,27,20.75,76,'62,'57,46,62,29,14,18,22,76,113,54,33,48
Central Michigan,111,18.617245,57.374979,46.25,90.75,101,'120,'126,110,84,90,84,122,98,91,85,88,112,99
Charlotte,125,14.33691408,70.937478,57.25,112,134,'118,'129,115,114,109,95,118,129,126,126,,,
Cincinnati,28,42.72280825,17.437477,8.75,43.5,56,'72,'87,30,5,8,34,50,95,82,55,48,51,36
Clemson,5,68.92797556,4.874976,5.5,3,34,'22,'23,14,8,3,4,3,5,2,4,18,8,17
Coastal Carolina,82,23.88970871,44.187475,26.5,97.25,122,'99,'68,81,25,25,113,116,115,,,,,
Colorado,101,19.84069444,53.999974,50,66,96,'39,'81,124,104,67,81,80,64,53,87,87,71,112
Colorado State,113,18.48579098,57.749973,52.75,72.75,124,'94,'98,126,87,92,78,102,57,64,72,59,63,92
Connecticut,117,17.09379019,61.874972,42.25,120.75,53,'67,'120,116,129,129,126,128,122,107,91,112,96,68
Delaware,136,0,144.499971,136,170,109,,,,,,,,,,,,,
Duke,61,30.06035668,32.56247,23,61.25,44,'44,'30,48,113,104,68,51,46,80,66,47,58,84
East Carolina,87,23.57788008,44.874969,25,104.5,38,'74,'111,62,78,96,116,110,112,100,80,40,52,82
Eastern Michigan,115,18.24699889,58.437468,46.75,93.5,119,'114,'109,86,101,107,101,86,90,97,124,128,123,119
Florida,24,46.30254971,14.624967,16,10.5,63,'20,'41,34,30,6,7,9,34,20,25,21,46,5
Florida Atlantic,96,21.01918542,50.937466,45.75,66.5,99,'113,'100,91,92,95,40,81,50,113,100,104,84,113
Florida International,123,14.91366602,68.937465,58,101.75,107,'112,'128,129,125,112,97,96,102,125,118,119,125,103
Florida State,37,38.1765814,21.812464,17,36.25,41,'83,'9,27,53,85,58,71,9,7,5,2,1,2
Fresno State,65,29.29842416,33.812463,22.75,67,66,'85,'60,58,33,91,80,16,81,122,107,92,48,32
Georgia,2,96.54420184,1.374962,0.5,4,6,'6,'2,1,1,5,5,2,4,42,18,3,7,6
Georgia Southern,109,18.70536854,57.124961,48.75,82.25,103,'76,'82,92,117,71,87,87,117,84,52,79,,
Georgia State,103,19.60844857,54.62496,38.25,103.75,133,'123,'89,82,71,88,107,125,111,109,92,126,120,
Georgia Tech,73,26.25151289,39.312459,32.75,59,35,'66,'65,102,96,75,111,74,39,48,43,33,37,50
Hawaii,99,20.43333971,52.437458,38.5,94.25,68,'107,'123,128,86,102,69,103,124,103,117,114,99,115
Houston,44,34.51929219,26.124957,17.75,51.25,40,'102,'95,53,31,59,82,64,43,39,53,56,59,83
