,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Alabama,1,25,2,98.74187454,21.999998,21.25,24.25,9,11,4,5,1,1,13,1,4,1,2,1,3,2
Appalachian State,2,24,71,10.03033934,0.374997,0,1.5,,,,,,,20,,,,,,,
Arizona,3,23,29,50.28814175,3.937496,5.25,0,17,,14,,,,,,,,,10,,
Arizona State,4,22,43,40.55724305,2.624995,3.5,0,,12,,,,,,,,,,15,16,
Arkansas,5,21,62,20.8296753,0.937494,1.25,0,,,,,21,,,,,,,,,
Army,6,20,65,17.62448147,0.749993,1,0,,22,,,,,,,,,,,,
Auburn,7,19,41,42.145336,2.812492,0,11.25,,,,,,,12,,7,14,,19,2,
Baylor,8,18,26,55.08550282,4.749991,4.75,4.75,,,,,7,,7,,,,17,5,6,
Boise State,9,17,32,49.06893817,3.74999,4.25,2.25,,9,,,,,19,25,25,,,20,,20
Brigham Young,10,16,18,66.92783645,7.374989,9,2.5,12,17,,,13,16,,,,,,,,
Central Florida,11,15,47,34.59776586,1.999988,0,8,,,,,,,,8,12,,,,15,
Cincinnati,12,14,23,59.24773917,5.562487,5.5,5.75,,,,,4,8,21,,,,,,,
Clemson,13,13,8,84.34884084,13.562486,10,24.25,,16,22,7,19,2,3,2,1,2,1,17,12,14
Coastal Carolina,14,12,63,19.79695875,0.874985,0,3.5,,,,,,12,,,,,,,,
Colorado,15,11,49,29.63384528,1.562484,0.75,4,,23,,,,,,,,10,,,,
Duke,16,10,83,0.001920929807,-1.7e-05,0,0,,,,,,,,,,,,,22,
Florida,17,9,31,49.4805409,3.812482,0,15.25,,,,,,7,9,10,,17,19,,,4
Florida State,18,8,19,66.6919147,7.312481,8.5,3.75,,,5,13,,,,,,11,9,3,1,13
Fresno State,19,7,76,8.565022934,0.31248,0,1.25,,,,,,,,21,,,,,21,
Georgia,20,6,1,100,22.937479,23.75,20.5,3,2,6,1,3,9,5,5,3,,,13,23,6
Georgia Tech,21,5,66,17.62421155,0.749978,1,0,22,,,,,,,,,,,12,,
Houston,22,4,46,35.24697323,2.062477,2.75,0,21,,,,20,,,,,,18,,,
Illinois,23,3,59,23.73829015,1.124976,1.5,0,,20,,,,,,,,,,,,
Indiana,24,2,14,72.51228561,8.999975,10.75,3.75,1,8,,,,11,,,,,,,,
Iowa,25,1,22,59.54617537,5.624974,5.75,5.25,23,,17,,15,15,16,,,,5,,,
Iowa State,0,0,44,40.55705193,2.624973,2,4.5,,18,,,,10,,24,,,,,,
James Madison,,,72,10.02976679,0.374972,0.5,0,24,,,,,,,,,,,,,
Kansas State,,,36,46.47902968,3.374971,4.5,0,,,25,9,,,,,,,,11,,7
Kent State,,,84,0.001511561148,-3e-05,0,0,,,,,,,,,,,,,,25
Kentucky,,,50,28.85606518,1.499969,1,3,,,,,22,,,14,,,,,,
Liberty,,,68,14.05522783,0.562468,0.75,0,,,23,,,,,,,,,,,
Louisiana,,,61,21.82903133,0.999967,0.75,1.75,,,,,23,19,,,,,,,,
Louisiana State,,,17,67.62500611,7.562466,5.5,13.75,,,13,17,,,1,11,17,20,20,23,14,9
Louisville,,,40,42.65717729,2.874965,2.75,3.25,,,15,,,,,,,13,,21,18,22
Memphis,,,60,23.73811232,1.124964,0.25,3.75,,25,,,,,17,,20,,,,,
Miami,,,20,65.23813669,6.937463,7.25,6,10,13,,,,18,,,10,,,,,
Michigan,,,4,93.34068877,18.374962,20.25,12.75,18,,1,2,2,,14,7,,6,14,,,19
Michigan State,,,33,48.22892678,3.624961,4,2.5,,,,,10,,,,16,,3,8,4,
Minnesota,,,69,12.76954806,0.49996,0,2,,,,,,,18,,,,,25,,
Mississippi State,,,52,28.05865256,1.437459,1,2.75,,,,22,,,,18,23,,,7,,
Missouri,,,27,54.7411502,4.687458,6,0.75,,19,9,,,,,23,,,,16,9,
Navy,,,77,7.028032119,0.249957,0,1,,,,,,,23,,,25,21,,,
Nebraska,,,85,0.001070696641,-4.4e-05,0,0,,,,,,,,,,,,,,23
North Carolina,,,64,18.72885946,0.812455,0,3.25,,,,,,13,,,,,10,,,
North Carolina State,,,30,49.88670402,3.874954,4.75,1.25,,,18,23,18,23,,,24,,,,,
North Texas,,,79,5.412663875,0.187453,0.25,0,25,,,,,,,,,,,,,
Northern Illinois,,,86,0.0009447342197,-4.8e-05,0,0,,,,,,,,,,,,,24,16
Northwestern,,,54,26.40073337,1.312451,0,5.25,,,,,,14,,22,21,,13,,,21
Notre Dame,,,5,90.69276027,16.81245,16.75,17,11,5,16,21,5,4,15,3,14,,8,,25,1
Ohio State,,,3,98.48403049,21.812449,21.5,22.75,2,6,7,4,6,3,2,6,5,3,7,4,7,3
Oklahoma,,,9,83.94065503,13.374948,10.5,22,8,,12,,16,6,4,4,2,7,4,,11,12
Oklahoma State,,,21,61.27996186,5.999947,5.75,6.75,,,20,,9,21,25,,19,12,16,,13,
Ole Miss,,,11,81.22541149,12.187446,16.25,0,6,14,11,,8,,,,,,12,9,,
Oregon,,,6,88.40144507,15.562445,19,5.25,5,1,8,15,14,25,6,,,,15,2,10,5
Oregon State,,,34,47.80034915,3.562444,4.75,0,,,19,14,,,,,,,,,,15
Penn State,,,7,85.67211772,14.187443,13.25,17,,4,10,11,,,10,12,9,5,,,,
Pittsburgh,,,42,42.144923,2.812442,3.5,0.75,,,,,12,,,,,23,,,,
San Diego State,,,73,10.02905682,0.374941,0.5,0,,,,,24,,,,,,,,,
San Jose State,,,78,7.027603842,0.24994,0,1,,,,,,22,,,,,,,,24
South Carolina,,,37,46.47879935,3.374939,4.5,0,,15,,19,,,,,,,,,8,11
Southern California,,,16,68.75375357,7.874938,6.5,12,16,,,10,,17,22,,8,9,25,24,,
Southern Methodist,,,38,46.47878495,3.374937,4.5,0,,10,24,,,,,,,,,,,
Stanford,,,55,26.4005291,1.312436,0,5.25,,,,,,,,,13,18,6,,5,8
Syracuse,,,56,26.40051548,1.312435,1.25,1.5,,21,,,,,,20,,,,,,
Temple,,,81,3.709513688,0.124934,0,0.5,,,,,,,,,,24,24,,,
Tennessee,,,15,71.10334947,8.562433,11,1.25,,7,21,6,,,,,,21,23,,,
Texas,,,10,83.6655825,13.249932,16.25,4.25,13,3,3,20,,20,,15,,,,,,
Texas A&M,,,24,58.94611341,5.499931,5,7,7,,,,25,5,,19,,,,,20,10
Texas Tech,,,28,51.46145528,4.12493,5.5,0,4,,,,,,,,,,,,,
Texas Christian,,,25,56.42543257,4.999929,5.75,2.75,,,,3,,,,,15,,11,6,,
Troy,,,74,10.02875908,0.374928,0.5,0,,,,24,,,,,,,,,,
Tulane,,,39,43.65668492,2.999927,4,0,20,,,16,,,,,,,,,,
Tulsa,,,82,3.709289749,0.124926,0,0.5,,,,,,24,,,,,,,,
UCLA,,,51,28.85551093,1.499925,2,0,,,,18,,,,,,,,14,17,17
UNLV,,,75,10.02866747,0.374924,0.5,0,,24,,,,,,,,,,,,
Utah,,,13,76.0458581,10.187423,11,7.75,15,,,8,11,,11,17,,19,22,22,,
Utah State,,,87,0,-7.8e-05,0,0,,,,,,,,,,,,,,18
UTSA,,,80,5.41181527,0.187421,0.25,0,,,,25,,,,,,,,,,
Vanderbilt,,,45,37.11772765,2.24992,3,0,14,,,,,,,,,,,,,
Virginia,,,53,28.05813577,1.437419,1.75,0.5,19,,,,,,24,,,,,,,
Virginia Tech,,,70,12.7686663,0.499918,0,2,,,,,,,,,22,22,,,,
Wake Forest,,,48,31.13290884,1.687417,2.25,0,,,,,17,,,,,,,,,
Washington,,,12,76.91343127,10.499916,9.5,13.5,,,2,12,,,,9,11,4,,,,
Washington State,,,57,26.40024312,1.312415,0,5.25,,,,,,,,13,18,,,,,
West Virginia,,,58,25.53738859,1.249914,0,5,,,,,,,,16,,16,,,,
Western Michigan,,,67,16.4777601,0.687413,0,2.75,,,,,,,,,,15,,,,
Wisconsin,,,35,47.36575335,3.499912,0,14,,,,,,,8,,6,8,,18,19,
