,'2025,,'2024,,'2023,,'2022,,'2021,,'2020,,'2019,,'2018,,'2017,,'2016,,'2015,,'2014,
Air Force,81,1081,111,1111,46,1045,57,1057,54,1054,80,1080,31,1025,85,1085,104,1104,58,1058,59,1058,74,1074
Akron,117,1117,124,1124,130,1130,127,1127,127,1127,124,1124,129,1129,120,1120,120,1121,90,1090,81,1081,101,1101
Alabama,13,29,7,15,4,11,3,7,1,4,1,2,6,16,1,2,1,5,1,2,1,4,1,2
Appalachian State,111,1111,100,1100,52,1052,66,1066,41,1036,31,1024,20,47,34,1029,58,1058,45,1043,52,1049,98,1098
Arizona,19,45,82,1082,15,32,80,1080,112,1112,98,1098,100,1100,59,1058,59,1059,87,1087,60,1059,23,56
Arizona State,60,1060,19,47,107,1107,83,1083,34,1026,29,1021,45,1045,53,1052,68,1068,81,1081,43,1038,18,43
Arkansas,54,1054,33,1024,54,1054,31,1025,18,43,58,1057,108,1108,54,1053,63,1063,49,1047,26,1014,36,1031
Arkansas State,100,1100,104,1104,84,1084,107,1107,119,1119,100,1100,76,1076,72,1072,66,1066,72,1072,74,1073,70,1070
Army,74,1074,22,59,79,1079,70,1070,63,1063,69,1069,72,1072,84,1084,91,1091,101,1102,126,1127,120,1120
Auburn,33,1029,39,1034,39,1036,51,1051,35,1029,33,1028,10,21,26,1007,7,15,15,35,31,1023,11,25
Ball State,132,1132,126,1126,118,1118,113,1113,107,1107,73,1073,86,1086,119,1119,122,1123,96,1096,114,1115,91,1091
Baylor,71,1071,40,1038,97,1097,40,1036,9,22,64,1063,14,25,68,1067,76,1076,36,1032,13,30,5,13
Boise State,64,1064,15,38,45,1044,59,1059,45,1042,49,1047,23,56,22,53,25,63,34,1030,36,1030,22,52
Boston College,97,1097,70,1070,83,1083,112,1112,75,1075,79,1079,92,1092,64,1063,53,1053,73,1073,58,1057,58,1058
Bowling Green,113,1113,77,1077,94,1094,122,1122,111,1111,126,1126,128,1128,126,1126,101,1101,93,1093,54,1051,89,1089
Brigham Young,14,30,14,34,76,1076,71,1071,23,59,11,23,60,1060,47,1046,97,1097,48,1046,47,1044,38,1035
Buffalo,95,1095,87,1087,119,1119,99,1099,103,1103,50,1048,71,1071,82,1082,105,1105,123,1124,103,1103,95,1095
California,80,1080,55,1055,67,1067,77,1077,68,1068,81,1081,74,1074,57,1056,74,1074,62,1062,35,1028,71,1071
Central Florida,76,1076,62,1062,57,1057,48,1046,62,1062,34,1029,26,1014,11,26,16,34,76,1076,112,1113,54,1054
Central Michigan,101,1101,120,1120,126,1126,110,1110,84,1084,90,1090,84,1084,122,1122,98,1098,91,1091,85,1085,88,1088
Charlotte,134,1134,118,1118,129,1129,115,1115,114,1114,109,1109,95,1095,118,1118,128,1129,125,1126,125,1126,128,1001000
Cincinnati,56,1056,72,1072,87,1087,34,1030,5,9,8,16,22,55,51,1050,95,1095,82,1082,56,1055,49,1048
Clemson,37,1034,15,38,19,45,10,21,11,27,2,5,3,7,2,5,2,6,2,4,2,5,16,35
Coastal Carolina,122,1122,99,1099,68,1068,81,1081,33,1025,16,37,113,1113,116,1116,114,1115,128,1001000,128,1001000,128,1001000
Colorado,96,1096,24,62,81,1081,124,1124,104,1104,67,1067,81,1081,80,1080,64,1064,24,63,87,1087,87,1087
Colorado State,124,1124,94,1094,98,1098,126,1126,87,1087,92,1092,78,1078,102,1102,57,1057,64,1064,73,1072,59,1059
Connecticut,53,1053,67,1067,120,1120,116,1116,129,1129,129,1129,126,1126,128,1128,121,1122,106,1107,91,1091,112,1112
Delaware,109,1109,135,1001000,134,1001000,132,1001000,131,1001000,130,1001000,131,1001000,131,1001000,130,1001000,128,1001000,128,1001000,128,1001000
Duke,45,1044,45,1044,35,1030,49,1048,113,1113,104,1104,68,1068,52,1051,46,1046,80,1080,67,1066,48,1047
East Carolina,40,1038,74,1074,111,1111,62,1062,78,1078,96,1096,116,1116,110,1110,111,1112,99,1100,80,1080,42,1040
Eastern Michigan,119,1119,114,1114,109,1109,86,1086,101,1101,107,1107,101,1101,86,1086,90,1090,97,1097,123,1124,127,1128
Florida,63,1063,30,1020,43,1041,38,1034,36,1030,5,13,6,16,9,19,37,1034,17,37,18,44,30,1021
Florida Atlantic,99,1099,113,1113,100,1100,91,1091,92,1092,95,1095,41,1040,81,1081,50,1050,112,1113,100,1100,104,1104
Florida International,107,1107,112,1112,128,1128,129,1129,125,1125,112,1112,97,1097,96,1096,102,1102,124,1125,117,1118,119,1119
Florida State,42,1041,83,1083,7,14,18,40,53,1053,85,1085,58,1058,71,1071,26,1009,9,18,6,14,2,5
Fresno State,66,1066,85,1085,60,1060,58,1058,38,1033,91,1091,80,1080,17,37,81,1081,121,1122,106,1107,92,1092
Georgia,4,9,3,8,2,8,1,2,1,4,6,14,4,10,3,7,3,7,44,1042,28,1018,8,16
Georgia Southern,103,1103,76,1076,82,1082,92,1092,117,1117,71,1071,87,1087,87,1087,116,1117,84,1084,55,1052,79,1079
Georgia State,133,1133,123,1123,89,1089,82,1082,71,1071,88,1088,107,1107,125,1125,110,1111,108,1109,92,1092,125,1126
Georgia Tech,23,57,66,1066,65,1065,102,1102,96,1096,75,1075,111,1111,74,1074,41,1039,50,1048,46,1043,20,45
Hawaii,68,1068,107,1107,123,1123,128,1128,86,1086,102,1102,69,1069,103,1103,123,1124,102,1103,116,1117,114,1114
Houston,24,61,102,1102,95,1095,53,1053,20,51,60,1059,82,1082,65,1064,43,1043,41,1039,23,71,56,1056
Illinois,31,1024,20,51,75,1075,29,1021,64,1064,89,1089,61,1061,97,1097,96,1096,94,1094,69,1068,68,1068
Indiana,1,2,10,19,92,1092,94,1094,100,1100,16,37,29,1023,70,1070,36,1033,57,1057,75,1074,65,1065
Iowa,17,35,28,1016,25,64,30,1023,17,42,12,25,18,36,31,1023,38,1035,39,1037,19,47,50,1049
