TOURNAMENTS,,Value,CNL,'2022,'2018,'2024,'2023,'2021,,NATIONS LEAGUE,,Value,Ovr,2024-25,2023-24,2022-23,2019-20
,,,,Word Cup,,Copa,Gold,Gold,,,,,,,,,
1,Mexico,100,2,Group,R16,,CHAMPS,Final,,1,UNITED STATES,100,2,Semis,CHAMPS,CHAMPS,CHAMPS
2,UNITED STATES,96.5777228,1,R16,wcq,,Semis,CHAMPS,,2,Mexico,87.89404462,1,CHAMPS,Final,Semis,Final
3,Costa Rica,65.09380141,5,Group,Group,,Qtr,Qtr,,3,Panama,60.34053567,4,Final,Semis,Semis,group
4,Panama,48.77615415,3,wcq,Group,Qtr,Final,group,,4,Canada,58.09297762,7,Semis,Qtr,Final,group
5,Honduras,40.9020992,6,wcq,wcq,,group,Qtr,,5,Costa Rica,40.16530028,3,Qtr,Qtr,group,Semis
6,Jamaica,35.85713039,7,wcq,,,Semis,Qtr,,6,Honduras,40.16519543,5,Qtr,Qtr,group,Semis
7,Canada,35.31819461,4,Group,,Semis,Qtr,Semis,,7,Jamaica,33.68905517,6,Qtr,Semis,group,
8,Trinidad and Tobago,24.89616964,9,,wcq,,group,group,,8,Suriname,22.53851227,16,Qtr,group,group,
9,El Salvador,20.90971297,13,wcq,,,group,Qtr,,9,Trinidad and Tobago,19.07002917,8,,Qtr,,group
10,Haiti,13.61156746,15,,,,group,group,,10,Cuba,15.20845727,12,group,group,,group
11,Guatemala,12.41494204,19,,,,Qtr,group,,11,Curacao,15.20843546,14,,group,group,group
12,Cuba,9.079582126,10,,,,group,,,12,Martinique,15.20821737,13,,group,group,group
13,Martinique,9.079126962,12,,,,group,group,,13,El Salvador,10.85225477,9,,group,group,
14,Curacao,8.589518985,11,,,,,,,14,Grenada,10.85220521,18,,group,group,
15,Guadeloupe,4.883258573,18,,,,group,group,,15,Haiti,10.85210607,10,,group,,group
16,Suriname,3.867607895,8,,,,,group,,16,Bermuda,5.856618889,19,,,,group
17,Nicaragua,3.663286889,22,,,,,,,17,French Guiana,5.856446712,20,group,,,
18,Grenada,3.413648323,14,,,,,group,,18,Guadeloupe,5.85638932,15,group,,,
19,Bermuda,2.179757954,16,,,,,,,19,Guatemala,5.856360623,11,,group,,
20,French Guiana,2.179479836,17,,,,,,,20,Guyana,5.856331927,21,group,,,
,,,,,,,,,,,,,,,,,
,,,,'2023,'2021,'2019,'2017,'2015,,,,,,2024-25,2023-24,2022-23,2019-20
,GOLD CUP WINNERS,,,MEX,USA,MEX,USA,MEX,,,NATIONS LEAGUE WINNERS,,,MEX,USA,USA,USA
,GOLD CUP RUNNER-UP,,,PAN,MEX,USA,JAM,JAM,,,NATIONS LEAGUE RUNNER-UP,,,PAN,MEX,CAN,MEX
,,,,,,,,,,,,,,,,,
,,,,'2022,'2018,'2014,'2010,'2006,,,,,,,,,
,WORLD CUP WINNERS,,,ARG,FRA,GER,ESP,ITA,,,,,,,,,
,WORLD CUP RUNNER-UP,,,FRA,CRO,ARG,NED,FRA,,,,,,,,,
