,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2024,'2023,'2021,'2019,'2017,'2016,'2015,'2013,2011
,,,,,,Copa,Gold,Gold,Gold,Gold,Copa,Gold,Gold,Gold
Belize,23,0,0.062497,0,0.25,,,,,,,,1,
Bermuda,18,3.919457072,0.187496,0.25,0,,,,1,,,,,
Canada,6,47.15593734,3.187495,4,0.75,5,3,5,3,3,,1,1,1
Costa Rica,5,47.40707913,3.218744,3.5,2.375,0.5,3,3,3,5,0.5,3,3,3
Cuba,12,18.62235627,0.812493,0.5,1.75,,1,,1,,,3,3,1
Curacao,14,17.41212128,0.749992,1,0,,,,3,1,,,,
El Salvador,8,35.14237986,1.937491,2,1.75,,1,3,1,3,,1,3,3
French Guiana,19,3.919279593,0.18749,0.25,0,,,,,1,,,,
Grenada,17,5.718466835,0.249989,0.25,0.25,,,1,,,,,,1
Guadeloupe,15,10.59702262,0.437488,0.5,0.25,,1,1,,,,,,1
Guatemala,10,22.00930107,0.999987,1,1,,3,1,,,,1,,3
Guyana,20,3.919161273,0.187486,0.25,0,,,,1,,,,,
Haiti,9,30.90479535,1.593735,1.75,1.125,,1,1,5,,0.5,3,1,
Honduras,7,37.91701524,2.187484,2,2.75,,1,3,1,3,,1,5,5
Jamaica,3,66.34961836,6.406233,7,4.625,0.5,5,3,5,15,0.5,15,,3
Martinique,13,18.62214709,0.812482,1,0.25,,1,1,1,1,,,1,
Mexico,1,100,19.249981,20,17,0.5,30,15,30,5,3,30,5,30
Nicaragua,16,9.04875473,0.37498,0.5,0,,,,1,1,,,,
Panama,4,64.90253495,6.093729,6,6.375,3,15,1,3,3,0.5,5,15,5
Saint Kitts and Nevis,21,3.918924633,0.187478,0.25,0,,1,,,,,,,
Suriname,22,3.918895052,0.187477,0.25,0,,,1,,,,,,
Trinidad and Tobago,11,20.91794746,0.937476,0.75,1.5,,1,1,1,,,3,3,
UNITED STATES,2,98.6329614,18.437475,20,13.75,0.5,5,30,15,30,5,5,30,15
,,,,,,,,,,,,,,
Gold Cup,,,,,,,MEX,USA,MEX,USA,,MEX,USA,MEX
Runner-Up,,,,,,,PAN,MEX,USA,JAM,,JAM,PAN,USA
