,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2024-25,2023-24,2022-23,2019-20
Belize,21,0.0005793059103,-2e-06,0,0,,,,
Bermuda,16,5.856618889,0.187497,0.25,0,,,,1
Canada,4,58.09297762,4.499996,6,0,5,3,15,1
Costa Rica,5,40.16530028,2.249995,3,0,3,3,1,5
Cuba,10,15.20845727,0.562494,0.75,0,1,1,,1
Curacao,11,15.20843546,0.562493,0.75,0,,1,1,1
El Salvador,13,10.85225477,0.374992,0.5,0,,1,1,
French Guiana,17,5.856446712,0.187491,0.25,0,1,,,
Grenada,14,10.85220521,0.37499,0.5,0,,1,1,
Guadeloupe,18,5.85638932,0.187489,0.25,0,1,,,
Guatemala,19,5.856360623,0.187488,0.25,0,,1,,
Guyana,20,5.856331927,0.187487,0.25,0,1,,,
Haiti,15,10.85210607,0.374986,0.5,0,,1,,1
Honduras,6,40.16519543,2.249985,3,0,3,3,1,5
Jamaica,7,33.68905517,1.687484,2.25,0,3,5,1,
Martinique,12,15.20821737,0.562483,0.75,0,,1,1,1
Mexico,2,87.89404462,12.187482,16.25,0,30,15,5,15
Nicaragua,22,0,-1.9e-05,0,0,,,,
Panama,3,60.34053567,4.87498,6.5,0,15,5,5,1
Suriname,8,22.53851227,0.937479,1.25,0,3,1,1,
Trinidad and Tobago,9,19.07002917,0.749978,1,0,,3,,1
UNITED STATES,1,100,17.812477,23.75,0,5,30,30,30
,,,,,,,,,
Nations League,,,,,,MEX,USA,USA,USA
Runner-Up,,,,,,PAN,MEX,CAN,MEX
