,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2022,'2018,'2014,'2010,'2006
Belize,11,0.001219386929,-2e-06,0,0,,,,,
Bermuda,12,0.001155209247,-3e-06,0,0,,,,,
Canada,7,20.4387938,0.374996,0.5,0,2,,,,
Costa Rica,3,82.65331505,2.624995,3.5,0,2,2,8,0.5,2
Cuba,13,0.0009626758163,-6e-06,0,0,,,,,
Curacao,14,0.0008984978778,-7e-06,0,0,,,,,
El Salvador,8,11.02985773,0.187492,0.25,0,0.5,,,0.5,
French Guiana,15,0.0007701418082,-9e-06,0,0,,,,,
Grenada,16,0.0007059636772,-1e-05,0,0,,,,,
Guadeloupe,17,0.000641785482,-1.1e-05,0,0,,,,,
Guatemala,10,5.7517351,0.093738,0.125,0,,,,,0.5
Guyana,18,0.000513428899,-1.3e-05,0,0,,,,,
Haiti,19,0.0004492505113,-1.4e-05,0,0,,,,,
Honduras,4,42.44800536,0.937485,1.25,0,0.5,0.5,2,2,
Jamaica,9,11.02942537,0.187484,0.25,0,0.5,,0.5,,
Martinique,20,0.0002567149629,-1.7e-05,0,0,,,,,
Mexico,1,100,3.749982,5,0,2,5,5,5,5
Nicaragua,21,0.0001283576098,-1.9e-05,0,0,,,,,
Panama,5,32.38187291,0.65623,0.875,0,0.5,2,0.5,,0.5
Suriname,22,0,-2.1e-05,0,0,,,,,
Trinidad and Tobago,6,28.64216046,0.562478,0.75,0,,0.5,,0.5,2
UNITED STATES,2,91.91077789,3.187477,4.25,0,5,0.5,5,5,2
,,,,,,,,,,
World Cup,,,,,,ARG,FRA,GER,ESP,ITA
Runner-Up,,,,,,FRA,CRO,ARG,NED,FRA
