,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
AC Milan,26,29.04069512,1.312498,1.75,0,,1,0.5,5,0.5,[UEL],n/a,[UEL],[UEL],n/a,n/a,n/a,2,2,3
Arsenal,7,59.44325942,4.562497,5.75,1,15,5,3,[UEL],n/a,[UEL],[UEL],[UEL],[UEL],2,2,2,2,2,2
Atletico Madrid,10,52.10091758,3.499996,3.25,4.25,5,2,3,0.5,3,2,3,2,UEL*,5,15,3,15,[UEL],[UEL]
Barcelona,11,48.29065472,3.031245,2.875,3.5,3,5,3,0.5,0.5,2,3,5,3,3,3,30,3,5,5
Bayern Munich,6,65.16984129,5.562494,4,10.25,5,3,5,3,3,3,30,2,5,3,5,5,5,30,15
Chelsea,9,58.45631295,4.406243,2.75,9.375,2,UECL*,n/a,3,3,30,2,UEL,0.5,n/a,2,2,5,0.5,30
Dortmund,8,59.44322828,4.562492,5.25,2.5,1,3,15,2,0.5,3,2,2,0.5,3,[UEL],2,3,15,0.5
Inter Milan,5,69.93921487,6.531241,8.5,0.625,1,15,2,15,2,0.5,0.5,0.5,n/a,[UEL],n/a,[UEL],n/a,[UEL],2
Juventus,14,42.13603487,2.37499,1.25,5.75,1,1,n/a,0.5,2,2,2,3,3,15,2,15,0.5,3,n/a
Liverpool,4,73.09660898,7.249989,5.5,12.5,3,2,[UEL],2,15,3,2,30,15,n/a,[UEL],0.5,n/a,[UEL],n/a
Manchester City,3,79.76015112,8.999988,10,6,2,1,3,30,5,15,3,3,3,2,5,2,2,0.5,0.5
Manchester United,23,30.41704941,1.406237,0.875,3,,[UEL],0.5,[UEL],2,0.5,[UEL],3,2,UEL*,0.5,n/a,3,2,0.5
Paris Saint-Germain,2,93.94907021,14.062486,16.75,6,30,30,5,2,2,5,15,2,2,2,3,3,3,3,UEL
Real Madrid,1,100,16.937485,17,16.75,3,3,30,5,30,5,2,2,30,30,30,5,30,5,5
Tottenham Hotspur,12,47.19949565,2.906234,2.25,4.875,2,UEL*,n/a,2,[UECL],[UEL],2,15,2,0.5,[UEL],[UEL],[UEL],[UEL],[UEL]
AEK Athens,89,1.068997206,0.031233,0,0.125,,,,,,,,0.5,,,,,,,
Ajax,32,24.01167285,0.999982,0.75,1.75,0.5,,,0.5,2,0.5,0.5,5,,,,0.5,0.5,0.5,0.5
Anderlecht,90,1.068930033,0.031231,0,0.125,,,,,,,,,0.5,,,0.5,0.5,0.5,
Antwerp,67,3.106916282,0.09373,0.125,0,,,0.5,,,,,,,,,,,,
APOEL,91,1.06886286,0.031229,0,0.125,,,,,,,,,0.5,,,0.5,,,3
Astana,105,0.003013483455,-2.2e-05,0,0,,,,,,,,,,,0.5,,,,
Aston Villa,21,31.74081309,1.499977,2,0,UEL*,3,,,,,,,,,,,,,
Atalanta,17,36.95636514,1.906226,2.125,1.25,2,1,UEL*,,0.5,2,3,,,,,,,,
Athletic Bilbao,29,24.54858259,1.031225,1.375,0,0.5,[UEL],,,,,,,,,,0.5,,,
Austria Vienna,106,0.002874938241,-2.6e-05,0,0,,,,,,,,,,,,,0.5,,
Basel,60,5.031452075,0.156223,0,0.625,,,,,,,,,2,0.5,,2,0.5,,2
BATE Borisov,107,0.002805665427,-2.8e-05,0,0,,,,,,,,,,,0.5,0.5,,0.5,0.5
Benfica,18,36.95630554,1.906221,2.25,0.875,1,2,0.5,3,3,,0.5,0.5,0.5,2,3,0.5,0.5,0.5,3
Besiktas,52,7.731713852,0.24997,0.125,0.625,,,,,0.5,,,,2,0.5,,,,,
Bodo/Glimt,46,13.31757153,0.468719,0.625,0,2,[UEL],,,,,,,,,,,,,
Bologna,68,3.106536269,0.093718,0.125,0,,0.5,,,,,,,,,,,,,
Braga,30,24.54844617,1.031217,1.375,0,[UEL],,0.5,,,,,,,,,,,0.5,
Brest,56,5.95495127,0.187466,0.25,0,,1,,,,,,,,,,,,,
Celta Vigo,92,1.068392642,0.031215,0,0.125,,,,,,,,,,,,,,,
