,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Arsenal,0,0,3,86.85812969,26.812498,28.75,21,1,2,2,2,5,8,8,5,6,5,2,3,4,4,3
Aston Villa,1,40,8,72.3148471,14.937497,18.75,3.5,4,6,4,7,14,11,17,,,,20,16,14,15,16
Bournemouth,2,25,12,62.63049847,9.999996,10.5,8.5,6,9,12,15,,,18,14,10,8,15,,,,
Brentford,3,24,15,57.56995848,8.062495,10.75,0,9,10,16,9,13,,,,,,,,,,
Brighton & Hove Albion,4,23,10,65.44168609,11.249994,13.25,5.25,8,8,11,6,9,16,15,17,15,,,,,,
Burnley,5,16,19,40.00062341,3.624993,1.75,9.25,19,,19,,18,17,9,15,7,16,,19,,,
Cardiff City,6,15,32,4.488939837,0.187492,0,0.75,,,,,,,,18,,,,,20,,
Chelsea,7,14,5,81.10312234,21.312491,18.25,30.5,10,4,6,12,3,4,4,3,5,1,10,1,3,3,6
Crystal Palace,8,13,9,66.35822393,11.68749,12.75,8.5,15,12,10,11,12,14,14,12,10,14,15,10,11,,
Everton,9,12,14,58.28070293,8.312489,6.75,13,13,13,15,17,16,9,12,8,8,7,11,11,5,6,7
Fulham,10,11,17,56.27757446,7.624988,9.75,1.25,11,11,13,10,,18,,19,,,,,19,12,9
Huddersfield Town,11,10,29,8.317915986,0.374987,0,1.5,,,,,,,,20,16,,,,,,
Hull City,12,9,33,4.488807869,0.187486,0,0.75,,,,,,,,,,18,,18,16,,
Ipswich Town,13,8,30,8.317877995,0.374985,0.5,0,,19,,,,,,,,,,,,,
Leeds United,14,7,21,37.40507632,3.187484,3.25,3,14,,,19,17,9,,,,,,,,,
Leicester City,15,6,16,56.83927769,7.812483,4.75,17,,18,,18,8,5,5,9,9,12,1,14,,,
Liverpool,16,5,2,91.27550972,31.937482,33.25,28,5,1,3,5,2,3,1,2,4,4,8,6,2,7,8
Luton Town,17,4,28,11.65665627,0.562481,0.75,0,,,18,,,,,,,,,,,,
Manchester City,18,3,1,100,44.99998,44.25,47.25,2,3,1,1,1,1,2,1,1,3,4,2,1,2,1
Manchester United,19,2,4,84.13879654,24.062479,24,24.25,3,15,8,3,6,2,3,6,2,6,5,4,7,1,2
Middlesbrough,20,1,34,3.076459114,0.124978,0,0.5,,,,,,,,,,19,,,,,
Newcastle United,0,0,7,73.31951203,15.562477,17.75,9,12,5,7,4,11,12,13,13,10,,18,15,10,16,5
Norwich City,,,31,5.828311419,0.249976,0.25,0.25,,,,,20,,20,,,,19,,18,11,12
Nottingham Forest,,,18,47.86506156,5.249975,7,0,16,7,17,16,,,,,,,,,,,
Queens Park Rangers,,,35,0,-2.6e-05,0,0,,,,,,,,,,,,20,,20,17
Sheffield United,,,24,18.104246,0.999973,0.25,3.25,,,20,,,20,9,,,,,,,,
Southampton,,,20,40.00050482,3.624972,2,8.5,,20,,20,15,15,11,16,17,8,6,7,8,17,
Stoke City,,,26,13.66663247,0.687471,0,2.75,,,,,,,,,19,12,9,9,9,13,14
Sunderland,,,22,34.08382915,2.68747,3.5,0.25,7,,,,,,,,,20,17,16,14,,13
Swansea City,,,27,12.68086175,0.624969,0,2.5,,,,,,,,,18,14,11,8,12,9,11
Tottenham Hotspur,,,6,73.90427452,15.937468,14,21.75,17,17,5,8,4,7,6,4,3,2,3,5,6,5,4
Watford,,,23,27.58289675,1.874967,0.5,6,,,,,19,,19,11,14,16,13,,,,
West Bromwich Albion,,,25,16.41847084,0.874966,0,3.5,,,,,,19,,,20,10,14,13,17,8,10
West Ham United,,,11,63.50600223,10.374965,10,11.5,18,14,9,14,7,6,16,9,13,10,7,11,13,10,
Wolverhampton,,,13,59.31177799,8.687464,8.5,9.25,20,13,14,13,10,12,7,7,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,
Qualifying Spots,,,,,,,,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
FA Cup,,3,,,,,,Manchester City,Crystal Palace,Manchester United,Manchester City,Liverpool,Leicester City,Arsenal,Manchester City,Chelsea,Arsenal,Manchester United,Arsenal,Arsenal,Wigan Athletic,Chelsea
League Cup,,2,,,,,,Manchester City,Newcastle United,Liverpool,Manchester United,Liverpool,Manchester City,Manchester City,Manchester City,Manchester City,Manchester United,Manchester City,Chelsea,Manchester City,Swansea City,Liverpool
,,,,,,,,,,,,,,,,,,,,,,
Prem,,,,,,,,ARSENAL,LIVERPOOL,MAN CITY,MAN CITY,MAN CITY,MAN CITY,LIVERPOOL,MAN CITY,MAN CITY,CHELSEA,LEICESTER CITY,CHELSEA,MAN CITY,UNITED,MAN CITY
FA Winner,,,,,,,,MAN CITY,CRYSTAL PALACE,UNITED,MAN CITY,LIVERPOOL,LEICESTER CITY,ARSENAL,MAN CITY,CHELSEA,ARSENAL,UNITED,ARSENAL,ARSENAL,WIGAN,CHELSEA
FA Loser,,,,,,,,CHE,CITY,CITY,UTD,CHE,CHE,CHE,WAT,UTD,CHE,PAL,VIL,HULL,CITY,LIV
EFL Winner,,,,,,,,MAN CITY,NEWCASTLE,LIVERPOOL,UNITED,LIVERPOOL,MAN CITY,MAN CITY,MAN CITY,MAN CITY,UNITED,MAN CITY,CHELSEA,MAN CITY,SWANSEA,LIVERPOOL
EFL Loser,,,,,,,,ARS,LIV,CHE,NEW,CHE,THFC,VIL,CHE,ARS,SOT,LIV,THFC,SUND,BRAD,CARD
