BIG TEN CONFERENCE,,HKY,Value,CHAMPS,,NCAAT,2025-26,2024-25,2023-24,2022-23,2021-22,,COLLEGE HOCKEY,,Value,Conf,CHAMPS,,NCAAT,2025-26,2024-25,2023-24,2022-23,2021-22
1,Minnesota,6,100,3,1,6,6,1,3,Frozen,Frozen,,1,Denver,100,NCHC,4,,9,CHAMPS,Frozen,CHAMPS,ncaa,CHAMPS
2,MICHIGAN,2,73.24587406,,3,7,Frozen,4,Frozen,Frozen,Frozen,,2,MICHIGAN,75.94321256,B1G,,,7,Frozen,14,Frozen,Frozen,Frozen
3,Michigan State,16,64.89613353,3,2,4,B1G,B1G x2,B1G x2,5,7,,3,Quinnipiac,72.99495137,ECAC,1,,8,ncaa,ncaa,ncaa,CHAMPS,ncaa
4,Penn State,12,33.20427684,1,1,5,3,Frozen,6,3,5,,4,Western Michigan,70.82622792,NCHC,1,,6,ncaa,CHAMPS,ncaa,ncaa,ncaa
5,Ohio State,19,32.83044931,1,,5,5,3,7,4,4,,5,Boston University,68.15129717,EAST,,,7,28,Final,Frozen,Frozen,17
6,Wisconsin,13,25.02668485,1,,3,Frozen,6,2,7,5,,6,Minnesota,67.82417752,B1G,,,6,39,ncaa,ncaa,Final,Frozen
7,Notre Dame,17,0,1,2,6,7,7,5,6,3,,7,Minnesota Duluth,63.17427024,NCHC,2,,7,ncaa,42,30,23,ncaa
,,,,,,,,,,,,,8,North Dakota,60.40478865,NCHC,1,,6,Frozen,18,ncaa,19,ncaa
ECAC HOCKEY,,HKY,Value,CHAMPS,,NCAAT,2025-26,2024-25,2023-24,2022-23,2021-22,,9,Boston College,57.03176708,EAST,,,4,18,ncaa,Final,26,28
,,,,,,,,,,,,,10,Minnesota State,56.72934869,CCHA,,,6,ncaa,ncaa,33,11,Final
1,Quinnipiac,3,100,5,,8,ECAC,ECAC,ECAC,CHAMPS,ECAC,,,,,,,,,,,,,
2,CORNELL,14,73.79097686,2,2,8,IVY,ECACT,ECACT,3,4,,11,Massachusetts,50.75116894,EAST,1,,5,17,ncaa,ncaa,29,ncaa
3,Harvard,20,59.35131907,1,2,6,6,7,8,IVY,ECACT,,12,Penn State,46.0219296,B1G,,,5,ncaa,Frozen,23,ncaa,25
4,Clarkson,33,47.34305822,,1,2,8,2,5,6,2,,13,Wisconsin,45.08647349,B1G,,,3,Final,30,ncaa,37,37
5,Colgate,34,41.49410688,,1,1,7,3,3,ECACT,5,,14,CORNELL,43.39964335,IVY,,,8,ncaa,ncaa,ncaa,ncaa,24
6,Union,38,41.20150693,,,1,5,4,6,7,7,,15,St. Cloud State,42.0727787,NCHC,,,6,30,33,16,ncaa,ncaa
7,Dartmouth,30,41.17179741,,1,2,ECACT,5,4,12,11,,16,Michigan State,41.7030682,B1G,,,4,ncaa,ncaa,ncaa,ncaa,36
8,Princeton,43,26.58686456,,1,2,4,IVY,9,7,10,,17,Notre Dame,39.65341829,B1G,,,6,51,41,22,17,ncaa
9,St. Lawrence,53,20.98101937,,,.,11,12,7,4,8,,18,Providence,36.04918903,EAST,,,6,ncaa,ncaa,16,24,19
10,Rensselaer,55,19.14506119,,,.,9,10,12,7,6,,19,Alaska Anchorage,1.014569016,IND,,,.,62,59,39,52,
11,Yale,42,11.11513923,,,2,10,11,9,10,11,,20,Harvard,30.45628342,IVY,,,6,32,38,49,ncaa,ncaa
12,Brown,56,0,,,1,12,8,11,11,9,,,,,,,,,,,,,
,,,,,,,,,,,,,HOCKEY BLUE BLOODS,,HKY,Conf,CHAMPS,,NCAAT,2025-26,2024-25,2023-24,2022-23,2021-22
,,,,,,,,,,,,,,,,,,,,,,,,
,,,B1G CHAMPION,,,B1G TOURNAMENT,,,ECAC TOURNAMENT,,,,1,Denver,1,NCHC,4,,9,CHAMPS,Frozen,CHAMPS,ncaa,CHAMPS
,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-26,MICHIGAN STATE,,,MICHIGAN,,OSU,DARTMOUTH,,PRIN,,2,MICHIGAN,2,B1G,,,7,Frozen,14,Frozen,Frozen,Frozen
,,2024-25,MICHIGAN STATE,,,MICHIGAN STATE,,OSU,CORNELL,,CLAR,,3,Boston University,5,EAST,,,7,28,Final,Frozen,Frozen,17
,,2023-24,MICHIGAN STATE,,,MICHIGAN STATE,,MICH,CORNELL,,SLU,,4,Minnesota,6,B1G,,,6,39,ncaa,ncaa,Final,Frozen
,,2022-23,MINNESOTA,,,MICHIGAN,,MINN,COLGATE,,HAR,,5,North Dakota,8,NCHC,1,,6,Frozen,18,ncaa,19,ncaa
,,2021-22,MINNESOTA,,,MICHIGAN,,MINN,HARVARD,,QU,,6,Boston College,9,EAST,,,4,18,ncaa,Final,26,28
,,,,,,,,,,,,,,,,,,,,,,,,
,,,NCAA TOURNAMENT,,,,,,No. 1,IVY,ECAC,,ORIGINAL CCHA,,HKY,Conf,CHAMPS,,NCAAT,2025-26,2024-25,2023-24,2022-23,2021-22
,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-26,2 DENVER,,,3 WIS,1 MICH,1 UND,MICH,COR,QU,,1,MICHIGAN,2,B1G,,,7,Frozen,14,Frozen,Frozen,Frozen
,,2024-25,1 WESTERN MICH,,,2 BU,3 DEN,4 PSU,BC,PRIN,QU,,2,Western Michigan,4,NCHC,1,,6,ncaa,CHAMPS,ncaa,ncaa,ncaa
,,2023-24,1 DENVER,,,1 BC,1 BU,3 MICH,BC,COR,QU,,3,Michigan State,16,B1G,,,4,ncaa,ncaa,ncaa,ncaa,36
,,2022-23,1 QUINNIPIAC,,,1 MINN,1 MICH,2 BU,MINN,HAR,QU,,4,Notre Dame,17,B1G,,,6,51,41,22,17,ncaa
,,2021-22,1 DENVER,,,1 MNST,1 MICH,2 MINN,MICH,HAR,QU,,5,Ohio State,19,B1G,,,5,21,ncaa,25,ncaa,15
,,,,,,,,,,,,,6,Omaha,29,NCHC,,,2,43,28,ncaa,20,23
,,,HOCKEY EAST,,,NCHC,,CCHA,,ATLANTIC,,,7,Ferris State,37,CCHA,,,1,56,53,63,38,49
,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-26,PROV,MERR,,UND,DEN,MNST,MNST,BENT,BENT,,8,Bowling Green,40,CCHA,,,1,24,38,56,39,34
,,2024-25,BC,ME,,WMU,WMU,MNST,MNST,HC,BENT,,9,Lake Superior State,41,CCHA,,,1,53,49,46,57,32
,,2023-24,BC,BC,,UND,DEN,BSU,TECH,RIT,RIT,,10,Alaska Fairbanks,46,IND,,,.,35,38,25,15,30
,,2022-23,BU,BU,,DEN,SCSU,MNST,MNST,RIT,CAN,,11,Northern Michigan,48,CCHA,,,.,60,63,48,28,26
