,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Air Force,26,10.14866872,0.374998,0,1.5,,,,,,,,3,3,,,,,1
American International,25,11.56507027,0.437497,0.25,1,,,,,1,1,3,,,,,,,
Arizona State,40,1.933111762,0.062496,0,0.25,,,,,,,1,,,,,,,
Bemidji State,33,5.477188184,0.187495,0,0.75,,,,,,3,,,,,,,,
Bentley,23,15.47165953,0.624994,0.5,1,1,1,,,,,,,,,,,,
Boston College,9,52.45856728,4.187493,4.5,3.25,,3,15,,,3,,,,10,1,10,1,30
Boston University,4,66.51017734,7.062492,8.75,2,,15,10,10,,1,,3,3,1,15,,,1
Bowling Green,41,1.932961813,0.062491,0,0.25,,,,,,,1,,,,,,,
Brown,44,0.00317044031,5.25e-05,0,0.00025,,,,,,0.001,,,,,,,,
Canisius,34,5.477027185,0.187489,0.25,0,,,,1,,,,,,,,,1,
Clarkson,37,3.754183929,0.124988,0,0.5,,,,,,,1,1,,,,,,
Colgate,35,5.476973519,0.187487,0.25,0,,,,1,,,,,,,,1,,
Connecticut,21,17.83292971,0.749986,1,0,1,3,,,,,,,,,,,,
Cornell,15,36.94038462,2.1875475,2.5,1.25025,1,3,3,3,,0.001,3,1,1,,,,,3
Dartmouth,32,5.478570053,0.1875465,0.25,0.00025,1,,,,,0.001,,,,,,,,
Denver,1,100,22.062483,25,13.25,30,10,30,1,30,,10,3,30,10,3,1,1,1
Ferris State,36,5.476839353,0.187482,0,0.75,,,,,,,,,,3,,3,,15
Harvard,20,24.02052687,1.1250435,0.5,3.00025,,,,1,1,0.001,1,,10,1,1,,,
Lake Superior State,42,1.932631923,0.06248,0,0.25,,,,,,1,,,,,,,,
Maine,27,10.14822841,0.374979,0.5,0,,1,1,,,,,,,,,,,1
Massachusetts,11,49.65092416,3.749978,1.25,11.25,,3,1,,1,30,15,,,,,,,
Merrimack,28,10.14818207,0.374977,0.5,0,1,,,1,,,,,,,,,,
Miami (OH),45,0.0007328936305,-2.4e-05,0,0,,,,,,,,,,,1,,3,1
Michigan,3,71.31611565,8.374975,10,3.5,10,,10,10,10,1,,10,,3,,,,1
Michigan State,17,29.19815305,1.499974,2,0,3,1,3,1,,,,,,,,,,1
Michigan Tech,22,16.67384035,0.687473,0.75,0.5,,,1,1,1,,,1,1,,1,,,
Minnesota,7,60.5518249,5.687472,7.25,1,,1,3,15,10,3,,,1,,1,15,1,10
Minnesota Duluth,6,63.9389234,6.437471,1.5,21.25,3,,,,3,10,30,30,15,3,3,,,3
Minnesota State,10,50.88451598,3.93747,4.25,3,1,1,,,15,10,1,1,,,1,1,1,
New Hampshire,46,0.0005098408317,-3.1e-05,0,0,,,,,,,,,,,,,3,
Niagara,47,0.0004779760187,-3.2e-05,0,0,,,,,,,,,,,,,1,
North Dakota,8,53.58983609,4.374967,3,8.5,10,,1,,1,3,,,1,30,10,10,3,3
Northeastern,29,10.14792715,0.374966,0.25,0.75,,,,,1,,1,1,,1,,,,
Notre Dame,14,38.76092362,2.374965,0.75,7.25,,,,,3,1,3,15,10,1,,1,1,
Ohio State,18,29.19802559,1.499964,1,3,,1,,3,,,1,10,1,,,,,
Omaha,30,7.110792667,0.249963,0.25,0.25,,,1,,,1,,,,,10,,,
Penn State,13,43.16308727,2.874962,3.5,1,1,10,,3,,,,1,3,,,,,
Princeton,38,1.933936467,0.0625235,0,0.25025,,,,,,0.001,,1,,,,,,
Providence,19,26.71371339,1.31246,0.5,3.75,1,1,,,,,10,3,1,1,30,3,,
Quinnipiac,2,71.73812421,8.499959,9.75,4.75,3,1,3,30,3,1,3,,,15,1,1,15,
RIT,31,7.110665207,0.249958,0.25,0.25,,,1,,,,,,,1,3,,,
