,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Air Force,44,28.04028759,40.124998,42.75,32.25,36,47,45,58,43,47,48,43,27,12,28,49,35
Alabama Huntsville,65,0,153.937497,187.5,53.25,,,,,,49,57,58,51,56,56,53,58
Alaska Anchorage,60,14.37292211,76.499996,75,81,62,59,39,52,,,57,60,60,57,51,52,27
Alaska Fairbanks,34,33.54865498,31.20832833,26.25,46.08333333,35,38,25,15,30,47.33333333,37,48,57,52,53,24,28
American International,57,23.1575138,50.374994,58.5,26,,51,27,36,21,3,26,31,44,54,60,59,57
Arizona State,28,38.54235151,24.999993,25.25,24.25,41,15,19,40,27,30,13,10,53,44,59,,
Army,49,26.54588805,42.999992,46.75,31.75,45,47,56,53,42,12,38,52,41,36,41,57,59
Augustana,63,6.408218669,112.499991,87.5,187.5,15,35,39,,,,,,,,,,
Bemidji State,35,33.43042131,31.37499,35,20.5,50,46,31,34,29,10,12,35,31,29,32,27,46
Bentley,40,30.63044107,35.624989,33.75,41.25,23,24,44,56,44,39,45,40,45,41,46,41,41
Boston College,10,58.23156774,11.312488,11.5,10.75,18,1,1,26,28,5,6,34,16,16,5,11,2
Boston University,8,64.06978919,9.249987,7.25,15.25,28,5,2,5,17,14,29,25,15,7,9,3,45
Bowling Green,31,35.04103269,29.187486,33.75,15.5,24,38,56,39,34,9,21,15,17,38,27,16,26
Brown,55,23.32547084,49.97915167,51.75,44.66666667,59,43,61,48,57,44.66666667,53,26,55,59,49,47,37
Canisius,48,26.9569932,42.187484,46,30.75,48,55,58,41,40,11,50,54,37,25,54,40,48
Clarkson,25,41.89381901,21.624983,25.5,10,34,20,36,32,16,16,9,5,10,24,23,44,25
Colgate,38,32.56531516,32.624982,30,40.5,49,28,36,25,31,37,42,50,33,50,42,17,12
Colorado College,30,36.0233879,27.937481,26.75,31.5,31,31,14,31,46,43,40,23,24,39,55,51,52
Connecticut,19,44.8773213,19.06248,15.25,30.5,14,6,24,21,20,21,33,46,34,34,44,43,42
Cornell,9,58.59269642,11.16664567,13,5.666666667,11,17,11,13,24,5.666666667,3,11,3,11,15,36,17
Dartmouth,33,34.21181127,30.29164467,27.5,38.66666667,6,22,28,61,54,38.66666667,41,37,38,43,21,22,43
Denver,1,100,4.187477,4,4.75,5,6,3,4,4,26,5,8,5,1,6,5,23
Ferris State,54,23.47695739,49.624976,49,51.5,56,53,63,38,49,51,56,57,50,49,30,34,5
Harvard,26,41.58089762,21.91664167,23.75,16.41666667,32,38,49,7,18,22.66666667,27,13,28,3,11,9,40
Holy Cross,42,29.51005978,37.499974,34.5,46.5,38,25,29,46,52,48,51,56,47,40,34,48,53
Lake Superior State,47,27.27910123,41.562473,45,31.25,53,49,46,57,32,7,43,22,56,53,45,54,34
Lindenwood,62,8.158580009,103.312472,75.25,187.5,37,54,62,60,,,,,,,,,
Long Island,58,16.29870721,69.749971,43,150,42,25,52,59,53,46,,,,,,,
Maine,22,43.88215513,19.87497,17,28.5,25,4,9,30,51,41,15,29,29,46,52,42,24
Massachusetts,13,54.59653808,12.937469,12.75,13.5,17,9,14,29,11,6,8,4,36,58,50,45,47
Mercyhurst,56,23.15752478,50.374968,54.25,38.75,63,64,60,55,39,34,60,53,23,45,37,39,32
Merrimack,29,37.75820689,25.874967,21.5,39,19,31,35,14,22,38,46,55,42,30,38,30,49
Miami OH,46,27.37675914,41.374966,43.25,35.75,33,62,50,45,45,45,44,38,30,31,26,4,31
Michigan,3,73.31773136,6.999965,3.75,16.75,1,14,10,3,1,17,14,28,8,37,7,19,15
Michigan State,15,53.72139778,13.374964,6.25,34.75,3,2,4,16,36,44,28,32,35,47,47,31,38
Michigan Tech,20,44.25906923,19.562463,18.5,22.75,20,45,32,10,12,18,25,42,21,27,16,7,36
Minnesota,2,81.23907047,5.749962,4.5,9.5,39,6,5,1,6,4,17,19,13,4,18,10,1
Minnesota Duluth,16,53.23804098,13.624961,16.5,5,8,42,30,23,5,19,4,2,12,2,14,6,21
Minnesota State,6,66.2391635,8.62496,10.5,3,13,16,33,11,2,1,2,3,6,28,24,1,10
New Hampshire,32,34.66127589,29.687459,28,34.75,40,21,18,50,33,40,31,33,52,35,39,29,18
Niagara,51,25.62836378,44.874958,44.75,45.25,55,51,43,35,50,35,47,45,54,60,58,58,50
North Dakota,4,69.19834018,7.874957,8.25,6.75,2,18,6,19,7,2,1,20,14,10,3,2,14
Northeastern,18,47.38328925,17.187456,18.25,14,27,22,19,18,14,29,19,6,9,22,13,23,16
Northern Michigan,41,29.69248486,37.187455,40.5,27.25,60,63,48,28,26,31,34,24,20,48,35,35,39
Notre Dame,21,44.18312683,19.624954,22.25,11.75,51,41,22,17,9,25,20,12,2,13,12,33,8
Ohio State,12,54.72478829,12.874953,14,9.5,21,11,25,9,15,42,10,9,4,15,31,37,19
Omaha,24,42.30354634,21.249952,20.75,22.75,43,28,12,20,23,23,30,47,19,19,17,8,29
Penn State,11,56.0544689,12.249951,12.75,10.75,9,11,23,8,25,36,7,16,11,9,22,32,51
Princeton,43,28.79666244,38.74995,40.5,33.5,22,43,53,44,56,39,55,44,18,33,57,56,55
Providence,14,54.21680065,13.124949,12.75,14.25,7,9,16,24,19,22,22,14,7,14,4,15,11
Quinnipiac,7,65.56328489,8.812448,7,14.25,10,13,8,2,8,13,16,7,32,21,1,14,6
Rensselaer,52,23.98427213,48.45828033,48.75,47.58333333,54,50,53,51,41,48.33333333,36,51,58,55,25,46,30
RIT,37,32.69273757,32.437446,31.25,36,44,59,21,22,38,27,35,36,46,51,36,38,54
