,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Air Force,1,5,33,10.36568606,0.187498,0,0.75,,,,,,,,4,3,,,,,4
American International,2,3,30,16.40097303,0.312497,0.25,0.5,,,,,4,4,4,,,,,,,
Arizona State,3,2,37,7.105172319,0.124996,0,0.5,,,,,,,3,,,,,,,
Bemidji State,4,1,40,3.658302565,0.062495,0,0.25,,,,,,4,,,,,,,,
Bentley,,,28,19.20614713,0.374994,0.5,0,4,4,,,,,,,,,,,,
Boston College,,,9,73.35557184,2.374993,2.5,2,,1,1,,,1,,,,2,3,1,2,1
Boston University,,,8,76.61604891,2.562492,2.75,2,,2,1,2,,3,,4,2,3,1,,,3
Bowling Green,,,41,3.658075542,0.062491,0,0.25,,,,,,,4,,,,,,,
Canisius,,,34,10.36527981,0.18749,0.25,0,,,,4,,,,,,,,,4,
Clarkson,,,31,16.40060547,0.312489,0,1.25,,,,,,,2,3,,,,,,
Colgate,,,35,10.36517824,0.187488,0.25,0,,,,4,,,,,,,,3,,
Connecticut,,,23,33.74883855,0.749987,1,0,4,2,,,,,,,,,,,,
Cornell,,,14,59.61905407,1.687486,1.5,2.25,3,4,3,4,,,3,1,3,,,,,4
Dartmouth,,,24,26.91459702,0.562485,0.75,0,2,,,,,,,,,,,,,
Denver,,,1,100,4.249984,4.5,3.5,2,3,1,1,1,,2,2,1,2,2,4,3,3
Ferris State,,,42,3.657621494,0.062483,0,0.25,,,,,,,,,,4,,2,,2
Harvard,,,18,48.90400045,1.249982,1,2,,,,2,4,,4,,1,3,3,,,
Lake Superior State,,,38,7.104368275,0.124981,0,0.5,,,,,,3,,,,,,,,
Maine,,,15,55.25765648,1.49998,2,0,,1,2,,,,,,,,,,,3
Massachusetts,,,16,53.73085419,1.437479,1.25,2,,3,4,,3,2,1,,,,,,,
Merrimack,,,29,19.20544541,0.374978,0.5,0,4,,,4,,,,,,,,,,
Miami OH,,,44,0.00138700198,-2.3e-05,0,0,,,,,,,,,,,1,,2,2
Michigan,,,2,93.96438899,3.749976,4.25,2.25,1,,3,1,1,2,,2,,2,,,,1
Michigan State,,,6,80.70578814,2.812475,3.75,0,1,1,1,,,,,,,,,,,4
Michigan Tech,,,21,43.65660259,1.062474,1.25,0.5,,,4,3,3,,,4,4,,2,,,
Minnesota,,,4,87.25690319,3.249973,3.5,2.5,,2,2,1,2,1,,,1,,3,1,1,2
Minnesota Duluth,,,12,66.25231585,1.999972,1.5,3.5,2,,,,2,3,1,3,1,4,2,,,2
Minnesota State,,,10,73.35517875,2.374971,2.25,2.75,4,4,,3,1,2,1,2,,,1,3,3,
New Hampshire,,,45,0.0009648743193,-3e-05,0,0,,,,,,,,,,,,,2,
Niagara,,,46,0.0009045701266,-3.1e-05,0,0,,,,,,,,,,,,,4,
North Dakota,,,7,80.70567742,2.812468,2.75,3,1,,2,,2,1,,,3,1,1,4,2,1
Northeastern,,,25,26.91390231,0.562467,0.25,1.5,,,,,4,,2,3,,4,,,,
Notre Dame,,,22,41.80069085,0.999966,0.5,2.5,,,,,3,4,3,1,4,3,,2,1,
Ohio State,,,19,48.90354482,1.249965,1,2,,3,,3,,,3,1,4,,,,,
Omaha,,,27,21.88548154,0.437464,0.5,0.25,,,3,,,4,,,,,2,,,
Penn State,,,17,52.16400918,1.374963,1.5,1,3,4,,2,,,,3,3,,,,,
Princeton,,,43,3.656429602,0.062462,0,0.25,,,,,,,,4,,,,,,
Providence,,,13,61.00487535,1.749961,1.5,2.5,2,2,,,,,4,2,4,1,4,3,,
Quinnipiac,,,5,81.68614213,2.87496,3,2.5,3,3,3,1,2,3,2,,,1,4,2,1,
RIT,,,32,13.45694151,0.249959,0.25,0.25,,,4,,,,,,,4,4,,,
Robert Morris,,,47,0.0002412200271,-4.2e-05,0,0,,,,,,,,,,,,4,,
St. Cloud State,,,11,67.49546184,2.062457,1.25,4.5,,,,2,3,2,1,1,,1,3,3,4,
UMass Lowell,,,26,26.91347777,0.562456,0.25,1.5,,,,,4,,,,2,2,,2,1,3
Union,,,36,10.36350242,0.187455,0,0.75,,,,,,,,,2,,,1,3,1
Vermont,,,48,0,-4.6e-05,0,0,,,,,,,,,,,,4,,
Western Michigan,,,3,89.00471691,3.374953,4.25,0.75,1,1,4,3,1,,,,2,,,,,4
Wisconsin,,,20,48.90319639,1.249952,1.25,1.25,3,,2,,,1,,,,,,1,4,
Yale,,,39,7.102760156,0.124951,0,0.5,,,,,,,,,,3,4,,3,
