,,COLLEGE FOOTBALL PLAYOFF,,,,,,,,NCAA TOURNAMENT,,,,,,,,,,,FROZEN FOUR,,,COLLEGE WORLD SERIES,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NC (A),RU (B),,A: QF,B: QF,C: QF,D: QF,,NC (A),RU (B),,A: E8,B: E8,,A: S16,B: S16,C: S16,D: S16,,NC (A),RU (B),,NC (A),RU (B),,A: Rd2,B: Rd2
,,A: SF (C),B: SF (D),,A: Rd 1,B: Rd 1,C: Rd 1,D: Rd 1,,A: FF (C),B: FF (D),,C: E8,D: E8,,A: S16,B: S16,C: S16,D: S16,,A: FF (C),B: FF (D),,A: SF (C),B: SF (D),,C: Elim,D: Elim
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,INDIANA,MIAMI,,Alabama,Ohio State,Texas Tech,Georgia,,MICHIGAN,UCONN,,Tennessee,Duke,,Alabama,Michigan State,Arkansas,Houston,,Denver,WISCONSIN,,,,,,
,,Oregon,Ole Miss,,Oklahoma,Texas A&M,James Madison,Tulane,,Arizona,Illinois,,Purdue,Iowa,,Iowa State,St. John's,Texas,Nebraska,,Michigan,No Dakota,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,,OHIO STATE,NOTRE DAME,,Oregon,Georgia,Arizona State,Boise State,,FLORIDA,HOUSTON,,Texas Tech,Tennessee,,Maryland,Purdue,MICHIGAN,Arizona,,WESTERN,BOSTON U,,LSU,COASTAL,,UCLA,Oregon St
,,Texas,Penn State,,Tennessee,Indiana,Clemson,SMU,,Auburn,Duke,,Michigan State,Alabama,,Arkansas,Kentucky,Ole Miss,BYU,,Denver,Penn State,,Arkansas,Louisville,,Murray State,Arizona
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,,MICHIGAN,WASHINGTON,,Georgia,Oregon,Missouri,Ole Miss,,UCONN,PURDUE,,Illinois,Tennessee,,Iowa State,Creighton,UNC,Houston,,DENVER,BOSTON COL,,TENNESSEE,TEXAS A&M,,UNC,Kentucky
,,Alabama,Texas,,Florida State,Liberty,Ohio State,Penn State,,Alabama,NC State,,Clemson,Duke,,San Diego St,Gonzaga,Arizona,Marquette,,Boston U,MICHIGAN,,Florida State,Florida,,Virginia,NC State
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,,GEORGIA,TCU,,Alabama,Tennessee,Penn State,Tulane,,UCONN,SAN DIEGO ST,,Gonzaga,Creighton,,UCLA,Alabama,Houston,Tennessee,,QUINNIPIAC,MINNESOTA,,LSU,FLORIDA,,Tennessee,Oral Roberts
