MLB HISTORICAL,,MLB,Value,CHAMPS,Division,'2025,'2024,'2023,'2022,'2021,,NATIONAL LEAGUE,,MLB,Value,CHAMPS,Division,'2025,'2024,'2023,'2022,'2021
1,Houston,2,96.54133541,2,7,2,1st Div,ALCS,CHAMPS,AL,,1,LA Dodgers,1,100,3,9,CHAMPS,CHAMPS,1st Div,1st Div,NLCS
2,Cleveland,4,85.66958137,,6,1st Div,ALCS,3,1st Div,2,,2,Milwaukee,3,87.41447155,,5,NLCS,1st Div,1st Div,2,1st Div
3,NY Yankees,6,66.87315162,,3,playoff,AL,4,ALCS,playoff,,3,Atlanta,5,84.95902371,1,6,4,playoff,1st Div,1st Div,CHAMPS
4,Seattle,9,46.93625777,,1,ALCS,2,3,playoff,2,,4,Philadelphia,7,56.70006418,,2,1st Div,1st Div,NLCS,NL,2
5,Tampa Bay,11,42.6256199,,2,4,4,playoff,playoff,1st Div,,5,Chicago Cubs,8,47.04941897,1,3,playoff,2,2,3,4
6,Minnesota,12,42.49869599,,3,4,4,1st Div,3,5,,6,St. Louis,10,46.84386978,,2,4,2,5,1st Div,playoff
7,Toronto,13,34.93059271,,1,AL,5,playoff,playoff,4,,7,San Francisco,15,32.42213338,,1,3,4,4,3,1st Div
8,Boston,14,32.65949168,1,3,playoff,3,5,5,ALCS,,8,NY Mets,16,27.9288556,,.,2,NLCS,4,playoff,3
9,Chicago Sox,17,27.85224242,,1,5,5,4,2,1st Div,,9,San Diego,19,24.57106439,,.,playoff,playoff,3,NLCS,3
10,DETROIT,18,25.63653176,,.,playoff,playoff,2,4,3,,10,Arizona,22,16.70723969,,.,4,3,NL,4,5
11,Baltimore,20,24.45232808,,1,5,playoff,1st Div,4,5,,11,Miami,23,12.02708789,,.,3,5,playoff,4,4
12,Texas,21,22.50950198,1,1,3,3,CHAMPS,4,5,,12,Cincinnati,26,9.881598824,,.,playoff,4,3,5,3
13,Oakland,24,10.94597281,,1,4,4,5,5,3,,13,Washington,27,9.097563989,1,2,5,4,5,5,5
14,Kansas City,25,9.939496804,,.,3,playoff,5,5,4,,14,Colorado,29,0.1490460373,,.,5,5,5,5,4
15,LA Angels,28,4.087399772,,.,5,5,4,3,4,,15,Pittsburgh,30,0,,.,5,5,4,4,5
,,,,,,,,,,,,,,,,,,,,,,
,,WORLD SERIES CHAMPIONS,,,,LAD,LAD,TEX,HOU,ATL,,,,,,,,,,,,
,,WORLD SERIES RUNNER-UP,,,,TOR,NYY,AZ,PHI,HOU,,,,,,,,,,,,
