,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Baltimore,1,8,19,49.47811658,3.312498,3.75,2,5,2,1,4,5,4,5,5,5,2,3,1,3,2
Boston,2,4,14,57.02637352,3.749997,2.75,6.75,3,3,5,5,2,5,3,1,1,1,5,5,1,5
NY Yankees,3,3,6,81.78461626,5.749996,6,5,2,1,4,1,2,2,1,2,2,4,2,2,3,1
Tampa Bay,4,2,11,65.3099032,4.312495,4.25,4.5,4,4,2,3,1,1,2,3,3,5,4,4,2,3
Toronto,5,1,13,58.98921874,3.874994,4.25,2.75,1,5,3,2,4,3,4,4,4,2,1,3,5,4
Chicago Sox,6,0,16,52.85327999,3.499993,3.75,2.75,5,5,4,2,1,2,3,4,4,4,4,4,5,2
Cleveland,,,4,92.70762522,6.999992,7,7,1,1,3,1,2,3,2,1,1,1,3,3,2,4
Detroit,,,18,50.62855108,3.374991,3.75,2.25,2,2,2,4,3,5,5,3,5,2,5,1,1,1
Kansas City,,,25,31.46079371,2.49999,2.5,2.5,3,2,5,5,4,4,4,5,3,3,1,2,3,3
Minnesota,,,12,65.30982177,4.312489,3.75,6,4,4,1,3,5,1,1,2,2,5,2,5,4,5
Houston,,,2,98.274166,7.749988,8,7,2,1,1,1,1,2,1,1,1,3,2,4,5,6
LA Angels,,,28,20.29298082,2.124987,2,2.5,5,5,4,3,4,4,4,4,2,4,3,1,3,3
Oakland,,,24,33.10173143,2.562486,2,4.25,4,4,5,5,3,1,2,2,5,5,5,2,1,1
Seattle,,,8,68.59274944,4.562485,5,3.25,1,2,3,2,2,3,5,3,3,2,4,3,4,4
Texas,,,21,47.09419158,3.187484,3,3.75,3,3,2,4,5,5,3,5,3,1,1,5,2,2
Atlanta,,,5,92.21447079,6.937483,7,6.75,4,2,1,1,1,1,1,1,3,5,4,2,1,2
Miami,,,23,34.69057055,2.624982,2.5,3,3,5,3,4,4,2,5,5,2,3,3,4,5,5
NY Mets,,,17,52.8530711,3.499981,3.75,2.75,2,2,4,2,3,4,3,4,4,2,1,2,3,4
Philadelphia,,,7,75.27561187,5.12498,6,2.5,1,1,2,3,2,3,4,3,5,4,5,5,4,3
Washington,,,27,29.76381041,2.437479,1.25,6,5,4,5,5,5,5,2,2,1,1,2,1,2,1
Chicago Cubs,,,9,68.59266047,4.562478,3.75,7,2,2,2,3,4,1,3,2,1,1,3,5,5,5
Cincinnati,,,26,31.46044672,2.499977,2.75,1.75,3,4,3,5,3,3,4,5,5,5,5,4,3,1
Milwaukee,,,3,93.67932924,7.124976,8,4.5,1,1,1,2,1,4,2,1,2,4,4,3,4,3
Pittsburgh,,,30,0,1.624975,1.5,2,5,5,4,4,5,5,5,4,4,3,2,2,2,4
St. Louis,,,10,68.59260963,4.562474,4.5,4.75,4,2,5,1,2,2,1,3,3,2,1,1,1,2
Arizona,,,22,40.58511639,2.874973,2.75,3.25,4,3,2,4,5,5,2,3,2,4,3,5,2,3
Colorado,,,29,3.033979233,1.687472,1.25,3,5,5,5,5,4,4,4,2,3,3,5,4,5,5
LA Dodgers,,,1,100,7.999971,8,8,1,1,1,1,2,1,1,1,1,1,1,1,1,2
San Diego,,,20,49.47759516,3.31247,3.75,2,2,2,3,2,3,2,5,5,4,5,4,3,3,4
San Francisco,,,15,57.02592509,3.749969,4,3,3,4,4,3,1,3,3,4,5,2,2,2,3,1
