,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Baltimore,20,20.65074302,0.812498,1,0.25,,1,3,,,,,,,1,,5,,3
Boston,8,51.24871096,3.374997,1.5,9,1,,,,5,,,30,3,3,,,30,
Chicago Sox,23,16.85898278,0.624996,0.75,0.25,,,,,3,1,,,,,,,,
Cleveland,9,48.67542635,3.062495,2.25,5.5,1,5,,3,,1,,3,3,15,,,1,
Detroit,18,26.17387726,1.124994,1.5,0,3,3,,,,,,,,,,3,5,15
Houston,2,91.637143,12.999993,12.75,13.75,,1,5,30,15,5,15,5,30,,3,,,
Kansas City,24,15.49703629,0.562492,0.75,0,,3,,,,,,,,,30,15,,
LA Angels,29,0.0006250159167,-9e-06,0,0,,,,,,,,,,,,3,,
Minnesota,19,21.82775669,0.87499,0.75,1.25,,,3,,,1,3,,1,,,,,
NY Yankees,5,64.99545673,5.499989,6,4,3,15,,5,1,3,5,3,5,,1,,,5
Oakland,26,9.442865177,0.312488,0,1.25,,,,,,3,1,1,,,,1,3,3
Seattle,16,31.81694145,1.499987,2,0,5,,,3,,,,,,,,,,
Tampa Bay,14,38.86369435,2.062486,1.25,4.5,,,1,1,3,15,3,,,,,,3,
Texas,4,66.62593942,5.812485,7.5,0.75,,,30,,,,,,,3,3,,,1
Toronto,7,52.70574466,3.562484,4.25,1.5,15,,1,1,,1,,,,5,5,,,
Arizona,10,48.13696675,2.999983,3.75,0.75,,,15,,,,,,3,,,,,
Atlanta,3,74.81737052,7.624982,9.25,2.75,,1,3,3,30,5,3,3,,,,,3,1
Chicago Cubs,11,47.03452828,2.874981,0.75,9.25,3,,,,,1,,1,5,30,5,,,
Cincinnati,27,7.748501478,0.24998,0.25,0.25,1,,,,,1,,,,,,,1,3
Colorado,28,7.748473699,0.249979,0,1,,,,,,,,3,1,,,,,
LA Dodgers,1,100,16.812478,17,16.25,30,30,3,3,5,30,3,15,15,5,3,3,5,
Miami,25,11.05790335,0.374977,0.25,0.75,,,1,,,3,,,,,,,,
Milwaukee,12,41.58838118,2.312476,2.5,1.75,5,1,1,,3,1,1,5,,,,,,
NY Mets,17,27.18011225,1.187475,1.5,0.25,,5,,1,,,,,,1,15,,,
Philadelphia,6,61.48497434,4.874974,6.5,0,3,3,5,15,,,,,,,,,,
Pittsburgh,30,0,-2.7e-05,0,0,,,,,,,,,,,1,1,3,
San Diego,15,36.66974741,1.874972,2.25,0.75,1,3,,5,,3,,,,,,,,
San Francisco,21,19.43173379,0.749971,0.75,0.75,,,,,3,,,,,3,,30,,30
St. Louis,22,19.43171395,0.74997,0.5,1.5,,,,1,1,1,5,,,,3,5,15,5
Washington,13,40.92688855,2.249969,0,9,,,,,,,30,,3,3,,3,,3
,,,,,,,,,,,,,,,,,,,
World Series,,,,,,LAD,LAD,TEX,HOU,ATL,LAD,WAS,BOS,HOU,CHC,KC,SF,BOS,SF
,,,,,,TOR,NYY,AZ,PHI,HOU,TB,HOU,LAD,LAD,CLE,NYM,KC,STL,DET
