MAJOR LEAGUE SOCCER,,MLS,Value,CHAMPS,Semis,'2025,'2024,'2023,'2022,'2021,,LEAGUES/CONCACAF,,MLS,Value,LC,CCC,'2025,'2024,'2023,'2022,'2021,,,,,
1,Columbus,3,90.78722322,2,2,playoff,LC,CHAMPS,8,9,,1,Seattle,2,100,1,1,CHAMPS,Qtrs,,CHAMPS,Final,LC,LC,LC,CCC,LC
2,New York City,4,83.63114686,1,1,ECF,playoff,11,ECF,CHAMPS,,2,Cruz Azul,,95.51459337,1,1,CHAMPS,R16,R32,Semis,Semis,CCC,LC,LC,CCC,CCC
3,Inter Miami,5,83.61534795,1,3,CHAMPS,playoff,LC,playoff,11,,3,Monterrey,,94.04935177,,2,R16,Semis,Semis,,CHAMPS,CCC,CCC,LC,LC,CCC
4,Philadelphia,6,79.00754557,,4,playoff,12,playoff,East,ECF,,4,Inter Miami,5,93.7256503,1,,Final,Qtrs,CHAMPS,,,LC,CCC,LC,LC,LC
5,NY Red Bulls,8,61.26736032,,1,10,East,playoff,playoff,playoff,,5,Tigres,,91.50826108,,1,Semis,Qtrs,Semis,,Qtrs,CCC,CCC,CCC,LC,LC
6,ATLANTA,11,50.74314806,1,.,14,playoff,playoff,11,playoff,,6,Pachuca,,89.47694667,,2,Qtrs,CHAMPS,R16,,,LC,CCC,CCC,LC,LC
7,Toronto,12,50.62932712,1,1,12,11,15,13,13,,7,Leon,,89.14068795,1,1,,,CHAMPS,Qtrs,CHAMPS,LC,LC,CCC,CCC,LC
8,Orlando,13,47.58083803,,1,playoff,ECF,playoff,playoff,playoff,,8,Club America,,87.0908149,,1,Qtrs,Semis,R16,,Final,CCC,CCC,LC,LC,CCC
9,Cincinnati,14,47.39990806,,.,playoff,playoff,ECF,playoff,14,,9,Columbus,3,82.18793426,1,,R16,CHAMPS,R32,,Qtrs,CCC,LC,LC,LC,CCC
10,New England,18,40.1318977,,.,11,13,playoff,10,playoff,,10,Los Angeles,1,73.71133614,,,Qtrs,Final,Final,,,CCC,LC,CCC,LC,LC
11,Nashville,19,38.96029594,,1,playoff,14,playoff,playoff,playoff,,11,Pumas,,64.59924071,,,Qtrs,R16,R32,Final,Semis,CCC,LC,LC,CCC,LC
12,Montreal,24,26.65754535,,.,13,playoff,10,playoff,10,,12,Vancouver,10,64.25805,,,Final,R32,Qtrs,,,CCC,LC,CCC,LC,LC
13,Charlotte,26,17.79517499,,.,playoff,playoff,playoff,9,,,13,Nashville,19,53.74075996,,,,R16,Final,,,LC,CCC,LC,LC,LC
14,DC United,28,1.648389313,,.,15,10,12,14,8,,14,Philadelphia,6,49.69417776,,,,Semis,Semis,,Semis,LC,LC,LC,LC,CCC
15,Chicago,30,0,,.,playoff,15,13,12,12,,15,Guadalajara,,47.44117227,,1,R16,R16,,,,CCC,CCC,LC,LC,LC
1,Los Angeles,1,100,1,3,playoff,playoff,West,CHAMPS,9,,16,LA Galaxy,7,45.57385767,,,Semis,R32,,,,LC,LC,LC,LC,LC
2,Seattle,2,96.55725597,2,3,LC,WCF,playoff,CCC,playoff,,17,Orlando,13,40.55570972,,,Semis,R16,R16,,Qtrs,LC,CCC,CCC,LC,LC
3,LA Galaxy,7,76.23072868,1,2,14,CHAMPS,13,playoff,8,,18,Toronto,12,38.26935825,,,,R32,,,Qtrs,LC,LC,LC,LC,CCC
4,Portland,9,59.67830355,,.,playoff,playoff,10,8,West,,19,New York City,4,34.91605278,,,,Qtrs,R32,Semis,Qtrs,LC,LC,LC,CCC,LC
5,Vancouver,10,58.92663337,,2,West,playoff,6,9,playoff,,20,New England,18,31.43037997,,,,Qtrs,R16,Qtrs,,LC,CCC,LC,CCC,LC
6,Real Salt Lake,15,42.97650579,,.,playoff,playoff,playoff,playoff,WCF,,21,Santos Laguna,,30.70935007,,,,R32,,R16,Semis,LC,LC,LC,CCC,LC
7,Sporting KC,16,41.20264107,,1,15,13,playoff,12,playoff,,22,Colorado,21,27.50169477,,,R32,Semis,,R16,,CCC,LC,LC,CCC,LC
8,Minnesota,17,40.4799194,,.,playoff,playoff,11,playoff,playoff,,23,Toluca,,26.82855571,,,Qtrs,R16,R16,,,LC,LC,LC,LC,LC
9,Dallas,20,36.01785364,,1,playoff,11,playoff,playoff,11,,24,ATLANTA,11,26.62284819,,,,,,,Qtrs,LC,LC,LC,LC,CCC
10,Colorado,21,34.68273824,,1,11,playoff,14,10,playoff,,25,Houston,22,25.64131016,,,,R16,R16,,,LC,CCC,LC,LC,LC
11,Houston,22,34.66530458,,.,12,playoff,WCF,13,13,,26,Sporting KC,16,23.87028395,,,R32,R32,R32,,Qtrs,CCC,LC,LC,LC,LC
12,San Diego,23,28.35685863,,.,WCF,,,,,,27,Real Salt Lake,15,23.25961098,,,R32,,R16,,,CCC,LC,LC,LC,LC
13,Austin,25,21.51519469,,.,playoff,10,12,WCF,12,,28,Montreal,24,22.92005605,,,,R32,,Qtrs,,LC,LC,LC,CCC,LC
14,St. Louis,27,5.693820847,,.,13,12,playoff,,,,29,NY Red Bulls,8,21.81787878,,,,,R16,,,LC,LC,LC,LC,LC
15,San Jose,29,1.334362555,,.,10,14,playoff,13,10,,30,Portland,9,20.29881117,,,,R32,R32,,Qtrs,LC,LC,LC,LC,CCC
,,,,,,,,,,,,31,Chicago,30,19.97214835,,,,,R32,,,LC,LC,LC,LC,LC
,,,,,MLS CUP FINAL,,,US OPEN CUP FINAL,,,,32,Mazatlan,,19.97139414,,,,Qtrs,R32,,,LC,LC,LC,LC,LC
,,,,,,,,,,,,33,Queretaro,,18.88106645,,,,,Qtrs,,,,,,,
,,,,'2025,INTER MIAMI,,VAN,NASHVILLE,,ATX,,,,,,,,,,,,,LC,LC,LC,CCC,LC
,,,,'2024,LA GALAXY,,NYRB,LOS ANGELES,,SKC,,34,Atlas,,18.71984774,,,,R32,Qtrs,,,LC,LC,CCC,LC,LC
,,,,'2023,COLUMBUS,,LAFC,HOUSTON,,MIA,,35,Tijuana,,18.43333492,,,,,,,,LC,LC,LC,LC,LC
,,,,'2022,LOS ANGELES,,PHI,ORLANDO,,SAC,,36,Charlotte,26,17.66584189,,,,,Qtrs,,,LC,LC,LC,LC,LC
,,,,'2021,NEW YORK CITY,,POR,n/a,,n/a,,37,Minnesota,17,17.66558349,,,,,Qtrs,,,LC,LC,LC,LC,LC
,,,,,,,,,,,,38,Puebla,,17.66491877,,,Qtrs,,,,,LC,LC,LC,LC,LC
,,,,,LEAGUES CUP FINAL,,,CHAMPIONS CUP FINAL,,,,39,Cincinnati,14,13.9098242,,,R16,R16,R32,,,CCC,LC,LC,LC,LC
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,'2025,SEATTLE,,MIA,CRUZ AZUL,,VAN,,40,Dallas,20,13.57556571,,,,,R16,,,LC,LC,LC,LC,LC
,,,,'2024,COLUMBUS,,LAFC,PACHUCA,,CLB,,41,DC United,28,7.675044734,,,,R32,R32,,,LC,LC,LC,LC,LC
,,,,'2023,INTER MIAMI,,NASH,LEON,,LAFC,,42,Austin,25,7.313582274,,,,R32,R16,,,,,,,
,,,,'2022,n/a,,n/a,SEATTLE,,UNAM,,43,St. Louis,27,7.203616961,,,,R16,,,,,,,,
,,,,'2021,LEON,,SEA,MONTERREY,,AME,,44,San Jose,29,6.802980784,,,,R16,,,,,,,,
,,,,,,,,,,,,45,Juarez,,6.802432977,,,,R32,R32,,,,,,,
,,,,,,,,,,,,46,Necaxa,,3.547186218,,,,R32,,,,,,,,
,,,,,,,,,,,,47,San Diego,23,0.002121410828,,,,,,,,,,,,
,,,,,,,,,,,,48,San Luis,,0,,,,,,,,,,,,
