,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Atlanta,19,29.2106081,0.937498,0.75,1.5,,,,,3,3,3,,,,,,,
Austin,49,7.591934783,0.187497,0.25,0,,,1,,,,,,,,,,,
Cincinnati,33,14.06591904,0.374996,0.5,0,1,1,,,,,,,,,,,,
Colorado,40,13.05066383,0.343745,0.375,0.25,0.5,,,1,,,,1,,,,,,1
Columbus,10,67.03356668,3.562494,4.75,0,1,15,,,3,,,,,,,,,
Dallas,34,14.06582269,0.374993,0,1.5,,,,,,,,1,5,,,,,1
DC United,50,7.591748846,0.187492,0,0.75,,,,,,,,,,3,3,,,
Houston,35,14.06575846,0.374991,0.25,0.75,,1,,,,,3,,,,,1,3,
Inter Miami,15,40.46677368,1.49999,2,0,5,3,,,,,,,,,,,,
LA Galaxy,23,24.71557932,0.749989,0.75,0.75,3,,,,,,,,,3,,3,5,3
Los Angeles,8,73.75459154,4.312488,4.5,3.75,3,,15,,,15,,,,,,,,
Montreal,24,24.71552885,0.749987,0.75,0.75,,,,3,,3,,,,,15,1,,
Nashville,51,7.591525721,0.187486,0.25,0,,1,,,,,,,,,,,,
New England,16,33.28962901,1.124985,1.5,0,,3,,3,,,,,,,,,,
New York City,17,33.28960823,1.124984,1.25,0.75,,,,5,,3,,,,,,,,
NY Red Bulls,28,23.1093953,0.687483,0,2.75,,,,,,,3,5,3,,1,,,
Orlando,36,14.06546941,0.374982,0.5,0,,1,1,,,,,,,,,,,
Philadelphia,13,49.42880817,2.062481,2.75,0,,1,5,,5,,,,,,,,,
Portland,29,21.44266409,0.62498,0.75,0.25,,,,,3,,,,1,,1,,,
Real Salt Lake,43,10.94684915,0.281229,0.125,0.75,0.5,,,,,,,,,3,,,1,
San Diego,68,0.002252228474,-2.2e-05,0,0,,,,,,,,,,,,,,
San Jose,69,0.002208068235,-2.3e-05,0,0,,,,,,,,,,,,3,,
Seattle,7,87.4862139,6.249976,7.75,1.75,1,,,30,,1,,3,,3,,,5,3
Sporting KC,32,16.97801288,0.468725,0.125,1.5,0.5,,,,,,5,,1,,1,3,,
St. Louis,61,3.95939184,0.093724,0.125,0,,0.5,,,,,,,,,,,,
Toronto,14,41.55694029,1.562473,0.75,4,,,,,3,,1,15,,,,,1,5
Vancouver,9,69.67506087,3.843722,4.625,1.5,15,0.5,3,,,,,,5,1,,,,
Alajuelense,25,24.71512509,0.749971,1,0,1,1,1,,1,,,,,,5,5,,
Alianza,41,12.01071103,0.31247,0.25,0.5,,,1,,,1,1,,,,,,,
Antigua,62,3.959189962,0.093719,0.125,0,0.5,,,,,,,,,,,,,
Arabe Unido,52,7.590856339,0.187468,0,0.75,,,,,,,,,3,,,3,,
Arcahaie,53,7.590819151,0.187467,0.25,0,,,,,1,,,,,,,,,
Atlas,30,19.7102425,0.562466,0.75,0,,,3,,,,,,,,,,,
Atletico Pantoja,46,9.855912626,0.249965,0.25,0.25,,,,,1,,1,,,,,,,
Cavalier,44,10.94633215,0.281214,0.375,0,1,0.5,,,,,,,,,,,,
Cavalry,54,7.590670398,0.187463,0.25,0,0.5,0.5,,,,,,,,,,,,
Ciabo,59,6.41293276,0.156212,0.125,0.25,0.5,,,,,,,1,,,,,,
Club America,5,90.7860839,6.812461,5.75,10,3,5,,,15,5,,5,,30,30,,,
Comunicaciones,27,23.91912096,0.71871,0.875,0.25,,0.5,,3,,1,,,,,,,,
Cruz Azul,2,95.4743507,7.687459,10,0.75,30,,,5,5,3,,,,,,30,,
Guadalajara,12,52.05273566,2.249958,0.5,7.5,1,1,,,,,,30,,,,,,
Guastatoya,47,9.855629994,0.249957,0.25,0.25,,,,1,,,1,,,,,,,
Hamilton,37,14.06463436,0.374956,0.5,0,0.5,0.5,,1,,,,,,,,,,
Herediano,21,27.76156975,0.874955,1,0.5,1,3,,,,,1,1,,,5,,3,
Independiente,45,10.94598747,0.281204,0.125,0.75,,0.5,,,,,3,,,,,,,
Isidro Metapan,70,0.00114820926,-4.7e-05,0,0,,,,,,,,,,,,,,3
