,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2021,'2019
Atlanta,45,0.001867424663,-2e-06,0,0,,,,,
Austin,41,3.893471218,0.093747,0.125,0,,0.5,,,
Charlotte,25,19.38312702,0.562496,0.75,0,,,3,,
Chicago,23,21.91362085,0.656245,0.875,0,,,0.5,,3
Cincinnati,30,10.76470135,0.281244,0.375,0,,1,0.5,,
Colorado,16,28.72500043,0.937493,1.25,0,,5,,,
Columbus,4,82.72902265,5.718742,7.625,0,,30,0.5,,
Dallas,32,7.464672572,0.187491,0.25,0,,,1,,
DC United,33,7.464636001,0.18749,0.25,0,,0.5,0.5,,
Houston,19,26.57098342,0.843739,1.125,0,,0.5,1,,3
Inter Miami,2,98.34014584,8.624988,11.5,0,15,1,30,,
LA Galaxy,9,47.25779388,1.968737,2.625,0,5,0.5,,,5
Los Angeles,7,64.09806336,3.374986,4.5,0,,15,3,,
Minnesota,26,19.38282129,0.562485,0.75,0,,,3,,
Montreal,42,3.892955045,0.093734,0.125,0,,0.5,,,
Nashville,8,58.12125876,2.812483,3.75,0,,,15,,
New England,31,10.76429461,0.281232,0.375,0,,0.5,1,,
New York City,13,34.6113189,1.218731,1.625,0,,3,0.5,3,
NY Red Bulls,34,7.464270289,0.18748,0.25,0,,,1,,
Orlando,11,42.93520156,1.687479,2.25,0,5,0.5,0.5,3,
Philadelphia,10,45.86409648,1.874978,2.5,0,,5,5,,
Portland,35,7.464160575,0.187477,0.25,0,,0.5,0.5,,
Real Salt Lake,20,24.30430702,0.749976,1,0,,,1,,3
San Diego,46,0.000868579599,-2.5e-05,0,0,,,,,
San Jose,36,7.46405086,0.187474,0.25,0,,1,,,
Seattle,1,100,8.999973,12,0,30,3,,15,
Sporting KC,21,24.30420775,0.749972,1,0,,0.5,0.5,3,
St. Louis,37,7.463941146,0.187471,0.25,0,,1,,,
Toronto,43,3.89239916,0.09372,0.125,0,,0.5,,,
Vancouver,38,7.463868002,0.187469,0.25,0,,0.5,0.5,,
Atlas,39,7.463831431,0.187468,0.25,0,,0.5,0.5,,
Club America,12,42.93500765,1.687467,2.25,0,,3,1,,5
Cruz Azul,3,83.9242331,5.906216,7.875,0,,1,0.5,,30
Guadalajara,47,0.0004342919709,-3.5e-05,0,0,,,,,
Juarez,40,7.463685143,0.187464,0.25,0,,0.5,0.5,,
Leon,5,82.7288352,5.718713,7.625,0,,,0.5,30,
Mazatlan,24,21.91275555,0.656212,0.875,0,,3,0.5,,
Monterrey,17,28.72428315,0.937461,1.25,0,,,5,,
Necaxa,44,3.892002095,0.09371,0.125,0,,0.5,,,
Pachuca,22,24.30388514,0.749959,1,0,3,0.5,0.5,,
Puebla,27,19.38207083,0.562458,0.75,0,3,,,,
Pumas,14,34.61084913,1.218707,1.625,0,,1,0.5,5,
Queretaro,28,19.38201524,0.562456,0.75,0,,,3,,
San Luis,48,0,-4.5e-05,0,0,,,,,
Santos Laguna,15,30.77629239,1.031204,1.375,0,,0.5,,5,
Tigres,6,70.96931455,4.124953,5.5,0,3,1,1,3,15
Tijuana,29,19.38190407,0.562452,0.75,0,,,,,3
Toluca,18,28.724059,0.937451,1.25,0,3,1,1,,
