,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Atlanta,12,58.23074128,3.187498,1.25,9,,3,1,,1,,5,30,1,,,,,
Charlotte,26,10.41109173,0.468747,0.625,0,1,1,0.5,,,,,,,,,,,
Chicago,27,2.547528042,0.249996,0.25,0.25,1,,,,,,,,1,,,,,
Cincinnati,13,47.01298109,2.249995,3,0,3,1,5,3,,,,,,,,,,
Columbus,3,93.15928558,8.374994,8,9.5,1,1,30,,,30,,3,5,,15,3,,
DC United,29,0.000966089831,0.187493,0,0.75,,,,,,,1,1,,1,3,3,,5
Inter Miami,6,80.5964413,5.999992,8,0,30,1,,1,,,,,,,,,,
Montreal,24,24.25027423,0.968741,0.875,1.25,,0.5,,3,,,,,,5,3,,1,
Nashville,21,31.66211914,1.31249,1.5,0.75,1,,1,1,3,3,,,,,,,,
New England,18,35.21385032,1.499989,1,3,,,1,,3,5,1,,3,3,1,15,3,
New York City,2,93.72689255,8.499988,10.75,1.75,5,3,,5,30,1,3,3,,,,,,
NY Red Bulls,9,67.07523629,4.124987,4.5,3,,15,1,1,1,1,1,5,3,3,5,5,3,3
Orlando,14,44.35908082,2.062486,2.5,0.75,0.5,5,3,1,1,3,,,,,,,,
Philadelphia,7,75.69714774,5.249985,6.5,1.5,3,,3,15,5,1,3,1,,1,,,,
Toronto,10,64.32885598,3.812484,0,15.25,,,,,,1,15,,30,15,1,,,
Austin,22,27.7819208,1.124983,1.5,0,1,,,5,,,,,,,,,,
Colorado,23,27.78189912,1.124982,1,1.5,,1,,,3,1,,,,5,,,1,
Dallas,19,34.0628334,1.437481,1.25,2,1,,1,3,,3,1,1,,3,5,3,,
Houston,20,34.06281473,1.43748,1.5,1.25,,1,5,,,,,,5,,,,5,15
LA Galaxy,5,83.92884828,6.562479,8.25,1.5,,30,,3,,,3,,,3,1,30,3,30
Los Angeles,1,100,9.999978,12.75,1.75,3,3,15,30,,1,5,1,,,,,,
Minnesota,16,41.52612669,1.874977,2,1.5,3,3,,1,1,5,1,,,,,,,
Portland,8,68.89604932,4.343726,4.125,5,1,0.5,,,15,1,1,15,3,,30,,5,
Real Salt Lake,15,42.49175432,1.937475,2,1.75,0.5,1,1,1,5,,3,3,,1,,3,15,3
San Diego,25,23.50641511,0.937474,1.25,0,5,,,,,,,,,,,,,
San Jose,28,1.292666907,0.218723,0.125,0.5,,,0.5,,,1,,,1,,,,,3
Seattle,4,88.95524146,7.499972,2.5,22.5,1,5,3,,1,15,30,3,15,30,3,5,3,5
Sporting KC,17,39.52544659,1.749971,1.5,2.5,,,3,,3,3,,5,1,1,1,1,30,3
St. Louis,30,0,0.18747,0.25,0,,,1,,,,,,,,,,,
Vancouver,11,60.15463878,3.374969,4.25,0.75,15,1,,,1,,,,3,,3,1,,
