EASTERN CONFERENCE,,NBA,Value,CHAMPS,Division,2025-26,2024-25,2023-24,2022-23,2021-22,,WESTERN CONFERENCE,,NBA,Value,CHAMPS,Division,2025-26,2024-25,2023-24,2022-23,2021-22
1,Boston,1,100,1,6,1st Div,1st Div,CHAMPS,ECF,East,,1,Golden State,2,88.63676413,3,3,play-in,playoff,play-in,playoff,CHAMPS
2,New York,5,74.97421896,1,.,CHAMPS,ECF,playoff,playoff,5,,2,Oklahoma City,3,84.99774981,1,3,WCF,CHAMPS,1st Div,play-in,5
3,Miami,6,74.0391185,,4,play-in,playoff,playoff,East,ECF,,3,Denver,4,82.88628058,1,3,playoff,playoff,playoff,CHAMPS,playoff
4,Milwaukee,7,66.90999126,1,6,3,playoff,1st Div,1st Div,1st Div,,4,LA Lakers,9,62.82575865,1,3,1st Div,1st Div,playoff,WCF,4
5,CLEVELAND,8,64.93105575,,3,ECF,1st Div,playoff,playoff,play-in,,5,Dallas,10,61.27794671,,2,3,play-in,West,3,WCF
6,Indiana,11,54.26239764,,.,5,East,ECF,4,4,,6,San Antonio,12,52.86280566,,2,West,4,5,5,play-in
7,Toronto,14,49.64934829,1,3,playoff,3,5,play-in,playoff,,7,Phoenix,13,49.95108701,,2,playoff,5,playoff,playoff,1st Div
8,Philadelphia,15,45.55717413,,1,playoff,5,playoff,playoff,playoff,,8,Minnesota,16,42.02167481,,.,playoff,WCF,WCF,playoff,playoff
9,Atlanta,20,31.96379721,,2,1st Div,play-in,play-in,playoff,playoff,,9,Houston,17,36.82466657,,4,playoff,1st Div,3,4,5
10,Orlando,21,27.04396042,,3,playoff,1st Div,1st Div,4,5,,10,LA Clippers,18,34.97465399,,1,play-in,playoff,1st Div,playoff,play-in
11,DETROIT,24,16.77725396,,1,1st Div,playoff,5,5,5,,11,Memphis,19,33.75587958,,2,5,playoff,4,1st Div,1st Div
12,Chicago,26,10.0967993,,.,4,play-in,play-in,play-in,playoff,,12,Utah,22,24.04448436,,3,5,5,4,4,1st Div
13,Brooklyn,28,6.413205663,,.,5,4,4,playoff,playoff,,13,New Orleans,23,17.38386904,,.,3,5,playoff,play-in,playoff
14,Washington,29,1.197160257,,1,5,5,5,3,4,,14,Portland,25,11.15178703,,1,playoff,4,5,5,4
15,Charlotte,30,0,,.,play-in,4,4,5,play-in,,15,Sacramento,27,9.206129563,,1,5,play-in,play-in,1st Div,5
,,,,,,,,,,,,,,,,,,,,,,
,,NBA FINALS CHAMPIONS,,,,NYK,OKC,BOS,DEN,GSW,,,,IN-SEASON TOURNAMENT CHAMPS,,,,NYK,MIL,LAL,,
,,NBA FINALS RUNNER-UP,,,,SAS,IND,DAL,MIA,BOS,,,,IN-SEASON TOURNAMENT RUNNER-UP,,,,SAS,OKC,IND,,
