,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Boston,1,8,1,100,7.187498,8,4.75,1,1,1,1,1,4,2,3,2,1,2,2,4,3,1
Brooklyn,2,4,30,0,2.062497,2,2.25,5,4,4,4,4,2,4,4,5,5,4,3,2,2,5
New York,3,3,20,46.25571115,3.374996,3.75,2.25,2,2,2,3,5,3,5,5,4,3,3,5,3,1,2
Philadelphia,4,2,18,50.55730465,3.562495,3.25,4.5,4,5,3,2,2,1,3,2,3,4,5,4,5,4,3
Toronto,5,1,17,51.91972625,3.624994,2.5,7,3,3,5,5,3,5,1,1,1,2,1,1,1,5,4
Chicago,6,0,26,26.78829184,2.687493,2.75,2.5,4,5,4,3,2,3,3,4,5,4,4,2,2,2,1
Cleveland,,,7,74.73847537,4.937492,5,4.75,2,1,2,2,3,4,5,5,1,1,1,1,3,5,5
Detroit,,,25,28.87059558,2.749991,3,2,1,4,5,5,5,5,4,3,4,5,3,5,4,4,4
Indiana,,,22,38.24496484,3.06249,2.75,4,5,2,3,4,4,2,2,2,2,3,2,4,1,1,2
Milwaukee,,,2,96.51394885,6.812489,6.75,7,3,3,1,1,1,1,1,1,3,2,5,3,5,3,3
Atlanta,,,11,70.09902871,4.624988,5,3.5,1,2,3,2,2,1,5,5,5,2,2,1,4,2,2
Charlotte,,,27,24.62402855,2.624987,2.5,3,3,4,4,5,3,4,3,2,3,4,3,4,3,4,5
Miami,,,4,85.24139339,5.749986,5.75,5.75,4,3,2,1,1,2,1,3,1,3,1,3,1,1,1
Orlando,,,6,76.49015038,5.062485,5.5,3.75,2,1,1,4,5,5,2,1,4,5,5,5,5,5,3
Washington,,,29,15.00369529,2.374984,1.75,4.25,5,5,5,3,4,3,4,4,2,1,4,2,2,3,4
Denver,,,5,77.3455863,5.124983,5,5.5,2,2,2,1,2,2,1,1,5,4,4,4,4,2,2
Minnesota,,,24,30.87694358,2.812482,3.25,1.5,3,3,3,2,3,4,5,5,4,5,5,5,3,5,5
Oklahoma City,,,3,87.40538776,5.937481,6.75,3.5,1,1,1,3,5,5,2,4,2,2,1,2,1,1,1
Portland,,,28,17.57035264,2.43748,1.75,4.5,4,4,5,5,4,3,4,2,1,3,2,1,2,4,4
Utah,,,15,55.81583162,3.812479,3.25,5.5,5,5,4,4,1,1,3,3,3,1,3,3,5,3,3
Dallas,,,14,65.03326304,4.312478,4.5,3.75,3,3,1,3,2,1,2,5,4,5,2,4,4,4,3
Houston,,,8,74.73826178,4.937477,4.25,7,2,1,3,4,5,5,1,1,1,2,4,1,2,3,4
Memphis,,,9,74.73824754,4.937476,5.5,3.25,5,2,4,1,1,2,3,3,5,3,3,2,3,2,2
New Orleans,,,21,43.18905244,3.249975,3.5,2.5,3,5,2,2,3,4,5,4,2,4,5,5,5,5,5
San Antonio,,,19,50.55684117,3.562474,3.25,4.5,1,4,5,5,4,3,4,2,3,1,1,3,1,1,1
Golden State,,,16,53.24889529,3.687473,2.75,6.5,4,3,4,4,2,4,5,1,1,1,1,1,2,2,4
LA Clippers,,,13,66.08417429,4.374972,4.5,4,3,2,1,3,3,2,2,2,2,2,2,2,1,1,2
LA Lakers,,,10,74.73817635,4.937471,5.25,4,1,1,3,5,4,3,1,4,3,4,5,5,5,3,1
Phoenix,,,12,69.12214883,4.56247,5,3.25,2,5,2,2,1,1,3,5,5,5,4,3,3,5,3
Sacramento,,,23,38.24438548,3.062469,3.25,2.5,5,4,4,1,5,5,4,3,4,3,3,4,4,4,5
