,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Atlanta,20,24.34408921,1.031248,0.875,1.5,1,0.5,0.5,1,1,5,,,,1,3,5,1,1,1
Boston,2,98.45957348,11.062497,13.25,4.5,1,3,30,5,15,1,5,3,5,5,1,1,,1,5
Brooklyn,23,16.13377554,0.687496,0.5,1.25,,,,1,1,3,1,1,,,,1,3,1,
Charlotte,30,0,0.187495,0.25,0,0.5,,,,0.5,,,,,,1,,1,,
Chicago,27,11.75670446,0.531244,0.625,0.25,,0.5,0.5,0.5,1,,,,,1,,3,1,3,1
Cleveland,7,63.5401601,4.124993,3,7.5,5,3,3,1,0.5,,,,15,15,30,15,,,
Detroit,21,19.31863261,0.812492,1,0.25,3,1,,,,,,1,,,1,,,,
Indiana,8,62.51981234,3.999991,5,1,,15,5,,,,1,1,1,1,1,,5,5,3
Miami,6,71.29536808,5.18749,5.5,4.25,0.5,1,1,15,5,1,15,,1,,3,,15,30,30
Milwaukee,11,58.72733006,3.562489,1.5,9.75,,1,1,1,3,30,3,5,1,1,,1,,1,
New York,3,85.44625164,7.749988,10.25,0.25,30,5,3,3,,1,,,,,,,,3,1
Orlando,24,16.1335368,0.687487,0.75,0.5,1,1,1,,,,1,1,,,,,,,1
Philadelphia,15,47.65736548,2.499986,2.5,2.5,3,,1,3,3,3,1,3,3,,,,,,3
Toronto,13,52.26053224,2.906235,0.625,9.75,1,,,0.5,1,,3,30,3,3,5,1,1,,
Washington,29,4.68628285,0.312484,0,1.25,,,,,,1,,,1,3,,3,3,,
Dallas,9,62.26052169,3.968733,5.125,0.5,,0.5,15,,5,1,1,,,,1,1,1,,1
Denver,4,84.86105465,7.624982,9.25,2.75,1,3,3,30,1,3,5,3,,,,,,1,1
Golden State,1,100,11.531231,9.125,18.75,0.5,3,0.5,3,30,,,15,30,30,15,30,1,3,
Houston,18,28.80496321,1.24998,0.5,3.5,1,1,,,,,3,3,5,3,1,5,1,1,
LA Clippers,17,29.40331651,1.281229,0.875,2.5,0.5,1,1,1,0.5,5,3,1,,1,1,3,3,1,3
LA Lakers,10,60.93840282,3.812478,2.5,7.75,3,1,1,5,,1,30,,,,,,,1,3
Memphis,19,25.01240983,1.062477,1.25,0.5,,1,,1,3,1,,,,1,1,3,1,5,1
Minnesota,14,49.84812582,2.687476,3.5,0.25,3,5,5,1,1,,,,1,,,,,,
New Orleans,26,15.29547685,0.656225,0.625,0.75,,,1,0.5,1,,,,3,,,1,,,
Oklahoma City,5,84.1172416,7.468724,9.625,1,5,30,3,0.5,,,1,1,1,1,5,,5,3,15
Phoenix,16,46.89926282,2.437473,2,3.75,1,,1,3,3,15,,,,,,,,,
Portland,25,16.13313888,0.687472,0.25,2,1,,,,,1,1,5,1,1,3,1,3,,
Sacramento,28,6.837241437,0.374971,0.5,0,,0.5,0.5,1,,,,,,,,,,,
San Antonio,12,56.68614812,3.34372,3.875,1.75,15,,,,0.5,,,1,1,5,3,1,30,30,5
Utah,22,19.31806941,0.812469,0.25,2.5,,,,,1,3,1,1,3,3,,,,,1
,,,,,,,,,,,,,,,,,,,,
Finals,,,,,,NYK,OKC,BOS,DEN,GSW,MIL,LAL,TOR,GSW,GSW,CLE,GSW,SAS,MIA,MIA
,,,,,,SAS,IND,DAL,MIA,BOS,PHX,MIA,GSW,CLE,CLE,GSW,CLE,MIA,SAS,OKC
NBA Cup,,,,,,NYK,MIL,LAL,,,,,,,,,,,,
,,,,,,SAS,OKC,IND,,,,,,,,,,,,
