BIG TEN COMBINED,,CHAMPS,NCAA,CFB,CBB,Value,SP+,KP,HKY,CWS,,NCAA COMBINED,,CHAMPS,CFB,CBB,Value,SP+,KP,ADDTL,Conf,Rank,,NCAA COMBINED,,CHAMPS,CFB,CBB,Value,SP+,KP,ADDTL,Conf,Rank
1,MICHIGAN,5,1,1,2,100,4,18,2,4,,26,Southern California,,22,47,71.10475056,14,52,113,B1G,8,,76,Marquette,,,36,23.17825683,150,26,,BIG EAST,4
2,Ohio State,4,14,2,11,70.19888108,3,29,5,10,,27,Kansas State,,34,33,70.89572062,29,54,63,BIG XII,7,,77,Xavier,,,37,22.1666926,150,44,97,BIG EAST,5
3,Oregon,1,9,3,8,66.54072343,12,46,,8,,28,Georgia,2,1,74,70.49420276,2,82,47,SEC,8,,78,Tulane,,33,146,20.31850743,59,122,70,,
4,Purdue,3,39,13,1,64.49378487,57,4,,13,,29,Virginia,1,52,20,69.93979743,56,34,10,ACC,5,,79,Nevada,,114,60,19.87237644,112,59,139,,
5,Illinois,,30,11,3,55.62657554,58,17,,3,,30,Illinois,,57,16,69.89718934,58,17,80,B1G,9,,80,UAB,,90,83,18.01867736,75,94,234,,
6,Indiana,1,17,4,10,54.00689622,46,38,,5,,31,Brigham Young,,31,40,69.29867206,38,31,167,BIG XII,8,,81,James Madison,,70,107,17.47128966,128,133,131,,
7,Michigan State,3,16,15,4,50.65065945,48,11,3,16,,32,UCLA,,50,23,69.20142565,41,22,25,B1G,10,,82,Colorado State,,115,66,16.10783327,113,68,,PAC-12,7
8,Iowa,,18,7,7,50.26193716,19,30,,6,,33,Kentucky,,48,25,69.01094271,33,10,24,SEC,9,,83,Georgia Tech,,67,118,14.20150073,73,111,48,ACC,14
9,Wisconsin,,23,9,6,49.73204729,16,15,6,,,34,Ole Miss,,14,63,68.28460147,18,74,5,SEC,10,,84,St. John's,,,46,13.14782974,150,36,86,BIG EAST,6
10,UCLA,,32,14,5,43.41798657,41,22,,9,,35,Arkansas,,56,22,67.04596143,39,24,7,SEC,11,,85,Troy,,75,113,12.03751511,74,127,114,,
11,Southern California,,26,8,13,37.21022861,14,52,,12,,36,Duke,,81,2,66.79532609,61,2,33,ACC,6,,86,Louisiana,,64,127,11.78036316,69,145,50,,
12,Washington,,58,6,16,35.35460167,10,90,,14,,37,Florida State,,26,54,65.71959913,37,72,15,ACC,7,,87,Providence,,,48,11.13222016,150,57,18,BIG EAST,7
13,Penn State,1,42,5,17,34.72362716,7,63,4,15,,38,Louisiana State,1,16,67,65.38575286,13,62,1,SEC,12,,88,Stanford,,62,131,11.09963758,84,88,19,ACC,15
14,Northwestern,,66,12,14,24.72431407,77,53,,17,,39,Purdue,,78,8,64.84137289,57,4,189,B1G,11,,89,New Mexico,,119,75,9.337169686,118,70,183,,
15,Maryland,,61,17,9,22.24712487,64,39,,1,,40,Boise State,,23,61,64.22230346,49,47,,PAC-12,1,,90,Rutgers,,109,86,7.786739364,106,75,226,B1G,18
16,Nebraska,,65,16,12,17.90869102,45,56,,2,,41,San Diego State,,71,15,64.12856593,55,28,149,PAC-12,2,,91,South Florida,,92,103,7.176191633,79,120,64,,
17,Minnesota,,73,10,18,9.921900053,22,83,1,7,,42,Penn State,,11,76,64.08495537,7,63,12,B1G,12,,92,Appalachian State,,66,137,6.182171689,47,135,199,,
18,Rutgers,,90,18,15,0,106,75,,11,,43,Cincinnati,,17,71,63.03228678,28,42,101,BIG XII,9,,93,North Texas,,79,122,5.79418823,76,80,,,
,,,,,,,,,,,,44,South Carolina,,42,43,61.85430067,43,77,43,SEC,13,,94,Temple,,91,111,4.11292626,93,117,,,
,,,,,,,,,,,,45,Missouri,,32,59,60.15950433,34,67,221,SEC,14,,95,Fresno State,,74,136,2.221631752,65,118,74,PAC-12,8
,,,,,,,,,,,,46,Kansas,1,98,3,58.555438,94,7,132,BIG XII,10,,96,Western Kentucky,,80,129,2.074759533,60,116,156,,
,,,,,,,,,,,,47,Arizona State,,24,80,55.0841382,50,76,39,BIG XII,11,,97,California,,93,114,1.666223773,81,110,158,ACC,16
,,,,,,,,,,,,48,Mississippi State,,46,56,53.80940683,26,43,4,SEC,15,,98,Wyoming,,101,106,0.8541653286,97,114,,,
,,,,,,,,,,,,49,Syracuse,,61,42,53.7111578,80,85,,ACC,8,,99,Akron,,130,82,0.4957566213,130,96,198,,
NCAA COMBINED,,CHAMPS,CFB,CBB,Value,SP+,KP,ADDTL,Conf,Rank,,50,Louisville,,41,65,52.4845483,31,81,14,ACC,9,,100,Miami OH,,99,110,0.1358443114,95,149,51,,
1,MICHIGAN,2,4,5,100,4,18,2,B1G,1,,51,Connecticut,2,118,1,50.61681355,117,21,22,BIG EAST,1,,101,Tulsa,,87,125,0,83,132,,,
2,Alabama,2,2,12,97.94880014,1,13,44,SEC,1,,52,Gonzaga,,,9,50.258405,150,3,68,PAC-12,3,,102,UNLV,,85,134,-2.955492171,114,97,235,,
3,Tennessee,,19,14,88.16950974,17,6,3,SEC,2,,53,West Virginia,,59,50,50.23183775,66,40,41,BIG XII,12,,103,Toledo,,82,138,-3.081311128,62,100,232,,
4,Miami,,13,21,87.78804268,20,64,30,ACC,1,,54,Oklahoma State,,25,90,50.04386118,21,60,29,BIG XII,13,,104,New Mexico State,,127,96,-5.876396712,126,112,109,,
5,Clemson,2,5,31,87.71134821,5,32,42,ACC,2,,55,Southern Methodist,,35,78,49.92806766,54,58,,ACC,10,,105,Hawaii,,103,119,-6.122019401,99,129,213,,
6,Texas,,8,28,87.4100846,15,23,16,SEC,3,,56,Villanova,2,,10,49.24383315,150,27,238,BIG EAST,2,,106,Marshall,,88,139,-6.863900049,71,137,217,,
7,Florida,1,30,7,87.05618739,24,20,2,SEC,4,,57,Memphis,,53,58,49.03781082,40,48,218,,,,107,Buffalo,,108,116,-7.538109218,105,148,,,
8,Texas Tech,,20,18,85.50375205,32,9,22,BIG XII,1,,58,Washington,,9,112,48.9315415,10,90,61,B1G,13,,108,Seton Hall,,,68,-8.915099803,150,50,229,BIG EAST,8
9,Oregon,,10,30,85.39497628,12,46,38,B1G,2,,59,Utah,,18,104,47.58061689,11,84,194,BIG XII,14,,109,Ohio,,95,135,-8.922618881,89,126,162,,
10,Oklahoma,,12,34,82.49713023,6,33,13,SEC,5,,60,Vanderbilt,,49,69,46.258766,67,65,6,SEC,16,,110,Navy,,77,160,-10.28607525,78,157,182,,
11,Baylor,1,29,17,81.99385435,35,8,120,BIG XII,2,,61,Maryland,,83,38,46.02266743,64,39,51,B1G,14,,111,Coastal Carolina,,68,171,-10.29459691,82,170,9,,
12,Auburn,,36,13,81.04545015,23,12,23,SEC,6,,62,Pittsburgh,,37,87,44.7669843,30,78,224,ACC,11,,112,Middle Tennessee,,110,121,-10.88509377,107,123,220,,
