,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Illinois,1,30,3,87.99997386,25.812498,26,25.25,11,1,7,2,7,3,4,10,8,1,3,5,6
Indiana,2,20,5,71.85166887,17.749997,15.25,25.25,6,3,2,8,4,1,8,6,3,6,1,1,2
Iowa,3,15,6,69.42843197,16.874996,16,19.5,3,4,3,2,5,6,6,4,8,2,7,8,9
Maryland,4,14,1,100,35.374995,42.75,13.25,14,11,1,1,2,6,9,4,6,3,,,
Michigan,5,13,4,76.17600416,19.499994,18.5,22.5,6,4,6,5,3,2,3,2,5,3,4,5,10
Michigan State,6,12,16,29.41590445,9.249993,8.5,11.5,12,8,7,12,11,11,8,9,6,3,6,7,5
Minnesota,7,11,7,67.18171358,16.124992,7,43.5,16,8,10,13,13,3,1,3,1,9,4,4,6
Nebraska,8,10,2,98.61273145,34.062491,36.5,26.75,8,2,4,8,1,3,10,1,2,8,2,2,4
Northwestern,9,9,17,0,7.56249,7.25,8.5,12,13,13,8,10,9,12,7,12,10,9,9,11
Ohio State,10,8,10,53.00175461,12.499989,9.25,22.25,17,7,11,11,6,6,7,11,3,7,7,2,6
Oregon,11,7,8,64.96167408,15.437488,19.75,2.5,1,3,6,4,2,8,,,,,,,
Penn State,12,6,15,32.06244984,9.499987,10.5,6.5,8,7,12,6,9,13,13,13,8,12,11,11,3
Purdue,13,5,13,33.90352845,9.687486,9.5,10.25,15,6,9,7,12,12,2,8,13,13,10,10,1
Rutgers,14,4,11,48.98376193,11.749985,13.25,7.25,8,12,5,2,8,10,11,12,11,11,,,
Southern California,15,3,12,39.32844876,10.312484,13,2.25,4,4,4,11,8,9,,,,,,,
UCLA,16,2,9,63.45748636,14.999983,17.5,7.5,1,11,7,3,4,1,,,,,,,
Washington,17,1,14,33.90349037,9.687482,12,2.75,5,9,3,7,10,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Champions x2,,,,,,,,,,Maryland,,,,Minnesota,,,,Indiana,Indiana,Purdue
Outright Champion,,8,,,,,,,Illinois,Maryland,Maryland,Nebraska,Indiana,Minnesota,Nebraska,Minnesota,Illinois,Indiana,Indiana,Purdue
B1G Tournament,,5,,,,,,Nebraska,Nebraska,Maryland,Michigan,,Ohio State,Minnesota,Iowa,Ohio State,Michigan,Indiana,Indiana,Purdue
