,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Air Force,118,3.412601896,0.093748,0.125,0,,,,0.5,,,,,,,,,
Akron,198,0.009078261294,-3e-06,0,0,,,,,,,,,,,,,
Alabama,44,14.6095313,0.468746,0.625,0,0.5,0.5,1,,0.5,,,,,,0.5,0.5,
Alabama State,98,4.482449623,0.124995,0.125,0.125,,,,0.5,,,,,0.5,,,,
Appalachian State,199,0.008964321667,-6e-06,0,0,,,,,,,,,,,,,0.5
Arizona,31,24.51276174,0.906243,1.125,0.25,3,0.5,0.5,0.5,0.5,,,0.5,0.5,,,,30
Arizona State,21,37.11528206,1.656242,0.875,4,0.5,,,,3,0.5,,,15,0.5,0.5,0.5,
Arkansas,7,70.3714147,5.374991,5.375,5.375,10,0.5,0.5,10,1,3,15,0.5,,3,0.5,0.5,10
Arkansas State,200,0.008812401633,-1e-05,0,0,,,,,,,,,,,,,
Army,46,13.79248316,0.437489,0.5,0.25,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,0.5,0.5
Auburn,23,35.28424265,1.531238,1.625,1.25,1,,0.5,5,,3,1,0.5,,0.5,,,
Austin Peay,201,0.008698461209,-1.3e-05,0,0,,,,,,,,,,,,0.5,0.5
Ball State,119,3.412185193,0.093736,0.125,0,,,0.5,,,,,,,,,,
Baylor,120,3.412150467,0.093735,0,0.375,,,,,,0.5,0.5,0.5,,,,,1
Belmont,202,0.008584520443,-1.6e-05,0,0,,,,,,,,,,,,,0.5
Bethune Cookman,89,5.522695963,0.156233,0.125,0.25,0.5,,,,,,,0.5,0.5,,0.5,,0.5
Binghamton,71,7.522163078,0.218732,0.25,0.125,0.5,,,0.5,,,,,0.5,,0.5,0.5,
Boston College,90,5.522630265,0.156231,0.125,0.25,,,0.5,,,,,,1,,,,
Bowling Green,203,0.00843259889,-2e-05,0,0,,,,,,,,,,,,0.5,
Bradley,166,1.177121599,0.031229,0,0.125,,,,,,,,,,0.5,,,
Brigham Young,167,1.177084769,0.031228,0,0.125,,,,,,,,0.5,,,,,
Bryant,99,4.481841924,0.124977,0.125,0.125,,0.5,,,,,,,0.5,,0.5,0.5,
Bucknell,204,0.00828067673,-2.4e-05,0,0,,,,,,,,,,,0.5,,
Butler,205,0.008242696095,-2.5e-05,0,0,,,,,,,,,,,,,
Cal Poly,121,3.411768485,0.093724,0.125,0,0.5,,,,,,,,,,0.5,0.5,
Cal State Bakersfield,168,1.176900619,0.031223,0,0.125,,,,,,,,,,0.5,,,
Cal State Fullerton,39,16.95915685,0.562472,0.125,1.875,,,0.5,,,,1,3,0.5,3,0.5,1,0.5
California,158,2.310677336,0.062471,0,0.25,,,,,,0.5,,,,0.5,,,
Campbell,53,11.23035214,0.34372,0.375,0.25,,,0.5,0.5,0.5,0.5,0.5,,,,0.5,,
Canisius,91,5.522236076,0.156219,0.125,0.25,,,,0.5,,,0.5,,,0.5,,0.5,
Central Arkansas,206,0.007976830586,-3.2e-05,0,0,,,,,,,,,,,,0.5,
Central Connecticut,54,11.23026734,0.343717,0.375,0.25,0.5,,0.5,,0.5,0.5,,0.5,,,,,
Central Florida,100,4.481470547,0.124966,0.125,0.125,,0.5,,,,,,0.5,,,,,0.5
Central Michigan,72,7.521633276,0.218715,0.25,0.125,,,,0.5,0.5,0.5,,,,,,,
Charleston,169,1.176569147,0.031214,0,0.125,,,,,,,,,,0.5,1,,0.5
Charlotte,78,6.534959026,0.187463,0.25,0,,,0.5,,0.5,,,,,,,,
Cincinnati,101,4.481335501,0.124962,0.125,0.125,0.5,,,,,0.5,,,,,,,
Clemson,42,15.40831257,0.499961,0.5,0.5,0.5,1,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Coastal Carolina,9,68.46190042,5.06246,4.125,7.875,15,0.5,0.5,0.5,,0.5,0.5,,30,0.5,,0.5,0.5
Columbia,67,8.483085249,0.249959,0.25,0.25,0.5,,,0.5,,,0.5,,,0.5,0.5,0.5,
Connecticut,35,19.17211279,0.656208,0.75,0.375,,1,0.5,1,0.5,0.5,0.5,,0.5,,,0.5,
Coppin State,122,3.411178141,0.093707,0.125,0,,,,0.5,,,,,,,,,
Cornell,207,0.007521056814,-4.4e-05,0,0,,,,,,,,,,,,,0.5
Creighton,102,4.481099167,0.124955,0.125,0.125,0.5,,,,,0.5,,,,,,,0.5
Dallas Baptist,37,17.7109058,0.593704,0.625,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,,0.5
Davidson,159,2.310033883,0.062453,0,0.25,,,,,,,,1,,,,,
Dayton,208,0.007369131008,-4.8e-05,0,0,,,,,,,,,,,,,0.5
Delaware,170,1.17609035,0.031201,0,0.125,,,,,,,,0.5,,,,,
Duke,33,20.57892621,0.7187,0.75,0.625,1,0.5,1,,0.5,1,1,,0.5,,,,
East Carolina,32,21.26333186,0.749949,0.75,0.75,0.5,0.5,0.5,1,1,1,0.5,,1,0.5,,,0.5
East Tennessee State,123,3.410865602,0.093698,0.125,0,0.5,,,,,,,,,,,0.5,
Eastern Illinois,124,3.410830876,0.093697,0.125,0,,,0.5,,,,,,,,,,
Eastern Michigan,209,0.00714124116,-5.4e-05,0,0,,,,,,,,,,,,,
Elon,210,0.007103259386,-5.5e-05,0,0,,,,,,,,,,,,0.5,
Evansville,79,6.534351303,0.187444,0.25,0,,1,,,,,,,,,,,
Fairfield,73,7.520947637,0.218693,0.25,0.125,0.5,,,,0.5,,,,0.5,,,,
Florida,2,84.25420034,8.187442,6.5,13.25,0.5,10,15,0.5,0.5,0.5,10,30,3,10,0.5,0.5,3
Florida A&M,92,5.521316285,0.156191,0.125,0.25,,,0.5,,,0.5,,,,0.5,,,
Florida Atlantic,103,4.480592734,0.12494,0,0.5,,,,,,0.5,0.5,,0.5,0.5,,0.5,
Florida Gulf Coast,171,1.175648377,0.031189,0,0.125,,,,,,,,0.5,,,,,
Florida International,172,1.175611546,0.031188,0,0.125,,,,,,,,,,0.5,,,
Florida State,15,52.66549204,2.999937,3,3,1,10,,0.5,0.5,5,0.5,5,1,1,0.5,1,10
Fordham,173,1.175537883,0.031186,0,0.125,,,,,,0.5,,,,,,,
Fresno State,74,7.520698312,0.218685,0.25,0.125,0.5,0.5,,,,0.5,,,,,,,0.5
George Mason,125,3.410379426,0.093684,0.125,0,,,0.5,,,,,,,,0.5,,
Georgetown,211,0.006647475133,-6.7e-05,0,0,,,,,,,,,,,,,
Georgia,47,13.79097703,0.437432,0.5,0.25,0.5,1,,0.5,,0.5,0.5,,,,,,
Georgia Southern,126,3.410275244,0.093681,0.125,0,,,,0.5,,,,,,,0.5,,
Georgia State,212,0.006533528215,-7e-05,0,0,,,,,,,,,,,,,
Georgia Tech,48,13.79089775,0.437429,0.5,0.25,0.5,0.5,,0.5,0.5,0.5,,,0.5,,0.5,0.5,0.5
Gonzaga,68,8.482143264,0.249928,0.25,0.25,,,,0.5,0.5,,0.5,,0.5,,,,
Grambling State,127,3.410136335,0.093677,0.125,0,,0.5,,,,,,,,,,,
Grand Canyon,62,9.420003065,0.281176,0.375,0,,0.5,,0.5,0.5,,,,,,,,
Hartford,174,1.175132736,0.031175,0,0.125,,,,,,,0.5,,,,,,
Harvard,175,1.175095904,0.031174,0,0.125,,,,,,0.5,,,,,,,
Hawaii,213,0.006267650745,-7.7e-05,0,0,,,,,,,,,,,,,
High Point,128,3.409962698,0.093672,0.125,0,,0.5,,,,,,,,,,,
Hofstra,129,3.40992797,0.093671,0.125,0,,,,0.5,,,,,,,,,
Holy Cross,104,4.479917479,0.12492,0.125,0.125,0.5,,,,,,,0.5,,,,,
Houston,130,3.409858515,0.093669,0,0.375,,,,,,,0.5,0.5,,0.5,1,,
Houston Christian,105,4.479849953,0.124918,0.125,0.125,0.5,,,,,,,,,0.5,,,
Illinois,80,6.533487681,0.187417,0.125,0.375,,0.5,,,,0.5,,,,1,,0.5,
Illinois Chicago,93,5.520495025,0.156166,0.125,0.25,,,0.5,,,0.5,,0.5,,,,,
Illinois State,176,1.174764417,0.031165,0,0.125,,,,,,0.5,,,,,,,
Indiana,56,10.33497657,0.312414,0.25,0.5,,0.5,0.5,,,0.5,0.5,0.5,,0.5,0.5,5,
Indiana State,49,12.95561159,0.406163,0.5,0.125,,0.5,1,,0.5,0.5,,,,,0.5,,0.5
Iowa,94,5.520363621,0.156162,0.125,0.25,,,0.5,,,,,0.5,,0.5,,,
Jackson State,214,0.005811856466,-8.9e-05,0,0,,,,,,,,,,,0.5,0.5,
Jacksonville,106,4.479579847,0.12491,0.125,0.125,,,,,0.5,,0.5,,,,,,
Jacksonville State,177,1.174543424,0.031159,0,0.125,,,,,,0.5,,,,,0.5,,
James Madison,131,3.40947651,0.093658,0.125,0,,0.5,,,,,,,,,,,
Kansas,132,3.409441782,0.093657,0.125,0,0.5,,,,,,,,,,0.5,,
Kansas State,63,9.41941014,0.281156,0.375,0,0.5,1,,,,,,,,,,1,
Kennesaw State,133,3.409372326,0.093655,0.125,0,,,,0.5,,,,,,,1,,
Kent State,178,1.174359262,0.031154,0,0.125,,,,,,,0.5,,,,0.5,,5
Kentucky,24,31.33275115,1.281153,1.625,0.25,0.5,5,1,,,,,1,,,0.5,,0.5
Lehigh,179,1.174285597,0.031152,0,0.125,,,,,,,,,,0.5,,,
Liberty,75,7.519638658,0.218651,0.25,0.125,,,,0.5,0.5,0.5,,,,,0.5,0.5,
Lipscomb,107,4.479242212,0.1249,0.125,0.125,,,0.5,,,,,,,0.5,,,
Little Rock,134,3.409163957,0.093649,0.125,0,0.5,,,,,,,,,,,,
Long Beach State,135,3.409129229,0.093648,0,0.375,,,,,,,,1,0.5,,0.5,,
Long Island,76,7.519513991,0.218647,0.25,0.125,,0.5,,0.5,,,0.5,,,,,,
Louisiana,50,12.10151813,0.374896,0.375,0.375,,0.5,0.5,0.5,,,,,0.5,1,1,0.5,
Louisiana Monroe,215,0.005204122254,-0.000105,0,0,,,,,,,,,,,,,0.5
Louisiana State,1,100,12.906144,15.375,5.5,30,0.5,30,0.5,1,1,0.5,15,1,5,0.5,3,1
