NATIONAL CONFERENCE,,NFL,Value,CHAMPS,Division,2025-26,2024-25,2023-24,2022-23,2021-22,,AMERICAN CONFERNCE,,NFL,Value,CHAMPS,Division,2025-26,2024-25,2023-24,2022-23,2021-22
1,Philadelphia,2,84.72590536,2,5,1st Div,CHAMPS,playoff,NFC,playoff,,1,Kansas City,1,100,3,9,3,AFC,CHAMPS,CHAMPS,AFCCG
2,LA Rams,3,77.2244859,1,4,NFCCG,1st Div,playoff,3,CHAMPS,,2,New England,4,72.39374544,2,5,AFC,4,4,3,playoff
3,Seattle,5,67.84762141,1,3,CHAMPS,2,3,playoff,4,,3,Buffalo,8,58.77323112,,5,playoff,AFCCG,1st Div,1st Div,1st Div
4,San Francisco,6,67.6831839,,3,playoff,4,NFC,NFCCG,NFCCG,,4,Cincinnati,9,55.16830471,,2,3,3,4,AFCCG,AFC
5,Tampa Bay,7,59.89354341,1,4,2,1st Div,1st Div,1st Div,1st Div,,5,Baltimore,10,49.28548551,,4,2,1st Div,AFCCG,playoff,3
6,Green Bay,11,49.26622754,,4,playoff,playoff,playoff,3,1st Div,,6,Houston,12,49.05956357,,5,playoff,1st Div,1st Div,4,3
7,Dallas,13,41.65829432,,4,2,3,1st Div,playoff,1st Div,,7,Pittsburgh,15,39.4867417,,4,1st Div,playoff,playoff,3,playoff
8,DETROIT,14,41.00779136,,2,3,1st Div,NFCCG,2,4,,8,Jacksonville,16,35.78651024,,3,1st Div,3,2,1st Div,4
9,Atlanta,18,32.44334243,,1,2,2,3,2,3,,9,Tennessee,17,32.80262544,,2,4,4,4,2,1st Div
10,Minnesota,19,32.2292457,,2,3,playoff,3,1st Div,2,,10,Denver,20,31.30724226,,1,AFCCG,playoff,2,4,4
11,New Orleans,21,30.77587442,,4,4,3,2,2,2,,11,LA Chargers,24,25.57937368,,.,playoff,playoff,4,playoff,3
12,Washington,22,26.2225889,,1,3,NFCCG,4,4,3,,12,Miami,25,21.40604052,,.,3,2,playoff,playoff,3
13,Chicago,23,25.85667762,,2,1st Div,4,3,4,3,,13,Indianapolis,27,17.46658052,,.,3,2,2,3,2
14,Carolina,26,18.2547415,,1,1st Div,3,4,2,4,,14,Las Vegas,29,15.28801987,,.,4,4,2,3,playoff
15,NY Giants,28,15.54991583,,.,4,4,3,playoff,4,,15,Cleveland,30,12.70638501,,.,4,4,playoff,4,3
16,Arizona,31,8.993245151,,.,4,3,4,4,playoff,,16,NY Jets,32,0,,.,4,3,3,4,4
,,,,,,,,,,,,,,,,,,,,,,
,,SUPER BOWL CHAMPIONS,,,,SEA,PHI,KC,KC,LAR,,,,,,,,,,,,
,,SUPER BOWL RUNNER-UP,,,,NE,KC,SF,PHI,CIN,,,,,,,,,,,,
