,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
Dallas,1,6,5,81.68798198,4.499998,4.5,4.5,2,3,1,2,1,2,2,1,2,1,4,1,2,3
NY Giants,2,3,31,13.00419515,1.687497,1.5,2.25,4,4,3,3,4,2,3,4,4,2,3,3,3,2
Philadelphia,3,2,4,87.64807623,4.937496,5.25,4,1,1,2,1,2,4,1,2,1,4,2,2,1,4
Washington,4,1,28,34.65617981,2.249995,2,3,3,2,4,4,3,1,4,3,3,3,1,4,4,1
Chicago,,,21,50.40679731,2.812494,2.75,3,1,4,3,4,3,2,3,1,4,4,4,4,2,3
Detroit,,,15,68.68460445,3.687493,4.25,2,3,1,1,2,4,4,4,4,2,2,3,2,3,4
Green Bay,,,10,71.95310341,3.874992,3.5,5,2,3,2,3,1,1,1,3,3,1,2,1,1,1
Minnesota,,,17,65.22177099,3.499991,3.5,3.5,3,2,3,1,2,3,2,2,1,3,1,3,4,2
Atlanta,,,20,53.39572553,2.93749,2.75,3.5,2,2,3,2,3,4,2,2,3,1,2,3,3,1
Carolina,,,22,50.40667463,2.812489,3,2.25,1,3,4,2,4,3,4,2,2,4,1,1,1,2
New Orleans,,,16,66.39899297,3.562488,2.75,6,4,3,2,2,2,1,1,1,1,3,3,2,2,3
Tampa Bay,,,3,90.02679609,5.124987,6,2.5,2,1,1,1,1,2,2,4,4,2,4,4,4,4
Arizona,,,29,18.55771057,1.812486,1.75,2,4,3,4,4,2,3,4,4,3,2,1,2,3,4
LA Rams,,,7,80.78431362,4.437485,4.5,4.25,2,1,2,3,1,2,3,1,1,3,3,4,4,3
San Francisco,,,11,70.88370081,3.812484,4.25,2.5,2,4,1,1,3,4,1,3,4,4,4,3,2,1
Seattle,,,12,69.79442881,3.749983,3.5,4.5,1,2,3,2,4,1,2,2,2,1,2,1,1,2
Buffalo,,,2,93.05460796,5.374982,6,3.5,2,1,1,1,1,1,2,3,2,3,3,2,4,4
Miami,,,23,48.85242754,2.749981,2.75,2.75,3,2,2,2,3,2,4,2,3,2,4,3,3,2
New England,,,13,69.79437603,3.74998,3,6,1,4,4,3,2,3,1,1,1,1,1,1,1,1
NY Jets,,,32,0,1.437479,1.5,1.25,4,3,3,4,4,4,3,4,4,4,2,4,2,3
Baltimore,,,6,81.6876951,4.499978,4.5,4.5,2,1,1,2,3,2,1,1,2,2,3,3,3,1
Cincinnati,,,18,62.79308905,3.374977,4,1.5,3,3,4,1,1,4,4,4,3,3,1,2,1,2
Cleveland,,,30,18.55728676,1.812476,1.75,2,4,4,2,4,3,2,3,3,4,4,4,4,4,4
Pittsburgh,,,9,73.00281783,3.937475,3.5,5.25,1,2,3,3,2,1,2,2,1,1,2,1,2,3
Houston,,,8,80.78415337,4.437474,4.25,5,2,1,1,4,3,3,1,1,3,1,1,2,4,1
Indianapolis,,,25,47.25558759,2.687473,2.75,2.5,3,2,2,3,2,2,3,2,3,3,2,1,1,2
Jacksonville,,,14,69.79423529,3.749972,4.25,2.25,1,3,2,1,4,4,4,4,1,4,3,3,3,4
Tennessee,,,19,54.83421219,2.999971,2.75,3.75,4,4,4,2,1,1,2,3,2,2,4,4,2,3
Denver,,,24,48.85215035,2.74997,3,2,1,3,2,4,4,4,2,3,4,3,1,1,1,1
Kansas City,,,1,100,5.999969,6,6,3,1,1,1,1,1,1,1,1,1,2,2,2,4
LA Chargers,,,26,45.61383431,2.624968,2.75,2.25,2,2,4,2,3,3,4,2,2,4,4,2,3,2
Las Vegas,,,27,38.54164437,2.374967,2.25,2.75,4,4,2,3,2,2,2,4,3,2,3,4,4,3
