,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
Arizona,31,5.805100544,0.187498,0.25,0,,,,,1,,,,,,5,1,,
Atlanta,16,25.45923372,1.124997,0,4.5,,,,,,,,,3,15,,,,5
Carolina,28,7.537446222,0.249996,0.25,0.25,1,,,,,,,,1,,15,3,3,
Chicago,24,17.67332783,0.687495,0.75,0.5,3,,,,,1,,1,,,,,,
Dallas,14,28.31509599,1.312494,1.25,1.5,,,1,3,1,,,3,,3,,3,,
Detroit,13,31.78221113,1.562493,2,0.25,,3,5,,,,,,,1,,1,,
Green Bay,10,41.70395949,2.437492,2,3.75,1,1,3,,3,5,5,,,5,3,5,1,3
LA Rams,3,76.03789496,8.499991,9.75,4.75,5,3,1,,30,3,,15,1,,,,,
Minnesota,21,21.23175756,0.87499,0.5,2,,1,,1,,,3,,5,,1,,,1
New Orleans,22,18.90151768,0.749989,0,3,,,,,,3,1,5,3,,,,3,
NY Giants,25,16.39851547,0.624988,0.75,0.25,,,,3,,,,,,1,,,,
Philadelphia,2,83.75188237,10.937487,11.75,8.5,1,30,1,15,1,,1,3,30,,,,1,
San Francisco,6,66.61636062,6.187486,7,3.75,3,,15,5,5,,15,,,,,,5,15
Seattle,5,67.19869999,6.312485,7.75,2,30,,,1,,1,3,1,,3,3,15,30,3
Tampa Bay,8,49.8491445,3.374984,2,7.5,,1,3,1,3,30,,,,,,,,
Washington,20,23.41141676,0.999983,1.25,0.25,,5,,,,1,,,,,1,,,1
Baltimore,11,38.48475421,2.124982,2.25,1.75,,3,5,1,,3,3,1,,,,3,,30
Buffalo,9,47.34611735,3.062481,3.5,1.75,3,5,3,3,3,5,1,,1,,,,,
Cincinnati,7,52.62671462,3.74998,5,0,,,,5,15,,,,,,1,1,1,1
Cleveland,27,10.75608211,0.374979,0.25,0.75,,,1,,,3,,,,,,,,
Denver,17,25.45893174,1.124978,1.5,0,5,1,,,,,,,,,30,3,15,3
Houston,12,38.48470017,2.124977,2.25,1.75,3,3,3,,,,3,1,,3,1,,,3
Indianapolis,29,7.536905826,0.249976,0,1,,,,,,1,,3,,,,5,3,1
Jacksonville,19,24.45059733,1.062475,1,1.25,1,,,3,,,,,5,,,,,
Kansas City,1,100,18.312474,20,13.25,,15,30,30,5,15,30,5,1,3,3,,1,
LA Chargers,23,18.90120888,0.749973,0.75,0.75,1,1,,1,,,,3,,,,,3,
Las Vegas,30,7.536797746,0.249972,0.25,0.25,,,,,1,,,,,1,,,,
Miami,26,12.25725036,0.437471,0.5,0.25,,,1,1,,,,,,1,,,,
New England,4,73.2602129,7.74997,4,19,15,,,,1,,1,30,15,30,5,30,5,5
NY Jets,32,0,-3.1e-05,0,0,,,,,,,,,,,,,,
Pittsburgh,15,28.31471625,1.312468,1,2.25,1,1,1,,1,1,,,3,5,3,1,,
Tennessee,18,25.4587569,1.124967,0.75,2.25,,,,,3,1,5,,3,,,,,
,,,,,,,,,,,,,,,,,,,
Super Bowl,,,,,,SEA,PHI,KC,KC,LAR,TB,KC,NE,PHI,NE,DEN,NE,SEA,BAL
,,,,,,NE,KC,SF,PHI,CIN,KC,SF,LAR,NE,ATL,CAR,SEA,DEN,SF
