EASTERN CONFERENCE,,NHL,Value,CHAMPS,Division,2025-26,2024-25,2023-24,2022-23,2021-22,,WESTERN CONFERENCE,,NHL,Value,CHAMPS,Division,2025-26,2024-25,2023-24,2022-23,2021-22
1,Carolina,2,97.72095536,1,4,CHAMPS,ECF,playoff,ECF,1st Div,,1,Vegas,1,100,1,5,West,1st Div,playoff,CHAMPS,4
2,Washington,4,87.42957082,1,5,4,1st Div,playoff,6,playoff,,2,Colorado,3,97.64227784,1,4,WCF,playoff,playoff,1st Div,CHAMPS
3,Florida,5,87.32691803,2,2,7,CHAMPS,CHAMPS,East,1st Div,,3,Dallas,8,81.21278377,,1,playoff,WCF,WCF,WCF,playoff
4,Toronto,6,84.69241057,,2,8,1st Div,playoff,playoff,playoff,,4,Edmonton,10,76.18887441,,.,playoff,West,West,playoff,WCF
5,Boston,7,82.12947054,,2,playoff,8,playoff,1st Div,playoff,,5,Winnipeg,11,75.41526194,,1,7,1st Div,playoff,playoff,6
6,Tampa Bay,9,80.42660499,2,2,playoff,playoff,playoff,playoff,East,,6,Calgary,12,73.521144,,2,7,4,5,5,1st Div
7,NY Rangers,13,72.65595688,,1,8,5,ECF,playoff,ECF,,7,Minnesota,15,67.31723968,,.,playoff,playoff,6,playoff,playoff
8,Pittsburgh,14,68.90592982,1,1,playoff,7,5,5,playoff,,8,Los Angeles,16,63.99149472,,.,playoff,playoff,playoff,playoff,playoff
9,Buffalo,20,57.7633157,,1,1st Div,7,6,5,5,,9,Nashville,17,63.10686877,,2,5,7,playoff,5,playoff
10,NY Islanders,21,52.73160674,,.,6,6,playoff,playoff,5,,10,St. Louis,18,62.22067148,1,1,5,playoff,5,6,playoff
11,Montreal,22,46.97815601,,1,ECF,playoff,8,8,8,,11,Vancouver,19,61.36012729,,1,8,5,1st Div,6,5
12,New Jersey,24,40.30808871,,.,7,playoff,7,playoff,7,,12,Anaheim,23,45.49489139,,1,playoff,6,7,8,7
13,Columbus,25,38.91523485,,.,5,4,8,8,6,,13,San Jose,28,30.45729791,,.,5,8,8,7,6
14,Philadelphia,26,38.07995366,,.,playoff,8,6,7,8,,14,Utah,29,30.2206549,,.,playoff,6,7,7,8
15,Ottawa,27,35.6557119,,.,playoff,playoff,7,6,7,,15,Seattle,31,21.43775012,,.,6,7,5,playoff,8
16,DETROIT,30,25.70832326,,.,6,6,5,7,6,,16,Chicago,32,0,,1,8,8,8,8,7
,,,,,,,,,,,,,,,,,,,,,,
,,STANLEY CUP CHAMPIONS,,,,CAR,FLA,FLA,VGK,COL,,,,,,,,,,,,
,,STANLEY CUP RUNNER-UP,,,,VGK,EDM,EDM,FLA,TB,,,,,,,,,,,,
