,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Boston,1,12,7,82.95769774,6.687498,6.5,7.25,4,8,2,1,4,3,1,2,2,3,3,5,1,2,1
Buffalo,2,6,20,58.88386011,3.999997,5,1,1,7,6,5,5,8,6,6,8,8,7,8,8,5,3
Detroit,3,5,30,26.49430245,2.062496,2.25,1.5,6,6,5,7,6,7,8,7,5,7,3,3,4,3,3
Florida,4,4,5,86.68958377,7.249995,8.25,4.25,7,3,1,4,1,2,4,5,4,6,1,6,7,5,1
Montreal,5,3,22,47.04690053,3.124994,2.25,5.75,2,5,8,8,8,4,5,4,6,1,6,1,3,1,5
Ottawa,6,2,27,36.12682716,2.499993,2.5,2.5,5,4,7,6,7,6,7,8,7,2,5,4,5,4,2
Tampa Bay,7,1,9,80.28388272,6.312492,5.5,8.75,2,2,4,3,3,3,2,1,1,5,2,2,2,4,3
Toronto,8,0,6,85.8868423,7.124991,7.25,6.75,8,1,3,2,2,1,3,3,3,3,8,7,6,3,4
Carolina,,,2,97.88549559,9.24999,10.5,5.5,1,2,2,1,1,1,4,4,6,7,6,8,7,3,5
Columbus,,,25,39.69260718,2.687489,2.25,4,5,4,8,8,6,7,4,5,4,3,8,5,4,4,5
New Jersey,,,24,40.82048415,2.749988,3.25,1.25,7,3,7,2,7,7,8,8,4,8,7,7,6,5,4
NY Islanders,,,21,53.35725441,3.562487,3.5,3.75,6,6,3,4,5,4,6,2,7,5,4,2,8,3,5
NY Rangers,,,13,73.33988234,5.437486,6.5,2.25,8,5,1,3,2,5,7,7,8,4,3,1,2,2,1
Philadelphia,,,26,38.53533823,2.624985,2.25,3.75,2,8,6,7,8,6,2,6,3,6,5,6,3,4,3
Pittsburgh,,,14,69.41472402,4.999984,4.25,7.25,2,7,5,5,3,1,3,3,2,2,2,4,1,1,2
Washington,,,4,88.25281112,7.499983,6,12,4,1,4,6,4,2,1,1,1,1,1,2,5,1,2
Chicago,,,32,0,1.249982,0.25,4.25,8,8,8,8,7,6,7,6,7,1,3,3,3,1,4
Colorado,,,3,97.88545104,9.249981,10.25,6.25,1,3,3,1,1,1,2,5,4,7,6,7,1,5,3
Dallas,,,8,81.64074021,6.49998,7.5,3.5,2,2,1,2,4,5,3,4,6,6,1,6,5,5,4
Minnesota,,,15,68.22661687,4.874979,5,4.5,3,4,6,3,2,3,6,7,3,2,5,4,4,2,4
Nashville,,,17,63.79960016,4.437478,3.25,8,5,7,4,5,5,4,5,1,1,4,4,2,6,5,2
St. Louis,,,18,62.44949696,4.312477,3.5,6.75,5,5,5,6,3,4,1,2,5,3,2,1,2,2,1
Utah,,,28,30.87928966,2.249976,2,3,4,6,7,7,8,5,5,4,8,6,4,7,4,4,1
Winnipeg,,,10,76.44916456,5.812475,6,5.25,7,1,2,4,6,3,4,2,2,5,7,5,7,2,3
Anaheim,,,23,46.06743656,3.062474,2.25,5.5,3,6,7,8,7,8,6,6,2,1,1,1,1,1,5
Calgary,,,12,74.92158184,5.624973,5.5,6,7,4,5,5,1,5,3,1,5,4,5,3,6,4,2
Edmonton,,,11,75.94574906,5.749972,6,5,2,3,2,2,2,2,2,7,6,2,7,6,7,3,5
Los Angeles,,,16,65.10990563,4.562471,5.25,2.5,4,2,3,3,3,6,7,8,4,5,2,4,3,2,3
San Jose,,,29,30.87915602,2.24997,1.5,4.5,5,8,8,7,6,6,8,2,3,3,3,5,2,3,2
Seattle,,,31,21.62881816,1.874969,2.5,0,6,7,5,4,8,,,,,,,,,,
Vancouver,,,19,62.44939827,4.312468,5,2.25,8,5,1,6,5,7,4,5,7,7,6,2,5,1,1
Vegas,,,1,100,9.687467,10,8.75,1,1,4,1,4,2,1,3,1,,,,,,
