,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Boston,10,46.71490731,2.624998,1.5,6,1,,3,1,1,3,3,15,3,1,,,3,15,1
Buffalo,26,16.18842493,0.562497,0.75,0,3,,,,,,,,,,,,,,
Carolina,3,82.13620813,8.624996,10.75,2.25,30,5,3,5,3,3,1,5,,,,,,,
Columbus,29,11.5514293,0.374995,0,1.5,,,,,,,1,3,1,1,,,1,,
Detroit,32,0,-6e-06,0,0,,,,,,,,,,,1,1,1,3,1
Florida,1,100,14.749993,19.5,0.5,,30,30,15,3,1,1,,,,1,,,,1
Montreal,13,42.04945358,2.187492,1.5,4.25,5,1,,,,15,1,,,1,,3,5,1,
New Jersey,20,21.57199502,0.812491,1,0.25,,1,,3,,,,,1,,,,,,15
NY Islanders,18,28.39328452,1.18749,0.5,3.25,,,1,1,,5,5,3,,,3,1,,1,
NY Rangers,12,43.44472479,2.312489,2.75,1,,,5,1,5,,1,,,3,1,5,15,3,5
Ottawa,25,18.97986575,0.687488,0.5,1.25,1,1,,,,,,,,5,,1,,3,1
Philadelphia,21,21.57191497,0.812487,0.75,1,3,,,,,,3,,1,,1,,1,,3
Pittsburgh,11,46.08392801,2.562486,0.5,8.75,1,,,,1,1,1,1,3,30,30,1,3,5,1
Tampa Bay,5,77.62746008,7.499985,4.5,16.5,1,1,1,1,15,30,30,1,5,,5,15,1,,
Toronto,14,36.69408325,1.749984,2,1,,3,1,3,1,1,1,1,1,1,,,,1,
Washington,8,51.40172074,3.124983,1.25,8.75,,3,1,,1,1,1,1,30,3,3,3,,1,3
Anaheim,19,23.990954,0.937482,0.75,1.5,3,,,,,,,,1,5,1,5,3,1,
Calgary,23,20.29890375,0.749981,0.75,0.75,,,,,3,,1,1,,1,,3,,,
Chicago,31,4.271940999,0.12498,0,0.5,,,,,,,1,,,1,1,30,5,30,1
Colorado,4,79.44799081,7.937479,9.75,2.5,5,1,3,1,30,3,3,3,1,,,,1,,
Dallas,7,59.27537413,4.124978,4,4.5,1,5,5,5,1,,15,3,,,3,,1,,
Edmonton,6,77.35972374,7.437477,9.5,1.25,1,15,15,3,5,1,1,,,3,,,,,
Los Angeles,22,21.57169482,0.812476,1,0.25,1,1,1,1,1,,,,1,,1,,30,5,30
Minnesota,17,31.37611696,1.374975,1.5,1,3,1,,1,1,1,1,,1,1,1,3,3,1,
Nashville,15,35.00649916,1.624974,0.5,5,,,1,,1,1,1,1,3,15,3,1,,,3
San Jose,27,16.18786776,0.562473,0,2.25,,,,,,,,5,3,1,15,,1,3,1
Seattle,28,16.18784455,0.562472,0.75,0,,,,3,,,,,,,,,,,
St. Louis,9,49.71416596,2.937471,1,8.75,,1,,,3,1,1,30,,3,5,1,1,1,3
Utah,30,8.093481185,0.24997,0.25,0.25,1,,,,,,1,,,,,,,,5
Vancouver,24,20.29865501,0.749969,0.75,0.75,,,3,,,,3,,,,,1,,1,1
Vegas,2,89.56471255,10.812468,12.25,6.5,15,3,1,30,,5,5,1,15,,,,,,
Winnipeg,16,34.13229294,1.562467,1.25,2.5,,3,1,1,,3,1,1,5,,,1,,,
,,,,,,,,,,,,,,,,,,,,
Stanley Cup,,,,,,CAR,FLA,FLA,VGK,COL,TB,TB,STL,WAS,PIT,PIT,CHI,LA,CHI,LA
,,,,,,VGK,EDM,EDM,FLA,TB,MON,DAL,BOS,VGK,NAS,SJ,TB,NYR,BOS,NJ
