BIG TEN CONFERENCE,,CBB,Value,CHAMPS,,S16,,,,,,,COLLEGE BASKETBALL,,KP,Value,CHAMPS,,S16,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,
2,,,,,,,,,,,,,2,,,,,,,,,,
3,,,,,,,,,,,,,3,,,,,,,,,,
4,,,,,,,,,,,,,4,,,,,,,,,,
5,,,,,,,,,,,,,5,,,,,,,,,,
6,,,,,,,,,,,,,6,,,,,,,,,,
7,,,,,,,,,,,,,7,,,,,,,,,,
8,,,,,,,,,,,,,8,,,,,,,,,,
9,,,,,,,,,,,,,9,,,,,,,,,,
10,,,,,,,,,,,,,10,,,,,,,,,,
11,,,,,,,,,,,,,11,,,,,,,,,,
12,,,,,,,,,,,,,12,,,,,,,,,,
13,,,,,,,,,,,,,13,,,,,,,,,,
14,,,,,,,,,,,,,14,,,,,,,,,,
15,,,,,,,,,,,,,15,,,,,,,,,,
16,,,,,,,,,,,,,16,,,,,,,,,,
17,,,,,,,,,,,,,17,,,,,,,,,,
18,,,,,,,,,,,,,18,,,,,,,,,,
,,,,,,,,,,,,,19,,,,,,,,,,
IVY LEAGUE,,CBB,Value,CHAMPS,,NCAAT,,,,,,,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,21,,,,,,,,,,
2,,,,,,,,,,,,,22,,,,,,,,,,
3,,,,,,,,,,,,,23,,,,,,,,,,
4,,,,,,,,,,,,,24,,,,,,,,,,
5,,,,,,,,,,,,,25,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,BASKETBALL BLUE BLOODS,,CBB,Value,CHAMPS,,S16,,,,
8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,
,,,B1G CHAMPION,,,B1G TOURNAMENT,,,IVY MADNESS,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,
,,,,,,,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,NCAA TOURNAMENT,,,,,,No. 1,KENPOM,IVY,,,,,SEC,,,BIG XII,,ACC,,BIG EAST
