,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Alabama,,,,,,,3,10,1,,1,,,,,,,,
Arizona,,,,,,10,1,1,,1,,,,1,,3,3,1,
Arkansas,,,,,,1,1,,1,3,3,,,,,,,,
Auburn,,,,,,,10,,,,,10,,,,,,,
Baylor,,,,,,,,,,,30,,,1,,,1,,3
Brigham Young,,,,,,,1,,,,,,,,,,,,
Butler,,,,,,,,,,,,,,1,,,,,
Cincinnati,,,,,,,,,,,,,,,,,,,1
Clemson,,,,,,,,3,,,,,1,,,,,,
Connecticut,,,,,,15,,30,30,,,,,,,,30,,
Creighton,,,,,,,,1,3,,1,,,,,,,,
Dayton,,,,,,,,,,,,,,,,,3,,
Duke,,,,,,3,10,3,,10,,3,3,,1,30,,3,
Florida,,,,,,,30,,,,,,,3,,,10,3,3
Florida Atlantic,,,,,,,,,10,,,,,,,,,,
Florida Gulf Coast,,,,,,,,,,,,,,,,,,1,
Florida State,,,,,,,,,,,1,1,3,,,,,,
Gonzaga,,,,,,,,1,3,1,15,3,1,15,1,3,,,
Houston,,,,,,1,15,1,1,3,10,1,,,,,,,
Illinois,,,,,,10,,3,,,,,,,,,,,
Indiana,,,,,,,,,,,,,,,1,,,1,1
Iowa,,,,,,3,,,,,,,,,,,,,
Iowa State,,,,,,1,,1,,1,,,,,1,,1,,
Kansas,,,,,,,,,,30,,,10,3,3,,,1,15
Kansas State,,,,,,,,,3,,,,3,,,,,,
Kentucky,,,,,,,1,,,,,3,1,3,,10,15,,30
La Salle,,,,,,,,,,,,,,,,,,1,
Louisiana State,,,,,,,,,,,,1,,,,,,,
Louisville,,,,,,,,,,,,,,,,3,1,30,10
Loyola Chicago,,,,,,,,,,,1,,10,,,,,,
Marquette,,,,,,,,1,,,,,,,,,,3,1
Maryland,,,,,,,1,,,,,,,,1,,,,
Miami,,,,,,,,,10,3,,,,,1,,,1,
Michigan,,,,,,30,1,,,1,3,1,15,1,,,3,15,
Michigan State,,,,,,1,3,,1,,,10,,,,10,3,1,1
Nebraska,,,,,,1,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,1,,,,,,
North Carolina,,,,,,,,1,,15,,1,,30,15,1,,,3
North Carolina State,,,,,,,,10,,,,,,,,1,,,1
Notre Dame,,,,,,,,,,,,,,,3,3,,,
Ohio,,,,,,,,,,,,,,,,,,,1
Ohio State,,,,,,,,,,,,,,,,,,3,10
Oklahoma,,,,,,,,,,,,,,,10,1,,,
Ole Miss,,,,,,,1,,,,,,,,,,,,
Oral Roberts,,,,,,,,,,,1,,,,,,,,
Oregon,,,,,,,,,,,1,1,,10,3,,,1,
Oregon State,,,,,,,,,,,3,,,,,,,,
Princeton,,,,,,,,,1,,,,,,,,,,
Providence,,,,,,,,,,1,,,,,,,,,
Purdue,,,,,,3,1,15,,1,,3,1,1,,,,,
Saint Peter's,,,,,,,,,,3,,,,,,,,,
San Diego State,,,,,,,,1,15,,,,,,,,1,,
South Carolina,,,,,,,,,,,,,,10,,,,,
Southern California,,,,,,,,,,,3,,,,,,,,
St. John's,,,,,,1,,,,,,,,,,,,,
Stanford,,,,,,,,,,,,,,,,,1,,
Syracuse,,,,,,,,,,,1,,1,,10,,,10,3
Tennessee,,,,,,3,3,3,1,,,1,,,,,1,,
Texas,,,,,,1,,,3,,,,,,,,,,
Texas A&M,,,,,,,,,,,,,1,,1,,,,
Texas Tech,,,,,,,3,,,1,,15,3,,,,,,
