BIG TEN CONFERENCE,,CFB,Value,CHAMPS,,CFP,,,,,,,COLLEGE FOOTBALL,,SP+,Value,CHAMPS,,CFP
1,,,,,,,,,,,,,1,,,,,,
2,,,,,,,,,,,,,2,,,,,,
3,,,,,,,,,,,,,3,,,,,,
4,,,,,,,,,,,,,4,,,,,,
5,,,,,,,,,,,,,5,,,,,,
6,,,,,,,,,,,,,6,,,,,,
7,,,,,,,,,,,,,7,,,,,,
8,,,,,,,,,,,,,8,,,,,,
9,,,,,,,,,,,,,9,,,,,,
10,,,,,,,,,,,,,10,,,,,,
11,,,,,,,,,,,,,11,,,,,,
12,,,,,,,,,,,,,12,,,,,,
13,,,,,,,,,,,,,13,,,,,,
14,,,,,,,,,,,,,14,,,,,,
15,,,,,,,,,,,,,15,,,,,,
16,,,,,,,,,,,,,16,,,,,,
17,,,,,,,,,,,,,17,,,,,,
18,,,,,,,,,,,,,18,,,,,,
,,,,,,,,,,,,,19,,,,,,
,,,B1G CHAMPIONSHIP GAME,,,,COLLEGE FOOTBALL PLAYOFF,,,,,,20,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21,,,,,,
,,,,,,,,,,,,,22,,,,,,
,,,,,,,,,,,,,23,,,,,,
,,,,,,,,,,,,,24,,,,,,
,,,,,,,,,,,,,25,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FOOTBALL BLUE BLOODS,,CFB,Value,CHAMPS,,CFP
,,,,,,,,,,,,,,,,,,,
,,NO. 1 OVERALL SEED,,,,,,,,,,,1,,,,,,
,,SP+ #1 RANKING,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,
,,SEC CHAMPIONS,,,,,,,,,,,5,,,,,,
,,BIG XII CHAMPIONS,,,,,,,,,,,6,,,,,,
,,ACC CHAMPIONS,,,,,,,,,,,7,,,,,,
,,GROUP OF FIVE SELECTION,,,,,,,,,,,8,,,,,,
