,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Illinois,1,30,,,,,,7,5,8,5,8,14,8,12,14,11,9,8,5,6
Indiana,2,20,,,,,,1,2,14,12,14,3,7,12,11,9,9,13,4,5
Iowa,3,15,,,,,,6,5,2,5,2,4,5,5,7,5,2,6,2,5
Maryland,4,14,,,,,,16,17,7,8,10,8,12,9,11,10,12,6,,
Michigan,5,13,,,,,,4,7,1,1,1,11,5,3,6,4,4,8,5,2
Michigan State,6,12,,,,,,16,12,13,10,4,13,8,5,3,13,1,3,1,4
Minnesota,7,11,,,,,,7,7,8,5,5,7,3,9,11,7,9,4,4,5
Nebraska,8,10,,,,,,10,12,8,10,12,9,10,9,9,5,8,4,2,1
Northwestern,9,9,,,,,,10,16,5,13,12,2,12,2,3,7,4,8,6,3
Ohio State,10,8,,,,,,2,4,3,3,3,1,1,1,1,3,3,1,1,1
Oregon,11,7,,,,,,3,1,2,4,2,1,1,,,,,,,
Penn State,12,6,,,,,,12,2,4,4,8,5,3,4,3,1,7,12,3,2
Purdue,13,5,,,,,,18,18,8,2,5,11,10,5,7,12,12,13,6,4
Rutgers,14,4,,,,,,14,8,8,13,11,10,14,14,9,14,12,8,,
Southern California,15,3,,,,,,4,8,5,2,8,2,3,,,,,,,
UCLA,16,2,,,,,,12,12,7,6,3,8,8,,,,,,,
Washington,17,1,,,,,,7,8,1,3,8,3,4,,,,,,,
Wisconsin,18,0,,,,,,14,12,5,8,5,6,2,5,2,2,4,2,2,3
,,,,,,,,,,,,,,,,,,,,,
B1G Champion,,,,,,,,Indiana,Oregon,Michigan,Michigan,Michigan,Ohio State,Ohio State,Ohio State,Ohio State,Penn State,Michigan State,Ohio State,Michigan State,Wisconsin
Championship Game,,,,,,,,Ohio State,Penn State,Iowa,Purdue,Iowa,Northwestern,Wisconsin,Northwestern,Wisconsin,Wisconsin,Iowa,Wisconsin,Ohio State,Nebrask
,,,,,,,,,,,,,,,,,,,,,
Winner,,,,,,,,INDIANA,OREGON,MICHIGAN,MICHIGAN,MICHIGAN,OHIO STATE,OHIO STATE,OHIO STATE,OHIO STATE,PENN STATE,MICHIGAN STATE,OHIO STATE,MICHIGAN STATE,WISCONSIN
Loser,,,,,,,,OSU,PSU,IOWA,PUR,IOWA,NW,WIS,NW,WIS,WIS,IOWA,WIS,OSU,NEB
