,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Alabama,,,,,,3,,10,0.5,15,30,,15,30,15,30,10,0.5,30
Arizona,,,,,,,,,,,,,,,,,0.5,,
Arizona State,,,,,,,3,,,,,,,,,,,,
Auburn,,,,,,,,,,,,,,0.5,0.5,,,15,
Baylor,,,,,,,,,,0.5,,0.5,,,,,0.5,0.5,
Boise State,,,,,,,3,,,,,,,,,,0.5,,
Central Florida,,,,,,,,,,,,,0.5,0.5,,,,0.5,
Cincinnati,,,,,,,,,,10,0.5,,,,,,,,
Clemson,,,,,,,1,,0.5,,10,15,30,10,30,15,,0.5,
Florida,,,,,,,,,,,0.5,0.5,0.5,,,,,,0.5
Florida State,,,,,,,,0.5,,,,,,,0.5,0.5,10,30,0.5
Georgia,,,,,,3,3,0.5,30,30,0.5,0.5,0.5,15,,,,,
Georgia Tech,,,,,,,,,,,,,,,,,0.5,,
Houston,,,,,,,,,,,,,,,,0.5,,,
Indiana,,,,,,30,1,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,,,,0.5,,,
Iowa State,,,,,,,,,,,0.5,,,,,,,,
James Madison,,,,,,1,,,,,,,,,,,,,
Kansas State,,,,,,,,,0.5,,,,,,,,,,0.5
Liberty,,,,,,,,0.5,,,,,,,,,,,
Louisiana State,,,,,,,,,,,,30,0.5,,,,,,
Louisville,,,,,,,,,,,,,,,,,,,0.5
Memphis,,,,,,,,,,,,0.5,,,,,,,
Miami,,,,,,15,,,,,,,,0.5,,,,,
Michigan,,,,,,,,30,10,10,,,0.5,,0.5,,,,
Michigan State,,,,,,,,,,0.5,,,,,,10,0.5,0.5,
Mississippi State,,,,,,,,,,,,,,,,,0.5,,
Missouri,,,,,,,,0.5,,,,,,,,,,,
North Carolina,,,,,,,,,,,0.5,,,,,,,,
Northern Illinois,,,,,,,,,,,,,,,,,,,0.5
Notre Dame,,,,,,,15,,,0.5,10,,10,,,0.5,,,15
Ohio State,,,,,,3,30,0.5,10,0.5,15,10,0.5,0.5,10,0.5,30,0.5,
Oklahoma,,,,,,1,,,,,0.5,10,10,10,0.5,10,,0.5,
Oklahoma State,,,,,,,,,,0.5,,,,,,0.5,,,
Ole Miss,,,,,,10,,0.5,,0.5,,,,,,0.5,0.5,,
Oregon,,,,,,10,3,0.5,,,0.5,0.5,,,,,15,,0.5
Penn State,,,,,,,10,0.5,0.5,,,0.5,,0.5,0.5,,,,
Pittsburgh,,,,,,,,,,0.5,,,,,,,,,
Southern California,,,,,,,,,0.5,,,,,0.5,0.5,,,,
Southern Methodist,,,,,,,1,,,,,,,,,,,,
Stanford,,,,,,,,,,,,,,,,0.5,,0.5,0.5
Tennessee,,,,,,,1,,0.5,,,,,,,,,,
Texas,,,,,,,10,10,,,,,0.5,,,,,,
Texas A&M,,,,,,1,,,,,0.5,,,,,,,,
Texas Christian,,,,,,,,,15,,,,,,,,0.5,,
Texas Tech,,,,,,3,,,,,,,,,,,,,
Tulane,,,,,,1,,,0.5,,,,,,,,,,
Utah,,,,,,,,,0.5,0.5,,,,,,,,,
Virginia,,,,,,,,,,,,0.5,,,,,,,
Washington,,,,,,,,15,,,,,0.5,0.5,10,,,,
Western Michigan,,,,,,,,,,,,,,,0.5,,,,
Wisconsin,,,,,,,,,,,,0.5,,0.5,0.5,,,,0.5
,,,,,,,,,,,,,,,,,,,
CFP,,,,,,1 INDIANA,8 OHIO STATE,1 MICHIGAN,1 GEORGIA,3 GEORGIA,1 ALABAMA,1 LSU,2 CLEMSON,4 ALABAMA,2 CLEMSON,2 ALABAMA,4 OHIO STATE,FLORIDA STATE,ALABAMA
,,,,,,10 MIA,7 ND,2 WASH,3 TCU,1 BAMA,3 OSU,3 CLEM,1 BAMA,3 UGA,1 BAMA,1 CLEM,2 ORE,AUB,ND
,,,,,,5 ORE,5 TEX,4 BAMA,4 OSU,2 MICH,4 ND,4 OU,3 ND,1 CLEM,3 OSU,3 MSU,1 BAMA,,
,,,,,,6 MISS,6 PSU,3 TEX,2 MICH,4 CIN,2 CLEM,2 OSU,4 OU,2 OU,4 WASH,4 OU,3 FSU,,
No. 1,,,,,,IND,ORE,MICH,UGA,BAMA,BAMA,LSU,BAMA,CLEM,BAMA,CLEM,BAMA,,
SP+,,,,,,OSU,OSU,MICH,UGA,UGA,BAMA,OSU,BAMA,BAMA,BAMA,OSU,BAMA,FSU,BAMA
SEC,,,,,,UGA,UGA,BAMA,UGA,BAMA,BAMA,LSU,BAMA,UGA,BAMA,BAMA,BAMA,AUB,BAMA
Big XII,,,,,,TECH,ASU,TEX,KSU,BAY,OU,OU,OU,OU,OU,OU,BAY/TCU,BAY,KSU
ACC,,,,,,DUKE,CLEM,FSU,CLEM,PITT,CLEM,CLEM,CLEM,CLEM,CLEM,CLEM,FSU,FSU,FSU
G5,,,,,,TUL,BOI,LIB,TUL,CIN,CIN,MEM,UCF,UCF,WMU,HOU,BOI,,
