,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Air Force,,,,,,81,'111,'45,57,54,80,25,85,104,58,58,74,110,95
Akron,,,,,,117,'124,'130,127,127,124,129,120,121,90,81,101,103,116
Alabama,,,,,,20,'4,'7,2,3,1,3,1,1,1,2,1,2,1
Appalachian State,,,,,,111,'100,'52,66,36,24,27,29,58,43,49,98,,
Arizona,,,,,,28,'82,'18,80,112,98,100,58,59,87,59,46,27,44
Arizona State,,,,,,60,'35,'107,83,26,21,45,52,68,81,38,28,23,19
Arkansas,,,,,,54,'24,'54,25,22,57,108,53,63,47,14,31,65,35
Arkansas State,,,,,,100,'104,'84,107,119,100,76,72,66,72,73,70,107,61
Army,,,,,,74,'37,'79,70,63,69,72,84,91,102,127,120,115,120
Auburn,,,,,,29,'34,'36,51,29,28,9,7,8,21,23,6,6,55
Ball State,,,,,,132,'126,'118,113,107,73,86,119,123,96,115,91,53,73
Baylor,,,,,,71,'38,'97,36,15,63,18,67,76,32,13,8,17,37
Boise State,,,,,,64,'29,'44,59,42,47,37,28,38,30,30,32,38,29
Boston College,,,,,,97,'70,'83,112,75,79,92,63,53,73,57,58,55,74
Bowling Green,,,,,,113,'77,'94,122,111,126,128,126,101,93,51,89,44,78
Brigham Young,,,,,,18,'17,'76,71,46,7,60,46,97,46,44,35,43,39
Buffalo,,,,,,95,'87,'119,99,103,48,71,82,105,124,103,95,88,110
California,,,,,,80,'55,'67,77,68,81,74,56,74,62,28,71,87,54
Central Florida,,,,,,76,'62,'57,46,62,29,14,18,22,76,113,54,33,48
Central Michigan,,,,,,101,'120,'126,110,84,90,84,122,98,91,85,88,112,99
Charlotte,,,,,,134,'118,'129,115,114,109,95,118,129,126,126,,,
Cincinnati,,,,,,56,'72,'87,30,5,8,34,50,95,82,55,48,51,36
Clemson,,,,,,34,'22,'23,14,8,3,4,3,5,2,4,18,8,17
Coastal Carolina,,,,,,122,'99,'68,81,25,25,113,116,115,,,,,
Colorado,,,,,,96,'39,'81,124,104,67,81,80,64,53,87,87,71,112
Colorado State,,,,,,124,'94,'98,126,87,92,78,102,57,64,72,59,63,92
Connecticut,,,,,,53,'67,'120,116,129,129,126,128,122,107,91,112,96,68
Delaware,,,,,,109,,,,,,,,,,,,,
Duke,,,,,,44,'44,'30,48,113,104,68,51,46,80,66,47,58,84
East Carolina,,,,,,38,'74,'111,62,78,96,116,110,112,100,80,40,52,82
Eastern Michigan,,,,,,119,'114,'109,86,101,107,101,86,90,97,124,128,123,119
