,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Alabama,1,25,,,,,,9,11,4,5,1,1,13,1,4,1,2,1,3,2
Appalachian State,2,24,,,,,,,,,,,,20,,,,,,,
Arizona,3,23,,,,,,17,,14,,,,,,,,,10,,
Arizona State,4,22,,,,,,,12,,,,,,,,,,15,16,
Arkansas,5,21,,,,,,,,,,21,,,,,,,,,
Army,6,20,,,,,,,22,,,,,,,,,,,,
Auburn,7,19,,,,,,,,,,,,12,,7,14,,19,2,
Baylor,8,18,,,,,,,,,,7,,7,,,,17,5,6,
Boise State,9,17,,,,,,,9,,,,,19,25,25,,,20,,20
Brigham Young,10,16,,,,,,12,17,,,13,16,,,,,,,,
Central Florida,11,15,,,,,,,,,,,,,8,12,,,,15,
Cincinnati,12,14,,,,,,,,,,4,8,21,,,,,,,
Clemson,13,13,,,,,,,16,22,7,19,2,3,2,1,2,1,17,12,14
Coastal Carolina,14,12,,,,,,,,,,,12,,,,,,,,
Colorado,15,11,,,,,,,23,,,,,,,,10,,,,
Duke,16,10,,,,,,,,,,,,,,,,,,22,
Florida,17,9,,,,,,,,,,,7,9,10,,17,19,,,4
Florida State,18,8,,,,,,,,5,13,,,,,,11,9,3,1,13
Fresno State,19,7,,,,,,,,,,,,,21,,,,,21,
Georgia,20,6,,,,,,3,2,6,1,3,9,5,5,3,,,13,23,6
Georgia Tech,21,5,,,,,,22,,,,,,,,,,,12,,
Houston,22,4,,,,,,21,,,,20,,,,,,18,,,
Illinois,23,3,,,,,,,20,,,,,,,,,,,,
Indiana,24,2,,,,,,1,8,,,,11,,,,,,,,
Iowa,25,1,,,,,,23,,17,,15,15,16,,,,5,,,
Iowa State,0,0,,,,,,,18,,,,10,,24,,,,,,
James Madison,,,,,,,,24,,,,,,,,,,,,,
Kansas State,,,,,,,,,,25,9,,,,,,,,11,,7
Kent State,,,,,,,,,,,,,,,,,,,,,25
Kentucky,,,,,,,,,,,,22,,,14,,,,,,
Liberty,,,,,,,,,,23,,,,,,,,,,,
Louisiana,,,,,,,,,,,,23,19,,,,,,,,
Louisiana State,,,,,,,,,,13,17,,,1,11,17,20,20,23,14,9
Louisville,,,,,,,,,,15,,,,,,,13,,21,18,22
Memphis,,,,,,,,,25,,,,,17,,20,,,,,
Miami,,,,,,,,10,13,,,,18,,,10,,,,,
Michigan,,,,,,,,18,,1,2,2,,14,7,,6,14,,,19
Michigan State,,,,,,,,,,,,10,,,,16,,3,8,4,
Minnesota,,,,,,,,,,,,,,18,,,,,25,,
Mississippi State,,,,,,,,,,,22,,,,18,23,,,7,,
Missouri,,,,,,,,,19,9,,,,,23,,,,16,9,
Navy,,,,,,,,,,,,,,23,,,25,21,,,
Nebraska,,,,,,,,,,,,,,,,,,,,,23
North Carolina,,,,,,,,,,,,,13,,,,,10,,,
North Carolina State,,,,,,,,,,18,23,18,23,,,24,,,,,
North Texas,,,,,,,,25,,,,,,,,,,,,,
Northern Illinois,,,,,,,,,,,,,,,,,,,,24,16
Northwestern,,,,,,,,,,,,,14,,22,21,,13,,,21
Notre Dame,,,,,,,,11,5,16,21,5,4,15,3,14,,8,,25,1
Ohio State,,,,,,,,2,6,7,4,6,3,2,6,5,3,7,4,7,3
Oklahoma,,,,,,,,8,,12,,16,6,4,4,2,7,4,,11,12
