,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2024,'2023,'2021,'2019,'2017,'2016,'2015,'2013,2011
,,,,,,Copa,Gold,Gold,Gold,Gold,Copa,Gold,Gold,Gold
Belize,,,,,,,,,,,,,1,
Bermuda,,,,,,,,,1,,,,,
Canada,,,,,,5,3,5,3,3,,1,1,1
Costa Rica,,,,,,0.5,3,3,3,5,0.5,3,3,3
Cuba,,,,,,,1,,1,,,3,3,1
Curacao,,,,,,,,,3,1,,,,
El Salvador,,,,,,,1,3,1,3,,1,3,3
French Guiana,,,,,,,,,,1,,,,
Grenada,,,,,,,,1,,,,,,1
Guadeloupe,,,,,,,1,1,,,,,,1
Guatemala,,,,,,,3,1,,,,1,,3
Guyana,,,,,,,,,1,,,,,
Haiti,,,,,,,1,1,5,,0.5,3,1,
Honduras,,,,,,,1,3,1,3,,1,5,5
Jamaica,,,,,,0.5,5,3,5,15,0.5,15,,3
Martinique,,,,,,,1,1,1,1,,,1,
Mexico,,,,,,0.5,30,15,30,5,3,30,5,30
Nicaragua,,,,,,,,,1,1,,,,
Panama,,,,,,3,15,1,3,3,0.5,5,15,5
Saint Kitts and Nevis,,,,,,,1,,,,,,,
Suriname,,,,,,,,1,,,,,,
Trinidad and Tobago,,,,,,,1,1,1,,,3,3,
UNITED STATES,,,,,,0.5,5,30,15,30,5,5,30,15
,,,,,,,,,,,,,,
Gold Cup,,,,,,,MEX,USA,MEX,USA,,MEX,USA,MEX
Runner-Up,,,,,,,PAN,MEX,USA,JAM,,JAM,PAN,USA
