,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2024-25,2023-24,2022-23,2019-20
Belize,,,,,,,,,
Bermuda,,,,,,,,,1
Canada,,,,,,5,3,15,1
Costa Rica,,,,,,3,3,1,5
Cuba,,,,,,1,1,,1
Curacao,,,,,,,1,1,1
El Salvador,,,,,,,1,1,
French Guiana,,,,,,1,,,
Grenada,,,,,,,1,1,
Guadeloupe,,,,,,1,,,
Guatemala,,,,,,,1,,
Guyana,,,,,,1,,,
Haiti,,,,,,,1,,1
Honduras,,,,,,3,3,1,5
Jamaica,,,,,,3,5,1,
Martinique,,,,,,,1,1,1
Mexico,,,,,,30,15,5,15
Nicaragua,,,,,,,,,
Panama,,,,,,15,5,5,1
Suriname,,,,,,3,1,1,
Trinidad and Tobago,,,,,,,3,,1
UNITED STATES,,,,,,5,30,30,30
,,,,,,,,,
Nations League,,,,,,MEX,USA,USA,USA
Runner-Up,,,,,,PAN,MEX,CAN,MEX
