,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2022,'2018,'2014,'2010,'2006
Belize,,,,,,,,,,
Bermuda,,,,,,,,,,
Canada,,,,,,2,,,,
Costa Rica,,,,,,2,2,8,0.5,2
Cuba,,,,,,,,,,
Curacao,,,,,,,,,,
El Salvador,,,,,,0.5,,,0.5,
French Guiana,,,,,,,,,,
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guatemala,,,,,,,,,,0.5
Guyana,,,,,,,,,,
Haiti,,,,,,,,,,
Honduras,,,,,,0.5,0.5,2,2,
Jamaica,,,,,,0.5,,0.5,,
Martinique,,,,,,,,,,
Mexico,,,,,,2,5,5,5,5
Nicaragua,,,,,,,,,,
Panama,,,,,,0.5,2,0.5,,0.5
Suriname,,,,,,,,,,
Trinidad and Tobago,,,,,,,0.5,,0.5,2
UNITED STATES,,,,,,5,0.5,5,5,2
,,,,,,,,,,
World Cup,,,,,,ARG,FRA,GER,ESP,ITA
Runner-Up,,,,,,FRA,CRO,ARG,NED,FRA
