PREMIER LEAGUE,,UEFA,Value,CHAMPS,UCL,,,,,,,,UEFA SUPER LEAGUE,,Value,Lg,CHAMPS,UCL
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,UEFA ADDITIONAL,,UEFA,Lg,CHAMPS,UCL
18,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,PREMIER LEAGUE,,FA CUP FINAL,,,,LEAGUE CUP FINAL,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,CHAMPIONS LEAGUE,,,,EUROPA LEAGUE,,,CONFERENCE LG,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,LA LIGA WINNERS,,,,,,,,,,,,,,,,
,,BUNDESLIGA WINNERS,,,,,,,,,,,,,,,,
,,SERIE A WINNERS,,,,,,,,,,,,,,,,
,,LIGUE 1 WINNERS,,,,,,,,,,,,,,,,
,,CLUB WORLD CUP,,,,,,,,,,,,,,,,
