,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
AC Milan,,,,,,,1,0.5,5,0.5,[UEL],n/a,[UEL],[UEL],n/a,n/a,n/a,2,2,3
Arsenal,,,,,,15,5,3,[UEL],n/a,[UEL],[UEL],[UEL],[UEL],2,2,2,2,2,2
Atletico Madrid,,,,,,5,2,3,0.5,3,2,3,2,UEL*,5,15,3,15,[UEL],[UEL]
Barcelona,,,,,,3,5,3,0.5,0.5,2,3,5,3,3,3,30,3,5,5
Bayern Munich,,,,,,5,3,5,3,3,3,30,2,5,3,5,5,5,30,15
Chelsea,,,,,,2,UECL*,n/a,3,3,30,2,UEL,0.5,n/a,2,2,5,0.5,30
Dortmund,,,,,,1,3,15,2,0.5,3,2,2,0.5,3,[UEL],2,3,15,0.5
Inter Milan,,,,,,1,15,2,15,2,0.5,0.5,0.5,n/a,[UEL],n/a,[UEL],n/a,[UEL],2
Juventus,,,,,,1,1,n/a,0.5,2,2,2,3,3,15,2,15,0.5,3,n/a
Liverpool,,,,,,3,2,[UEL],2,15,3,2,30,15,n/a,[UEL],0.5,n/a,[UEL],n/a
Manchester City,,,,,,2,1,3,30,5,15,3,3,3,2,5,2,2,0.5,0.5
Manchester United,,,,,,,[UEL],0.5,[UEL],2,0.5,[UEL],3,2,UEL*,0.5,n/a,3,2,0.5
Paris Saint-Germain,,,,,,30,30,5,2,2,5,15,2,2,2,3,3,3,3,UEL
Real Madrid,,,,,,3,3,30,5,30,5,2,2,30,30,30,5,30,5,5
Tottenham Hotspur,,,,,,2,UEL*,n/a,2,[UECL],[UEL],2,15,2,0.5,[UEL],[UEL],[UEL],[UEL],[UEL]
AEK Athens,,,,,,,,,,,,,0.5,,,,,,,
Ajax,,,,,,0.5,,,0.5,2,0.5,0.5,5,,,,0.5,0.5,0.5,0.5
Anderlecht,,,,,,,,,,,,,,0.5,,,0.5,0.5,0.5,
