,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Arsenal,0,0,,,,,,1,2,2,2,5,8,8,5,6,5,2,3,4,4,3
Aston Villa,1,40,,,,,,4,6,4,7,14,11,17,,,,20,16,14,15,16
Bournemouth,2,25,,,,,,6,9,12,15,,,18,14,10,8,15,,,,
Brentford,3,24,,,,,,9,10,16,9,13,,,,,,,,,,
Brighton & Hove Albion,4,23,,,,,,8,8,11,6,9,16,15,17,15,,,,,,
Burnley,5,16,,,,,,19,,19,,18,17,9,15,7,16,,19,,,
Cardiff City,6,15,,,,,,,,,,,,,18,,,,,20,,
Chelsea,7,14,,,,,,10,4,6,12,3,4,4,3,5,1,10,1,3,3,6
Crystal Palace,8,13,,,,,,15,12,10,11,12,14,14,12,10,14,15,10,11,,
Everton,9,12,,,,,,13,13,15,17,16,9,12,8,8,7,11,11,5,6,7
Fulham,10,11,,,,,,11,11,13,10,,18,,19,,,,,19,12,9
Huddersfield Town,11,10,,,,,,,,,,,,,20,16,,,,,,
Hull City,12,9,,,,,,,,,,,,,,,18,,18,16,,
Ipswich Town,13,8,,,,,,,19,,,,,,,,,,,,,
Leeds United,14,7,,,,,,14,,,19,17,9,,,,,,,,,
Leicester City,15,6,,,,,,,18,,18,8,5,5,9,9,12,1,14,,,
Liverpool,16,5,,,,,,5,1,3,5,2,3,1,2,4,4,8,6,2,7,8
Luton Town,17,4,,,,,,,,18,,,,,,,,,,,,
Manchester City,18,3,,,,,,2,3,1,1,1,1,2,1,1,3,4,2,1,2,1
Manchester United,19,2,,,,,,3,15,8,3,6,2,3,6,2,6,5,4,7,1,2
Middlesbrough,20,1,,,,,,,,,,,,,,,19,,,,,
Newcastle United,0,0,,,,,,12,5,7,4,11,12,13,13,10,,18,15,10,16,5
Norwich City,,,,,,,,,,,,20,,20,,,,19,,18,11,12
Nottingham Forest,,,,,,,,16,7,17,16,,,,,,,,,,,
Queens Park Rangers,,,,,,,,,,,,,,,,,,,20,,20,17
Sheffield United,,,,,,,,,,20,,,20,9,,,,,,,,
Southampton,,,,,,,,,20,,20,15,15,11,16,17,8,6,7,8,17,
Stoke City,,,,,,,,,,,,,,,,19,12,9,9,9,13,14
Sunderland,,,,,,,,7,,,,,,,,,20,17,16,14,,13
Swansea City,,,,,,,,,,,,,,,,18,14,11,8,12,9,11
Tottenham Hotspur,,,,,,,,17,17,5,8,4,7,6,4,3,2,3,5,6,5,4
Watford,,,,,,,,,,,,19,,19,11,14,16,13,,,,
West Bromwich Albion,,,,,,,,,,,,,19,,,20,10,14,13,17,8,10
West Ham United,,,,,,,,18,14,9,14,7,6,16,9,13,10,7,11,13,10,
Wolverhampton,,,,,,,,20,13,14,13,10,12,7,7,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,
Qualifying Spots,,,,,,,,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
FA Cup,,3,,,,,,Manchester City,Crystal Palace,Manchester United,Manchester City,Liverpool,Leicester City,Arsenal,Manchester City,Chelsea,Arsenal,Manchester United,Arsenal,Arsenal,Wigan Athletic,Chelsea
League Cup,,2,,,,,,Manchester City,Newcastle United,Liverpool,Manchester United,Liverpool,Manchester City,Manchester City,Manchester City,Manchester City,Manchester United,Manchester City,Chelsea,Manchester City,Swansea City,Liverpool
,,,,,,,,,,,,,,,,,,,,,,
Prem,,,,,,,,ARSENAL,LIVERPOOL,MAN CITY,MAN CITY,MAN CITY,MAN CITY,LIVERPOOL,MAN CITY,MAN CITY,CHELSEA,LEICESTER CITY,CHELSEA,MAN CITY,UNITED,MAN CITY
FA Winner,,,,,,,,MAN CITY,CRYSTAL PALACE,UNITED,MAN CITY,LIVERPOOL,LEICESTER CITY,ARSENAL,MAN CITY,CHELSEA,ARSENAL,UNITED,ARSENAL,ARSENAL,WIGAN,CHELSEA
FA Loser,,,,,,,,CHE,CITY,CITY,UTD,CHE,CHE,CHE,WAT,UTD,CHE,PAL,VIL,HULL,CITY,LIV
EFL Winner,,,,,,,,MAN CITY,NEWCASTLE,LIVERPOOL,UNITED,LIVERPOOL,MAN CITY,MAN CITY,MAN CITY,MAN CITY,UNITED,MAN CITY,CHELSEA,MAN CITY,SWANSEA,LIVERPOOL
EFL Loser,,,,,,,,ARS,LIV,CHE,NEW,CHE,THFC,VIL,CHE,ARS,SOT,LIV,THFC,SUND,BRAD,CARD
