,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12-01 00:00:00
Brown,1,20,,,,,,12,8,11,11,9,,9,8,10,12,11,11,9,7,12
Clarkson,2,10,,,,,,8,2,5,6,2,,2,3,3,6,5,8,5,9,6
Colgate,3,9,,,,,,7,3,3,5,5,,8,10,5,10,10,4,2,11,4
Cornell,4,8,,,,,,2,6,2,3,4,,1,1,1,3,7,7,4,9,2
Dartmouth,5,7,,,,,,2,5,4,12,11,,6,5,5,9,7,4,10,5,9
Harvard,6,6,,,,,,6,7,8,2,2,,4,3,4,1,3,6,10,12,3
Princeton,7,5,,,,,,4,9,9,7,10,,11,9,7,7,12,12,12,7,11
Quinnipiac,8,4,,,,,,1,1,1,1,1,,3,1,9,5,1,1,3,1,4
Rensselaer,9,3,,,,,,9,10,12,7,6,,4,11,11,11,5,9,7,2,10
St. Lawrence,10,2,,,,,,11,12,7,4,8,,12,12,12,4,4,2,8,5,8
Union,11,1,,,,,,5,4,6,7,7,,10,7,2,1,9,41,1,4,1
Yale,12,0,,,,,,10,11,9,10,11,,6,5,8,8,2,3,5,3,6
,,,,,,,,,,,,,,,,,,,,,,
Champions x2,,,,,,,,,,,,,,,,,Harvard,Quinnipiac,,Union,,Union
Regular Season,,5,,,,,,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,,Cornell,,Cornell,,Quinnipiac,Quinnipiac,Union,Quinnipiac,Union
ECAC Tournament,,3,,,,,,Dartmouth,Cornell,Cornell,Colgate,Harvard,,,Clarkson,Princeton,Harvard,Quinnipiac,Harvard,Union,Union,Union
Ivy League,,1,,,,,,Cornell,Princeton,Cornell,Harvard,Harvard,,Cornell,Cornell,Cornell,Harvard,Harvard,Yale,Cornell,Yale,Cornell
,,,,,,,,,,,,,,,,,,,,,,
Season,,,,,,,,QU,QU,QU,QU,QU,n/a,COR,COR/QU,COR,PRIN/UC,QU,QU,UC,QU,UC
Tourney,,,,,,,,DARTMOUTH,CORNELL,CORNELL,COLGATE,HARVARD,n/a,,CLARKSON,PRINCETON,HARVARD,QUINNIPIAC,HARVARD,UNION,UNION,UNION
,,,,,,,,PRIN,CLAR,SLU,HAR,QU,n/a,n/a,COR,CLAR,COR,HAR,COL,COL,BWN,HAR
Ivy,,,,,,,,COR,PRIN,COR,HAR,HAR,n/a,COR,COR,COR,HAR,HAR,YALE,COR,YALE,COR
