,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Air Force,,,,,,,,,,,,,3,3,,,,,1
American International,,,,,,,,,,1,1,3,,,,,,,
Arizona State,,,,,,,,,,,,1,,,,,,,
Bemidji State,,,,,,,,,,,3,,,,,,,,
Bentley,,,,,1,1,1,,,,,,,,,,,,
Boston College,,,,,,,3,15,,,3,,,,10,1,10,1,30
Boston University,,,,,,,15,10,10,,1,,3,3,1,15,,,1
Bowling Green,,,,,,,,,,,,1,,,,,,,
Brown,,,,,,,,,,,0.001,,,,,,,,
Canisius,,,,,,,,,1,,,,,,,,,1,
Clarkson,,,,,,,,,,,,1,1,,,,,,
Colgate,,,,,,,,,1,,,,,,,,1,,
Connecticut,,,,,,1,3,,,,,,,,,,,,
Cornell,,,,,,1,3,3,3,,0.001,3,1,1,,,,,3
Dartmouth,,,,,,1,,,,,0.001,,,,,,,,
Denver,,,,,,30,10,30,1,30,,10,3,30,10,3,1,1,1
Ferris State,,,,,,,,,,,,,,,3,,3,,15
Harvard,,,,,,,,,1,1,0.001,1,,10,1,1,,,
Lake Superior State,,,,,,,,,,,1,,,,,,,,
Maine,,,,,,,1,1,,,,,,,,,,,1
Massachusetts,,,,,,,3,1,,1,30,15,,,,,,,
Merrimack,,,,,,1,,,1,,,,,,,,,,
Miami (OH),,,,,,,,,,,,,,,,1,,3,1
Michigan,,,,,,10,,10,10,10,1,,10,,3,,,,1
Michigan State,,,,,,3,1,3,1,,,,,,,,,,1
Michigan Tech,,,,,,,,1,1,1,,,1,1,,1,,,
Minnesota,,,,,,,1,3,15,10,3,,,1,,1,15,1,10
Minnesota Duluth,,,,,,3,,,,3,10,30,30,15,3,3,,,3
Minnesota State,,,,,,1,1,,,15,10,1,1,,,1,1,1,
New Hampshire,,,,,,,,,,,,,,,,,,3,
Niagara,,,,,,,,,,,,,,,,,,1,
North Dakota,,,,,,10,,1,,1,3,,,1,30,10,10,3,3
Northeastern,,,,,,,,,,1,,1,1,,1,,,,
Notre Dame,,,,,,,,,,3,1,3,15,10,1,,1,1,
Ohio State,,,,,,,1,,3,,,1,10,1,,,,,
Omaha,,,,,,,,1,,,1,,,,,10,,,
Penn State,,,,,,1,10,,3,,,,1,3,,,,,
Princeton,,,,,,,,,,,0.001,,1,,,,,,
Providence,,,,,,1,1,,,,,10,3,1,1,30,3,,
Quinnipiac,,,,,,3,1,3,30,3,1,3,,,15,1,1,15,
RIT,,,,,,,,1,,,,,,,1,3,,,
Robert Morris,,,,,,,,,,,,,,,,,1,,
St. Cloud State,,,,,,,,,3,1,15,1,1,,1,3,3,10,
UMass Lowell,,,,,,,,,,1,,,,3,3,,3,10,3
Union,,,,,,,,,,,,,,1,,,30,3,10
Vermont,,,,,,,,,,,,,,,,,1,,
Western Michigan,,,,,,3,30,1,1,3,,,,1,,,,,1
Wisconsin,,,,,,15,,1,,,1,,,,,,1,1,
Yale,,,,,,,,,,,0.001,,,,1,1,,30,
,,,,,,,,,,,,,,,,,,,
Frozen Four,,,,,,2 DENVER,1 WESTERN MICH,1 DENVER,1 QUINNIPIAC,1 DENVER,2 MASSACHUSETTS,1 DULUTH,3 DULUTH,1 DENVER,1 NORTH DAKOTA,4 PROVIDENCE,1 UNION,4 YALE,1 BOSTON COLLEGE
,,,,,,3 WIS,2 BU,1 BC,1 MINN,1 MNST,2 SCSU,1 MASS,1 ND,1 UMD,1 QU,1 BU,1 MINN,1 QU,2 FSU
,,,,,,1 MICH,3 DEN,1 BU,1 MICH,1 MICH,3 UMD,4 PROV,1 OSU,4 ND,2 DEN,2 UNO,1 BC,1 UML,2 MINN
,,,,,,1 UND,4 PSU,3 MICH,2 BU,2 MINN,2 MNST,2 DEN,2 MICH,1 HAR,2 BC,1 UND,4 UND,4 SCSU,1 UC
Bracket,,,,,,MICH,BC,BC,MINN,MICH,UND,SCSU,SCSU,DEN,QU,MNST,MINN,QU,BC
HE,,,,,,PROV,BC,BC,BU,NE,BC,MASS,BC,UML,BC,BU,BC,UML,BC
,,,,,,MERR,ME,BC,BU,MASS,MASS,NE,BU,UML,NE,BU,UML,UML,BC
NCHC,,,,,,UND,WMU,UND,DEN,DEN,UND,SCSU,SCSU,DEN,UND,UND,SCSU,,
,,,,,,DEN,WMU,DEN,SCSU,UMD,UND,UMD,DEN,UMD,SCSU,MOH,DEN,,
CCHA,,,,,,MNST,MNST,BSU,MNST,MNST,,,,,,,,,
,,,,,,MNST,MNST,TECH,MNST,MNST,,,,,,,,,
AHA,,,,,,BENT,HC,RIT,RIT,AIC,AIC,AIC,MER,CAN,RMU,RMU,MER,NIAG,AF
,,,,,,BENT,BENT,RIT,CAN,AIC,AIC,n/a,AF,AF,RIT,RIT,RMU,CAN,AF
