,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Air Force,,,,,,36,47,45,58,43,47,48,43,27,12,28,49,35
Alabama Huntsville,,,,,,,,,,,49,57,58,51,56,56,53,58
Alaska Anchorage,,,,,,62,59,39,52,,,57,60,60,57,51,52,27
Alaska Fairbanks,,,,,,35,38,25,15,30,=AVERAGE(M5:O5),37,48,57,52,53,24,28
American International,,,,,,,51,27,36,21,3,26,31,44,54,60,59,57
Arizona State,,,,,,41,15,19,40,27,30,13,10,53,44,59,,
Army,,,,,,45,47,56,53,42,12,38,52,41,36,41,57,59
Augustana,,,,,,15,35,39,,,,,,,,,,
Bemidji State,,,,,,50,46,31,34,29,10,12,35,31,29,32,27,46
Bentley,,,,,,23,24,44,56,44,39,45,40,45,41,46,41,41
Boston College,,,,,,18,1,1,26,28,5,6,34,16,16,5,11,2
Boston University,,,,,,28,5,2,5,17,14,29,25,15,7,9,3,45
Bowling Green,,,,,,24,38,56,39,34,9,21,15,17,38,27,16,26
Brown,,,,,,59,43,61,48,57,=AVERAGE(M15:O15),53,26,55,59,49,47,37
Canisius,,,,,,48,55,58,41,40,11,50,54,37,25,54,40,48
Clarkson,,,,,,34,20,36,32,16,16,9,5,10,24,23,44,25
Colgate,,,,,,49,28,36,25,31,37,42,50,33,50,42,17,12
Colorado College,,,,,,31,31,14,31,46,43,40,23,24,39,55,51,52
Connecticut,,,,,,14,6,24,21,20,21,33,46,34,34,44,43,42
Cornell,,,,,,11,17,11,13,24,=AVERAGE(M21:O21),3,11,3,11,15,36,17
Dartmouth,,,,,,6,22,28,61,54,=AVERAGE(M22:O22),41,37,38,43,21,22,43
Denver,,,,,,5,6,3,4,4,26,5,8,5,1,6,5,23
Ferris State,,,,,,56,53,63,38,49,51,56,57,50,49,30,34,5
Harvard,,,,,,32,38,49,7,18,=AVERAGE(M25:O25),27,13,28,3,11,9,40
Holy Cross,,,,,,38,25,29,46,52,48,51,56,47,40,34,48,53
Lake Superior State,,,,,,53,49,46,57,32,7,43,22,56,53,45,54,34
Lindenwood,,,,,,37,54,62,60,,,,,,,,,
Long Island,,,,,,42,25,52,59,53,46,,,,,,,
Maine,,,,,,25,4,9,30,51,41,15,29,29,46,52,42,24
Massachusetts,,,,,,17,9,14,29,11,6,8,4,36,58,50,45,47
Mercyhurst,,,,,,63,64,60,55,39,34,60,53,23,45,37,39,32
Merrimack,,,,,,19,31,35,14,22,38,46,55,42,30,38,30,49
Miami OH,,,,,,33,62,50,45,45,45,44,38,30,31,26,4,31
Michigan,,,,,,1,14,10,3,1,17,14,28,8,37,7,19,15
Michigan State,,,,,,3,2,4,16,36,44,28,32,35,47,47,31,38
Michigan Tech,,,,,,20,45,32,10,12,18,25,42,21,27,16,7,36
Minnesota,,,,,,39,6,5,1,6,4,17,19,13,4,18,10,1
Minnesota Duluth,,,,,,8,42,30,23,5,19,4,2,12,2,14,6,21
Minnesota State,,,,,,13,16,33,11,2,1,2,3,6,28,24,1,10
New Hampshire,,,,,,40,21,18,50,33,40,31,33,52,35,39,29,18
Niagara,,,,,,55,51,43,35,50,35,47,45,54,60,58,58,50
North Dakota,,,,,,2,18,6,19,7,2,1,20,14,10,3,2,14
Northeastern,,,,,,27,22,19,18,14,29,19,6,9,22,13,23,16
Northern Michigan,,,,,,60,63,48,28,26,31,34,24,20,48,35,35,39
Notre Dame,,,,,,51,41,22,17,9,25,20,12,2,13,12,33,8
Ohio State,,,,,,21,11,25,9,15,42,10,9,4,15,31,37,19
Omaha,,,,,,43,28,12,20,23,23,30,47,19,19,17,8,29
Penn State,,,,,,9,11,23,8,25,36,7,16,11,9,22,32,51
Princeton,,,,,,22,43,53,44,56,=AVERAGE(M50:O50),55,44,18,33,57,56,55
Providence,,,,,,7,9,16,24,19,22,22,14,7,14,4,15,11
Quinnipiac,,,,,,10,13,8,2,8,13,16,7,32,21,1,14,6
Rensselaer,,,,,,54,50,53,51,41,=AVERAGE(M53:O53),36,51,58,55,25,46,30
RIT,,,,,,44,59,21,22,38,27,35,36,46,51,36,38,54
Robert Morris,,,,,,47,55,59,,,20,49,49,43,26,20,25,44
Sacred Heart,,,,,,29,27,53,42,35,33,23,41,49,42,48,50,56
St. Cloud State,,,,,,30,33,16,6,10,15,24,1,1,20,2,12,9
St. Lawrence,,,,,,61,55,42,33,48,28,59,59,59,23,19,21,33
St. Thomas,,,,,,16,33,47,49,59,,,,,,,,
Stonehill,,,,,,57,59,64,,,,,,,,,,
UMass Lowell,,,,,,46,19,41,27,13,24,11,21,40,5,8,18,7
Union,,,,,,26,37,38,43,47,=AVERAGE(M62:O62),54,18,22,8,29,28,3
Vermont,,,,,,52,35,34,47,55,50,52,39,48,17,33,20,13
Western Michigan,,,,,,4,3,13,12,3,32,18,17,25,6,43,26,22
Wisconsin,,,,,,12,30,6,37,37,8,32,27,26,18,40,55,4
Yale,,,,,,58,55,51,54,58,=AVERAGE(M66:O66),39,30,39,32,10,13,20
