,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Air Force,1,5,,,,,,,,,,,,,4,3,,,,,4
American International,2,3,,,,,,,,,,4,4,4,,,,,,,
Arizona State,3,2,,,,,,,,,,,,3,,,,,,,
Bemidji State,4,1,,,,,,,,,,,4,,,,,,,,
Bentley,,,,,,,,4,4,,,,,,,,,,,,
Boston College,,,,,,,,,1,1,,,1,,,,2,3,1,2,1
Boston University,,,,,,,,,2,1,2,,3,,4,2,3,1,,,3
Bowling Green,,,,,,,,,,,,,,4,,,,,,,
Canisius,,,,,,,,,,,4,,,,,,,,,4,
Clarkson,,,,,,,,,,,,,,2,3,,,,,,
Colgate,,,,,,,,,,,4,,,,,,,,3,,
Connecticut,,,,,,,,4,2,,,,,,,,,,,,
Cornell,,,,,,,,3,4,3,4,,,3,1,3,,,,,4
Dartmouth,,,,,,,,2,,,,,,,,,,,,,
Denver,,,,,,,,2,3,1,1,1,,2,2,1,2,2,4,3,3
Ferris State,,,,,,,,,,,,,,,,,4,,2,,2
Harvard,,,,,,,,,,,2,4,,4,,1,3,3,,,
Lake Superior State,,,,,,,,,,,,,3,,,,,,,,
Maine,,,,,,,,,1,2,,,,,,,,,,,3
Massachusetts,,,,,,,,,3,4,,3,2,1,,,,,,,
Merrimack,,,,,,,,4,,,4,,,,,,,,,,
Miami OH,,,,,,,,,,,,,,,,,,1,,2,2
Michigan,,,,,,,,1,,3,1,1,2,,2,,2,,,,1
Michigan State,,,,,,,,1,1,1,,,,,,,,,,,4
Michigan Tech,,,,,,,,,,4,3,3,,,4,4,,2,,,
Minnesota,,,,,,,,,2,2,1,2,1,,,1,,3,1,1,2
Minnesota Duluth,,,,,,,,2,,,,2,3,1,3,1,4,2,,,2
Minnesota State,,,,,,,,4,4,,3,1,2,1,2,,,1,3,3,
New Hampshire,,,,,,,,,,,,,,,,,,,,2,
Niagara,,,,,,,,,,,,,,,,,,,,4,
North Dakota,,,,,,,,1,,2,,2,1,,,3,1,1,4,2,1
Northeastern,,,,,,,,,,,,4,,2,3,,4,,,,
Notre Dame,,,,,,,,,,,,3,4,3,1,4,3,,2,1,
Ohio State,,,,,,,,,3,,3,,,3,1,4,,,,,
Omaha,,,,,,,,,,3,,,4,,,,,2,,,
Penn State,,,,,,,,3,4,,2,,,,3,3,,,,,
Princeton,,,,,,,,,,,,,,,4,,,,,,
Providence,,,,,,,,2,2,,,,,4,2,4,1,4,3,,
Quinnipiac,,,,,,,,3,3,3,1,2,3,2,,,1,4,2,1,
RIT,,,,,,,,,,4,,,,,,,4,4,,,
Robert Morris,,,,,,,,,,,,,,,,,,,4,,
St. Cloud State,,,,,,,,,,,2,3,2,1,1,,1,3,3,4,
UMass Lowell,,,,,,,,,,,,4,,,,2,2,,2,1,3
Union,,,,,,,,,,,,,,,,2,,,1,3,1
Vermont,,,,,,,,,,,,,,,,,,,4,,
Western Michigan,,,,,,,,1,1,4,3,1,,,,2,,,,,4
Wisconsin,,,,,,,,3,,2,,,1,,,,,,1,4,
Yale,,,,,,,,,,,,,,,,,3,4,,3,
