,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Baltimore,1,8,,,,,,5,2,1,4,5,4,5,5,5,2,3,1,3,2
Boston,2,4,,,,,,3,3,5,5,2,5,3,1,1,1,5,5,1,5
NY Yankees,3,3,,,,,,2,1,4,1,2,2,1,2,2,4,2,2,3,1
Tampa Bay,4,2,,,,,,4,4,2,3,1,1,2,3,3,5,4,4,2,3
Toronto,5,1,,,,,,1,5,3,2,4,3,4,4,4,2,1,3,5,4
Chicago Sox,6,0,,,,,,5,5,4,2,1,2,3,4,4,4,4,4,5,2
Cleveland,,,,,,,,1,1,3,1,2,3,2,1,1,1,3,3,2,4
Detroit,,,,,,,,2,2,2,4,3,5,5,3,5,2,5,1,1,1
Kansas City,,,,,,,,3,2,5,5,4,4,4,5,3,3,1,2,3,3
Minnesota,,,,,,,,4,4,1,3,5,1,1,2,2,5,2,5,4,5
Houston,,,,,,,,2,1,1,1,1,2,1,1,1,3,2,4,5,6
LA Angels,,,,,,,,5,5,4,3,4,4,4,4,2,4,3,1,3,3
Oakland,,,,,,,,4,4,5,5,3,1,2,2,5,5,5,2,1,1
Seattle,,,,,,,,1,2,3,2,2,3,5,3,3,2,4,3,4,4
Texas,,,,,,,,3,3,2,4,5,5,3,5,3,1,1,5,2,2
Atlanta,,,,,,,,4,2,1,1,1,1,1,1,3,5,4,2,1,2
Miami,,,,,,,,3,5,3,4,4,2,5,5,2,3,3,4,5,5
NY Mets,,,,,,,,2,2,4,2,3,4,3,4,4,2,1,2,3,4
Philadelphia,,,,,,,,1,1,2,3,2,3,4,3,5,4,5,5,4,3
Washington,,,,,,,,5,4,5,5,5,5,2,2,1,1,2,1,2,1
Chicago Cubs,,,,,,,,2,2,2,3,4,1,3,2,1,1,3,5,5,5
Cincinnati,,,,,,,,3,4,3,5,3,3,4,5,5,5,5,4,3,1
Milwaukee,,,,,,,,1,1,1,2,1,4,2,1,2,4,4,3,4,3
Pittsburgh,,,,,,,,5,5,4,4,5,5,5,4,4,3,2,2,2,4
St. Louis,,,,,,,,4,2,5,1,2,2,1,3,3,2,1,1,1,2
Arizona,,,,,,,,4,3,2,4,5,5,2,3,2,4,3,5,2,3
Colorado,,,,,,,,5,5,5,5,4,4,4,2,3,3,5,4,5,5
LA Dodgers,,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,2
San Diego,,,,,,,,2,2,3,2,3,2,5,5,4,5,4,3,3,4
San Francisco,,,,,,,,3,4,4,3,1,3,3,4,5,2,2,2,3,1
