,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Baltimore,,,,,,,1,3,,,,,,,1,,5,,3
Boston,,,,,,1,,,,5,,,30,3,3,,,30,
Chicago Sox,,,,,,,,,,3,1,,,,,,,,
Cleveland,,,,,,1,5,,3,,1,,3,3,15,,,1,
Detroit,,,,,,3,3,,,,,,,,,,3,5,15
Houston,,,,,,,1,5,30,15,5,15,5,30,,3,,,
Kansas City,,,,,,,3,,,,,,,,,30,15,,
LA Angels,,,,,,,,,,,,,,,,,3,,
Minnesota,,,,,,,,3,,,1,3,,1,,,,,
NY Yankees,,,,,,3,15,,5,1,3,5,3,5,,1,,,5
Oakland,,,,,,,,,,,3,1,1,,,,1,3,3
Seattle,,,,,,5,,,3,,,,,,,,,,
Tampa Bay,,,,,,,,1,1,3,15,3,,,,,,3,
Texas,,,,,,,,30,,,,,,,3,3,,,1
Toronto,,,,,,15,,1,1,,1,,,,5,5,,,
Arizona,,,,,,,,15,,,,,,3,,,,,
Atlanta,,,,,,,1,3,3,30,5,3,3,,,,,3,1
Chicago Cubs,,,,,,3,,,,,1,,1,5,30,5,,,
Cincinnati,,,,,,1,,,,,1,,,,,,,1,3
Colorado,,,,,,,,,,,,,3,1,,,,,
LA Dodgers,,,,,,30,30,3,3,5,30,3,15,15,5,3,3,5,
Miami,,,,,,,,1,,,3,,,,,,,,
Milwaukee,,,,,,5,1,1,,3,1,1,5,,,,,,
NY Mets,,,,,,,5,,1,,,,,,1,15,,,
Philadelphia,,,,,,3,3,5,15,,,,,,,,,,
Pittsburgh,,,,,,,,,,,,,,,,1,1,3,
San Diego,,,,,,1,3,,5,,3,,,,,,,,
San Francisco,,,,,,,,,,3,,,,,3,,30,,30
St. Louis,,,,,,,,,1,1,1,5,,,,3,5,15,5
Washington,,,,,,,,,,,,30,,3,3,,3,,3
,,,,,,,,,,,,,,,,,,,
World Series,,,,,,LAD,LAD,TEX,HOU,ATL,LAD,WAS,BOS,HOU,CHC,KC,SF,BOS,SF
,,,,,,TOR,NYY,AZ,PHI,HOU,TB,HOU,LAD,LAD,CLE,NYM,KC,STL,DET
