MAJOR LEAGUE SOCCER,,MLS,Value,CHAMPS,Semis,,,,,,,LEAGUES/CONCACAF,,MLS,Value,LC,CCC
1,,,,,,,,,,,,1,,,,,
2,,,,,,,,,,,,2,,,,,
3,,,,,,,,,,,,3,,,,,
4,,,,,,,,,,,,4,,,,,
5,,,,,,,,,,,,5,,,,,
6,,,,,,,,,,,,6,,,,,
7,,,,,,,,,,,,7,,,,,
8,,,,,,,,,,,,8,,,,,
9,,,,,,,,,,,,9,,,,,
10,,,,,,,,,,,,10,,,,,
11,,,,,,,,,,,,11,,,,,
12,,,,,,,,,,,,12,,,,,
13,,,,,,,,,,,,13,,,,,
14,,,,,,,,,,,,14,,,,,
15,,,,,,,,,,,,15,,,,,
1,,,,,,,,,,,,16,,,,,
2,,,,,,,,,,,,17,,,,,
3,,,,,,,,,,,,18,,,,,
4,,,,,,,,,,,,19,,,,,
5,,,,,,,,,,,,20,,,,,
6,,,,,,,,,,,,21,,,,,
7,,,,,,,,,,,,22,,,,,
8,,,,,,,,,,,,23,,,,,
9,,,,,,,,,,,,24,,,,,
10,,,,,,,,,,,,25,,,,,
11,,,,,,,,,,,,26,,,,,
12,,,,,,,,,,,,27,,,,,
13,,,,,,,,,,,,28,,,,,
14,,,,,,,,,,,,29,,,,,
15,,,,,,,,,,,,30,,,,,
,,,,,,,,,,,,31,,,,,
,,,,,MLS CUP FINAL,,,US OPEN CUP FINAL,,,,32,,,,,
,,,,,,,,,,,,33,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,,,,,
,,,,,,,,,,,,35,,,,,
,,,,,,,,,,,,36,,,,,
,,,,,,,,,,,,37,,,,,
,,,,,,,,,,,,38,,,,,
,,,,,LEAGUES CUP FINAL,,,CHAMPIONS CUP FINAL,,,,39,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,,,,,
,,,,,,,,,,,,41,,,,,
,,,,,,,,,,,,42,,,,,
,,,,,,,,,,,,43,,,,,
,,,,,,,,,,,,44,,,,,
,,,,,,,,,,,,45,,,,,
,,,,,,,,,,,,46,,,,,
,,,,,,,,,,,,47,,,,,
,,,,,,,,,,,,48,,,,,
