,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Atlanta,,,,,,,3,1,,1,,5,30,1,,,,,
Charlotte,,,,,,1,1,0.5,,,,,,,,,,,
Chicago,,,,,,1,,,,,,,,1,,,,,
Cincinnati,,,,,,3,1,5,3,,,,,,,,,,
Columbus,,,,,,1,1,30,,,30,,3,5,,15,3,,
DC United,,,,,,,,,,,,1,1,,1,3,3,,5
Inter Miami,,,,,,30,1,,1,,,,,,,,,,
Montreal,,,,,,,0.5,,3,,,,,,5,3,,1,
Nashville,,,,,,1,,1,1,3,3,,,,,,,,
New England,,,,,,,,1,,3,5,1,,3,3,1,15,3,
New York City,,,,,,5,3,,5,30,1,3,3,,,,,,
NY Red Bulls,,,,,,,15,1,1,1,1,1,5,3,3,5,5,3,3
Orlando,,,,,,0.5,5,3,1,1,3,,,,,,,,
Philadelphia,,,,,,3,,3,15,5,1,3,1,,1,,,,
Toronto,,,,,,,,,,,1,15,,30,15,1,,,
Austin,,,,,,1,,,5,,,,,,,,,,
Colorado,,,,,,,1,,,3,1,,,,5,,,1,
Dallas,,,,,,1,,1,3,,3,1,1,,3,5,3,,
Houston,,,,,,,1,5,,,,,,5,,,,5,15
LA Galaxy,,,,,,,30,,3,,,3,,,3,1,30,3,30
Los Angeles,,,,,,3,3,15,30,,1,5,1,,,,,,
Minnesota,,,,,,3,3,,1,1,5,1,,,,,,,
Portland,,,,,,1,0.5,,,15,1,1,15,3,,30,,5,
Real Salt Lake,,,,,,0.5,1,1,1,5,,3,3,,1,,3,15,3
San Diego,,,,,,5,,,,,,,,,,,,,
San Jose,,,,,,,,0.5,,,1,,,1,,,,,3
Seattle,,,,,,1,5,3,,1,15,30,3,15,30,3,5,3,5
Sporting KC,,,,,,,,3,,3,3,,5,1,1,1,1,30,3
St. Louis,,,,,,,,1,,,,,,,,,,,
Vancouver,,,,,,15,1,,,1,,,,3,,3,1,,
