EASTERN CONFERENCE,,NBA,Value,CHAMPS,Division,,,,,,,WESTERN CONFERENCE,,NBA,Value,CHAMPS,Division
1,,,,,,,,,,,,1,,,,,
2,,,,,,,,,,,,2,,,,,
3,,,,,,,,,,,,3,,,,,
4,,,,,,,,,,,,4,,,,,
5,,,,,,,,,,,,5,,,,,
6,,,,,,,,,,,,6,,,,,
7,,,,,,,,,,,,7,,,,,
8,,,,,,,,,,,,8,,,,,
9,,,,,,,,,,,,9,,,,,
10,,,,,,,,,,,,10,,,,,
11,,,,,,,,,,,,11,,,,,
12,,,,,,,,,,,,12,,,,,
13,,,,,,,,,,,,13,,,,,
14,,,,,,,,,,,,14,,,,,
15,,,,,,,,,,,,15,,,,,
,,,,,,,,,,,,,,,,,
,,NBA FINALS CHAMPIONS,,,,,,,,,,,,IN-SEASON TOURNAMENT CHAMPS,,,
,,NBA FINALS RUNNER-UP,,,,,,,,,,,,IN-SEASON TOURNAMENT RUNNER-UP,,,
