,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Boston,1,8,,,,,,1,1,1,1,1,4,2,3,2,1,2,2,4,3,1
Brooklyn,2,4,,,,,,5,4,4,4,4,2,4,4,5,5,4,3,2,2,5
New York,3,3,,,,,,2,2,2,3,5,3,5,5,4,3,3,5,3,1,2
Philadelphia,4,2,,,,,,4,5,3,2,2,1,3,2,3,4,5,4,5,4,3
Toronto,5,1,,,,,,3,3,5,5,3,5,1,1,1,2,1,1,1,5,4
Chicago,6,0,,,,,,4,5,4,3,2,3,3,4,5,4,4,2,2,2,1
Cleveland,,,,,,,,2,1,2,2,3,4,5,5,1,1,1,1,3,5,5
Detroit,,,,,,,,1,4,5,5,5,5,4,3,4,5,3,5,4,4,4
Indiana,,,,,,,,5,2,3,4,4,2,2,2,2,3,2,4,1,1,2
Milwaukee,,,,,,,,3,3,1,1,1,1,1,1,3,2,5,3,5,3,3
Atlanta,,,,,,,,1,2,3,2,2,1,5,5,5,2,2,1,4,2,2
Charlotte,,,,,,,,3,4,4,5,3,4,3,2,3,4,3,4,3,4,5
Miami,,,,,,,,4,3,2,1,1,2,1,3,1,3,1,3,1,1,1
Orlando,,,,,,,,2,1,1,4,5,5,2,1,4,5,5,5,5,5,3
Washington,,,,,,,,5,5,5,3,4,3,4,4,2,1,4,2,2,3,4
Denver,,,,,,,,2,2,2,1,2,2,1,1,5,4,4,4,4,2,2
Minnesota,,,,,,,,3,3,3,2,3,4,5,5,4,5,5,5,3,5,5
Oklahoma City,,,,,,,,1,1,1,3,5,5,2,4,2,2,1,2,1,1,1
Portland,,,,,,,,4,4,5,5,4,3,4,2,1,3,2,1,2,4,4
Utah,,,,,,,,5,5,4,4,1,1,3,3,3,1,3,3,5,3,3
Dallas,,,,,,,,3,3,1,3,2,1,2,5,4,5,2,4,4,4,3
Houston,,,,,,,,2,1,3,4,5,5,1,1,1,2,4,1,2,3,4
Memphis,,,,,,,,5,2,4,1,1,2,3,3,5,3,3,2,3,2,2
New Orleans,,,,,,,,3,5,2,2,3,4,5,4,2,4,5,5,5,5,5
San Antonio,,,,,,,,1,4,5,5,4,3,4,2,3,1,1,3,1,1,1
Golden State,,,,,,,,4,3,4,4,2,4,5,1,1,1,1,1,2,2,4
LA Clippers,,,,,,,,3,2,1,3,3,2,2,2,2,2,2,2,1,1,2
LA Lakers,,,,,,,,1,1,3,5,4,3,1,4,3,4,5,5,5,3,1
Phoenix,,,,,,,,2,5,2,2,1,1,3,5,5,5,4,3,3,5,3
Sacramento,,,,,,,,5,4,4,1,5,5,4,3,4,3,3,4,4,4,5
